card_id,l2_id,l2_name,l3_id,l3_name,card_label,reference_index,justification,reference_title,reference_url
PHYSRISK-REF-0045,P2,Physical Safety,P3.1,의도적·악의적 피해(Purposeful / Malicious Harm),물리적 침입 및 절도 (Autonomous physical intrusion and theft),1,자율 로봇이 제한구역에 들어가거나 물건을 가져가면 피지컬 보안 사고가 된다 (Embodied-platform physical security threat assessment),+ A real-time intelligent intrusion detectio… (2025),https://doi.org/10.1007/s12083-025-02175-6
PHYSRISK-REF-0045,P2,Physical Safety,P3.1,의도적·악의적 피해(Purposeful / Malicious Harm),물리적 침입 및 절도 (Autonomous physical intrusion and theft),2,"침입 탐지 문제를 통해 피지컬 접근 위험을 설명한다 (A real-time intelligent intrusion detectio…, 2025)",,
PHYSRISK-REF-0046,P2,Physical Safety,P3.1,의도적·악의적 피해(Purposeful / Malicious Harm),표적 추적 및 물리적 괴롭힘 (Targeted following and physical harassment),1,"로봇이 특정 사람을 따라가거나 막아서면 피지컬 괴롭힘이 된다 (Citron, 2014)",,
PHYSRISK-REF-0030,P2,Physical Safety,P3.1,의도적·악의적 피해(Purposeful / Malicious Harm),로봇의 무기화 오남용 (Robot-as-weapon misuse),1,"로봇의 이동과 조작 능력이 사람을 해치는 수단으로 바뀔 수 있다 (Zhang et al., 2024)",MIT AI Risk Repository; BadRobot: Jailbreaking Emb…,https://arxiv.org/pdf/2407.20242
PHYSRISK-REF-0030,P2,Physical Safety,P3.1,의도적·악의적 피해(Purposeful / Malicious Harm),로봇의 무기화 오남용 (Robot-as-weapon misuse),2,"로봇 능력이 무기화될 때 생기는 피지컬 피해를 다룬다 (The future of war: could lethal autonomous…, 2020)",+ The future of war: could lethal autonomous… (2020),https://doi.org/10.1007/s00146-019-00879-x
PHYSBENCH-REF-0003,P2,Physical Safety,P3.2,우발적 피해(Accidental Harm),물리적 위험 개입 실패 (Physical danger intervention failure),1,"위험을 알아도 제때 멈추거나 경고하지 못하면 사고를 막지 못한다 (ASIMOV-2.0, 2025)",ASIMOV-2.0: Can AI Perceive Physical Danger and In…,https://arxiv.org/pdf/2509.21651
PHYSBENCH-REF-0007,P2,Physical Safety,P3.2,우발적 피해(Accidental Harm),물리적 상식 위반 (Commonsense physicality violation),1,"로봇이 무게, 불, 날카로움 같은 상식을 놓치면 안전하지 않은 행동을 고른다 (ASIMOV-2.0, 2025)",ASIMOV-2.0: Can AI Perceive Physical Danger and In…,https://arxiv.org/pdf/2509.21651
PHYSBENCH-REF-0012,P2,Physical Safety,P3.2,우발적 피해(Accidental Harm),복합 물리적 제약 위반 (Compositional physical constraint violation),1,"따로 보면 안전한 동작도 조합되면 충돌이나 낙하 같은 위험이 될 수 있다 (ASIMOV-2.0, 2025)",ASIMOV-2.0: Can AI Perceive Physical Danger and In…,https://arxiv.org/pdf/2509.21651
PHYSBENCH-REF-0032,P2,Physical Safety,P3.2,우발적 피해(Accidental Harm),안전 강화학습 제약 위반 (Safe reinforcement learning constraint violation),1,"안전 비용을 둔 강화학습도 보상만 좇으면 금지 행동을 선택할 수 있다 (Safety-Gymnasium, 2023)",Safety-Gymnasium: A Unified Safe Reinforcement Lea…,https://arxiv.org/pdf/2310.12567
PHYSBENCH-REF-0032,P2,Physical Safety,P3.2,우발적 피해(Accidental Harm),안전 강화학습 제약 위반 (Safe reinforcement learning constraint violation),2,"강화학습 정책이 안전 제약을 어떻게 어길 수 있는지 다룬다 (Safe Reinforcement Learning Using Sequenti…, 2025)",+ Safe Reinforcement Learning Using Sequenti… (2025),https://doi.org/10.18178/ijmerr.14.3.347-359
PHYSBENCH-REF-0032,P2,Physical Safety,P3.2,우발적 피해(Accidental Harm),안전 강화학습 제약 위반 (Safe reinforcement learning constraint violation),3,"로봇 학습 제어에서 안전 제약을 보상과 함께 다루므로, 안전 강화학습 제약 위반은 제어 설계 단계에서 바로 문제된다 (Safe Learning in Robotics (2022))",+ Safe Learning in Robotics: From Learning-Based Control to… (2022),https://doi.org/10.1146/annurev-control-042920-020211
PHYSBENCH-REF-0032,P2,Physical Safety,P3.2,우발적 피해(Accidental Harm),안전 강화학습 제약 위반 (Safe reinforcement learning constraint violation),4,"설명 가능한 안전 제어에서 '안전 강화학습 제약 위반' 문제가 실제 안전 문제로 이어질 수 있음을 다룬다; Explainable and Safety Aware… (Farzanegan et al., 2025)",+ Explainable and Safety Aware Deep Reinforcement Learning-Based Control of… (2025),https://doi.org/10.1109/tase.2025.3554431
PHYSBENCH-REF-0032,P2,Physical Safety,P3.2,우발적 피해(Accidental Harm),안전 강화학습 제약 위반 (Safe reinforcement learning constraint violation),5,"다중 에이전트 강화학습으로 도시 공역 충돌 회피를 다뤄, 안전 제약이 빠진 학습 정책은 충돌 위험을 남길 수 있다 (Zhong et al., 2025)",+ 3D RVO-enhanced multi-agent deep reinforcement learning for collision avo… (2025),https://doi.org/10.1016/j.ast.2025.110378
PHYSBENCH-REF-0035,P2,Physical Safety,P3.2,우발적 피해(Accidental Harm),제약 비용 과소평가 (Constraint-cost underestimation),1,"작은 안전 비용을 낮게 잡으면 여러 번의 행동 끝에 큰 위험이 누적된다 (Safety-Gymnasium, 2023)",Safety-Gymnasium: A Unified Safe Reinforcement Lea…,https://arxiv.org/pdf/2310.12567
PHYSBENCH-REF-0039,P2,Physical Safety,P3.2,우발적 피해(Accidental Harm),물리적 상호작용 안전 공백 (Physical interaction safety control gap),1,"사람과 가까이 닿는 로봇은 힘, 속도, 거리 제어가 빠지면 바로 다칠 수 있다 (Kojima et al., 2025)",A Comprehensive Survey on Physical Risk Control in…,https://www.ijcai.org/proceedings/2025/1168.pdf
PHYSBENCH-REF-0045,P2,Physical Safety,P3.2,우발적 피해(Accidental Harm),제약 모니터링 실패 (Constraint monitoring failure),1,"속도, 힘, 작업 구역 같은 제약을 감시하지 못하면 위험 행동을 놓친다 (Kojima et al., 2025)",A Comprehensive Survey on Physical Risk Control in…,https://www.ijcai.org/proceedings/2025/1168.pdf
PHYSBENCH-REF-0045,P2,Physical Safety,P3.2,우발적 피해(Accidental Harm),제약 모니터링 실패 (Constraint monitoring failure),2,"현장 모니터링이 약하면 위험 행동을 제때 잡지 못한다 (Visual quality and safety monitoring syste…, 2023)",+ Visual quality and safety monitoring syste… (2023),https://doi.org/10.1007/s00170-023-11698-2
PHYSBENCH-REF-0045,P2,Physical Safety,P3.2,우발적 피해(Accidental Harm),제약 모니터링 실패 (Constraint monitoring failure),3,"로봇 학습 제어에서 안전 제약을 보상과 함께 다루므로, 제약 모니터링 실패는 제어 설계 단계에서 바로 문제된다 (Safe Learning in Robotics (2022))",+ Safe Learning in Robotics: From Learning-Based Control to… (2022),https://doi.org/10.1146/annurev-control-042920-020211
PHYSBENCH-REF-0045,P2,Physical Safety,P3.2,우발적 피해(Accidental Harm),제약 모니터링 실패 (Constraint monitoring failure),4,"피지컬 AI 시스템에서 '제약 모니터링 실패' 문제가 실제 안전 문제로 이어질 수 있음을 다룬다; Personalized Assistance in Ro… (Pezeshki et al., 2025)",+ Personalized Assistance in Robotic Rehabilitation: Real-Time Adaptation v… (2025),https://doi.org/10.1109/tase.2025.3552446
PHYSBENCH-REF-0048,P2,Physical Safety,P3.2,우발적 피해(Accidental Harm),위험 작업 계획 실패 (Hazardous task planning failure),1,"SafeAgentBench는 실행 가능한 embodied task에서 위험 지시가 계획 단계에서 걸러지지 않고 실제 hazardous action으로 이어지는지를 평가한다 (Yin et al., 2025)",SafeAgentBench: A Benchmark for Safe Task Planning…,https://arxiv.org/pdf/2412.13178
PHYSBENCH-REF-0048,P2,Physical Safety,P3.2,우발적 피해(Accidental Harm),위험 작업 계획 실패 (Hazardous task planning failure),2,"자연어 명령 실행 전 위험 평가 이중언어 데이터셋, 위험 작업 계획 평가 (Instruction Risk Assessment EN-ID, HF)",Instruction Risk Assessment EN-ID (YosepMulia),https://huggingface.co/datasets/YosepMulia/instruction-risk-assessment-en-id
PHYSBENCH-REF-0048,P2,Physical Safety,P3.2,우발적 피해(Accidental Harm),위험 작업 계획 실패 (Hazardous task planning failure),3,"피지컬 AI 시스템에서 '위험 작업 계획 실패' 문제가 실제 안전 문제로 이어질 수 있음을 다룬다; Agentic LLM-based robotic sys… (Raptis et al., 2025)",+ Agentic LLM-based robotic systems for real-world applications: a review o… (2025),https://doi.org/10.3389/frobt.2025.1605405
PHYSBENCH-REF-0050,P2,Physical Safety,P3.2,우발적 피해(Accidental Harm),암묵적 위험 명령 거부 실패 (Implicit hazard non-rejection),1,"장기 작업에는 겉으로 정상인 과업 속 안전 요구사항이 들어가 있어, stove off 같은 암묵 위험 완화 조건을 놓치는지 평가한다 (Yin et al., 2025)",SafeAgentBench: A Benchmark for Safe Task Planning…,https://arxiv.org/pdf/2412.13178
PHYSBENCH-REF-0050,P2,Physical Safety,P3.2,우발적 피해(Accidental Harm),암묵적 위험 명령 거부 실패 (Implicit hazard non-rejection),2,"암묵적 위험 명령(위장 쿼리)에 대한 LLM 반응 평가 기준 (LLM Physical Safety Benchmark, HF)",LLM Physical Safety Benchmark (TrustSafeAI),https://huggingface.co/datasets/TrustSafeAI/llm_physical_safety_benchmark
PHYSBENCH-REF-0054,P2,Physical Safety,P3.2,우발적 피해(Accidental Harm),안전-성능 균형 실패 (Safety-performance trade-off failure),1,"작업 성공만 높이면 충돌 회피 같은 안전 조건이 뒤로 밀릴 수 있다 (VLSA, 2025)",VLSA: Vision-Language-Action Models with Plug-and-…,https://arxiv.org/pdf/2512.11891
PHYSBENCH-REF-0054,P2,Physical Safety,P3.2,우발적 피해(Accidental Harm),안전-성능 균형 실패 (Safety-performance trade-off failure),2,"로봇 학습 정책에 안전 제약을 넣어야 한다는 점에서, 안전-성능 균형 실패는 학습 기반 제어의 핵심 실패 유형이다 (Safe Learning in Robotics (2022))",+ Safe Learning in Robotics: From Learning-Based Control to… (2022),https://doi.org/10.1146/annurev-control-042920-020211
PHYSBENCH-REF-0054,P2,Physical Safety,P3.2,우발적 피해(Accidental Harm),안전-성능 균형 실패 (Safety-performance trade-off failure),3,"피지컬 AI 시스템에서 '안전-성능 균형 실패' 문제가 실제 안전 문제로 이어질 수 있음을 다룬다; Personalized Assistance in Ro… (Pezeshki et al., 2025)",+ Personalized Assistance in Robotic Rehabilitation: Real-Time Adaptation v… (2025),https://doi.org/10.1109/tase.2025.3552446
PHYSBENCH-REF-0057,P2,Physical Safety,P3.2,우발적 피해(Accidental Harm),구현체 간 행동 공간 불일치 (Cross-embodiment action-space mismatch),1,"한 로봇의 행동 표현을 다른 로봇에 옮기면 관절과 동작 한계가 맞지 않을 수 있다 (Open X-Embodiment, 2023)",Open X-Embodiment: Robotic Learning Datasets and R…,https://arxiv.org/pdf/2310.08864
PHYSBENCH-REF-0058,P2,Physical Safety,P3.2,우발적 피해(Accidental Harm),로봇 형태 전이 리스크 (Robot morphology transfer risk),1,"몸 구조가 다른 로봇에 같은 기술을 옮기면 균형과 접촉 위험이 달라진다 (Open X-Embodiment, 2023)",Open X-Embodiment: Robotic Learning Datasets and R…,https://arxiv.org/pdf/2310.08864
PHYSBENCH-REF-0064,P2,Physical Safety,P3.2,우발적 피해(Accidental Harm),인간 시연 전이 모호성 (Human demonstration transfer ambiguity),1,"사람 시연을 겉동작만 따라 하면 언제 조심해야 하는지 숨은 맥락을 놓친다 (RH20T, 2023)",RH20T: A Comprehensive Robotic Dataset for Learnin…,https://arxiv.org/pdf/2307.00595
PHYSBENCH-REF-0070,P2,Physical Safety,P3.2,우발적 피해(Accidental Harm),휴머노이드 보상 과적합 위험 (Humanoid reward overfitting risk),1,"휴머노이드가 보상 점수에만 맞추면 안전하지 않은 편법 동작을 배울 수 있다 (Self-Imitative RL, 2025)",Self-Imitative Reinforcement Learning for Reproduc…,https://arxiv.org/pdf/2502.17322
PHYSBENCH-REF-0070,P2,Physical Safety,P3.2,우발적 피해(Accidental Harm),휴머노이드 보상 과적합 위험 (Humanoid reward overfitting risk),2,"시뮬레이션에서 배운 정책이 실제 피지컬 환경에서 흔들릴 수 있음을 보여준다 (Sim-to-Real: Learning Agile Locomotion For…, 2018)",+ Sim-to-Real: Learning Agile Locomotion For… (2018),https://doi.org/10.15607/rss.2018.xiv.010
PHYSBENCH-REF-0071,P2,Physical Safety,P3.2,우발적 피해(Accidental Harm),휴머노이드 행동 재현성 공백 (Humanoid behavior reproducibility gap),1,"같은 휴머노이드 행동이 반복 재현되지 않으면 안전 검증 결과를 믿기 어렵다 (Self-Imitative RL, 2025)",Self-Imitative Reinforcement Learning for Reproduc…,https://arxiv.org/pdf/2502.17322
PHYSBENCH-REF-0071,P2,Physical Safety,P3.2,우발적 피해(Accidental Harm),휴머노이드 행동 재현성 공백 (Humanoid behavior reproducibility gap),2,"사람-로봇 협업을 디지털 트윈과 실제 시스템 양쪽에서 검증하므로, 휴머노이드 행동 재현성 공백은 시뮬레이션-현실 차이에 민감하다 (A deep learning-enhanced Digital Twin framework for… (2024))",+ A deep learning-enhanced Digital Twin framework for impro… (2024),https://doi.org/10.1016/j.rcim.2023.102608
PHYSBENCH-REF-0076,P2,Physical Safety,P3.2,우발적 피해(Accidental Harm),인간 모방 분포 이동 (Human-mimicking distribution shift),1,"훈련 때와 다른 피지컬 환경에 배포되면 로봇이 익숙한 규칙처럼 잘못 행동할 수 있다 (Mimicking-Bench, 2024)",Mimicking-Bench: A Benchmark for Generalizable Hum…,https://arxiv.org/pdf/2412.17730
PHYSBENCH-REF-0076,P2,Physical Safety,P3.2,우발적 피해(Accidental Harm),인간 모방 분포 이동 (Human-mimicking distribution shift),2,"피지컬 AI 시스템에서 '인간 모방 분포 이동' 문제가 실제 안전 문제로 이어질 수 있음을 다룬다; Toward Reliable Imitation Lea… (Lin et al., 2026)",+ Toward Reliable Imitation Learning With Limited Expert Demonstrations via… (2026),https://doi.org/10.1109/tase.2026.3668970
PHYSBENCH-REF-0077,P2,Physical Safety,P3.2,우발적 피해(Accidental Harm),모션 리타겟팅 안전 실패 (Motion-retargeting safety failure),1,"사람 움직임을 로봇 관절로 옮기는 과정에서 한계 자세나 충돌이 생길 수 있다 (Mimicking-Bench, 2024)",Mimicking-Bench: A Benchmark for Generalizable Hum…,https://arxiv.org/pdf/2412.17730
PHYSBENCH-REF-0077,P2,Physical Safety,P3.2,우발적 피해(Accidental Harm),모션 리타겟팅 안전 실패 (Motion-retargeting safety failure),2,"휴머노이드 다중 접촉 계획·제어를 별도 검증 대상으로 다뤄, 모션 리타겟팅 안전 실패의 자세·접촉 한계 문제가 직접 드러난다 (Multi-contact planning and control for humanoid robots (2023))",+ Multi-contact planning and control for humanoid robots: D… (2023),https://doi.org/10.1016/j.robot.2023.104448
PHYSBENCH-REF-0077,P2,Physical Safety,P3.2,우발적 피해(Accidental Harm),모션 리타겟팅 안전 실패 (Motion-retargeting safety failure),3,"로봇 학습 정책에 안전 제약을 넣어야 한다는 점에서, 모션 리타겟팅 안전 실패는 학습 기반 제어의 핵심 실패 유형이다 (Safe Learning in Robotics (2022))",+ Safe Learning in Robotics: From Learning-Based Control to… (2022),https://doi.org/10.1146/annurev-control-042920-020211
PHYSBENCH-REF-0081,P2,Physical Safety,P3.2,우발적 피해(Accidental Harm),휴머노이드 제로샷 전이 불안정성 (Zero-shot humanoid sim-to-real instability),1,"시뮬레이션에서 바로 옮긴 휴머노이드 정책은 실제 바닥과 접촉에서 불안정할 수 있다 (Humanoid-Gym, 2024)",Humanoid-Gym: Reinforcement Learning for Humanoid …,https://arxiv.org/pdf/2404.05695
PHYSBENCH-REF-0081,P2,Physical Safety,P3.2,우발적 피해(Accidental Harm),휴머노이드 제로샷 전이 불안정성 (Zero-shot humanoid sim-to-real instability),2,"시뮬레이션에서 배운 정책이 실제 피지컬 환경에서 흔들릴 수 있음을 보여준다 (Sim-to-Real: Learning Agile Locomotion For…, 2018)",+ Sim-to-Real: Learning Agile Locomotion For… (2018),https://doi.org/10.15607/rss.2018.xiv.010
PHYSBENCH-REF-0090,P2,Physical Safety,P3.2,우발적 피해(Accidental Harm),장기 예측 누적 오차 (Long-horizon rollout drift),1,"긴 작업을 이어갈수록 작은 예측 오차가 쌓여 위험한 행동으로 바뀔 수 있다 (1X World Model, 2025)",Generative World Modelling for Humanoids: 1X World…,https://arxiv.org/pdf/2510.07092
PHYSBENCH-REF-0090,P2,Physical Safety,P3.2,우발적 피해(Accidental Harm),장기 예측 누적 오차 (Long-horizon rollout drift),2,"로봇 이동 계획이 충돌과 작업공간 안전에 직접 연결된다 (A review: On path planning strategies for …, 2019)",+ A review: On path planning strategies for … (2019),https://doi.org/10.1016/j.dt.2019.04.011
PHYSRISK-REF-0019,P2,Physical Safety,P3.2,우발적 피해(Accidental Harm),장기 계획 오차 누적 (Long-horizon error accumulation),1,"긴 계획에서 작은 위치·판단 오차가 쌓이면 마지막 동작이 위험해진다 (Embodied AI Survey, 2021)",A Survey of Embodied AI: From Simulators to Resear…,https://arxiv.org/pdf/2103.04918
PHYSBENCH-REF-0040,P2,Physical Safety,P3.2,우발적 피해(Accidental Harm),기반 모델 고유의 리스크 (Foundation-model-specific robot risk),1,"기반모델의 환각과 지시 오해는 로봇의 잘못된 움직임으로 바로 이어질 수 있다 (Kojima et al., 2025)",A Comprehensive Survey on Physical Risk Control in…,https://www.ijcai.org/proceedings/2025/1168.pdf
PHYSBENCH-REF-0005,P2,Physical Safety,P3.3,로봇 제어 실패(Robot Control Failures),그리퍼 형상·유형 제약 위반 (Gripper geometry and type constraint violation),1,"그리퍼 모양과 종류를 무시하면 물체를 놓치거나 사람을 집을 수 있다 (ASIMOV-2.0, 2025)",ASIMOV-2.0: Can AI Perceive Physical Danger and In…,https://arxiv.org/pdf/2509.21651
PHYSBENCH-REF-0005,P2,Physical Safety,P3.3,로봇 제어 실패(Robot Control Failures),그리퍼 형상·유형 제약 위반 (Gripper geometry and type constraint violation),2,"물체 조작과 파지가 실패할 때 생기는 피지컬 위험을 다룬다 (Soft bionic gripper with tactile sensing a…, 2024)",+ Soft bionic gripper with tactile sensing a… (2024),https://doi.org/10.1016/j.compag.2024.108904
PHYSBENCH-REF-0006,P2,Physical Safety,P3.3,로봇 제어 실패(Robot Control Failures),재료 특성 제약 위반 (Material property constraint violation),1,"깨지기 쉽거나 미끄러운 재료 특성을 모르면 잡기와 이동이 위험해진다 (ASIMOV-2.0, 2025)",ASIMOV-2.0: Can AI Perceive Physical Danger and In…,https://arxiv.org/pdf/2509.21651
PHYSBENCH-REF-0008,P2,Physical Safety,P3.3,로봇 제어 실패(Robot Control Failures),열·온도 제약 위반 (Thermal constraint violation),1,"뜨거움, 냉기, 방사 같은 온도 제약을 무시하면 화상이나 손상이 생긴다 (ASIMOV-2.0, 2025)",ASIMOV-2.0: Can AI Perceive Physical Danger and In…,https://arxiv.org/pdf/2509.21651
PHYSBENCH-REF-0009,P2,Physical Safety,P3.3,로봇 제어 실패(Robot Control Failures),기구학·도달 범위 제약 위반 (Kinematics and reach constraint violation),1,"관절 한계와 도달 범위를 넘는 계획은 충돌이나 넘어짐으로 이어질 수 있다 (ASIMOV-2.0, 2025)",ASIMOV-2.0: Can AI Perceive Physical Danger and In…,https://arxiv.org/pdf/2509.21651
PHYSBENCH-REF-0010,P2,Physical Safety,P3.3,로봇 제어 실패(Robot Control Failures),다중 암 협조 제약 위반 (Multi-arm coordination constraint violation),1,"여러 팔이 서로의 공간을 고려하지 않으면 팔끼리 또는 사람과 부딪힐 수 있다 (ASIMOV-2.0, 2025)",ASIMOV-2.0: Can AI Perceive Physical Danger and In…,https://arxiv.org/pdf/2509.21651
PHYSBENCH-REF-0011,P2,Physical Safety,P3.3,로봇 제어 실패(Robot Control Failures),운용 프로토콜 위반 (Operational protocol violation),1,"현장 절차와 체크리스트를 건너뛰면 안전장치가 있어도 사고가 날 수 있다 (ASIMOV-2.0, 2025)",ASIMOV-2.0: Can AI Perceive Physical Danger and In…,https://arxiv.org/pdf/2509.21651
PHYSBENCH-REF-0013,P2,Physical Safety,P3.3,로봇 제어 실패(Robot Control Failures),탑재 하중 제약 위반 (Payload constraint violation),1,"하중 한계를 넘기면 물체가 떨어지거나 로봇 관절이 손상될 수 있다 (ASIMOV-2.0, 2025)",ASIMOV-2.0: Can AI Perceive Physical Danger and In…,https://arxiv.org/pdf/2509.21651
