card_badge,card_label,card_definition,reference_index,reference_title_html,reference_title_full,reference_url,reference_year,reference_venue,justification,card_direct_terms,direct_term_hits,direct_terms_hit,card_tags,reference_tags,tag_overlap_count,tag_overlap,ref_title_word_overlap,title_words_hit,suspicious_domain_hit,metadata_source,severity
PHYSBENCH-REF-0049,명시적 위험 명령 거부 실패 (Explicit hazard non-rejection),embodied 에이전트가 명확히 진술된 피지컬 위험 지시를 거부하지 못하고 비안전 작업 실행 방향으로 나아가는 실패. (An embodied agent fails to reject a clearly stated physical hazard instruction and proceeds toward unsafe task execution.),1,SafeAgentBench: A Benchmark for Safe Task Planning…,SafeAgentBench: A Benchmark for Safe Task Planning…,https://arxiv.org/pdf/2412.13178,,,"상세 hazardous task는 위험 의도가 명시된 실내 로봇 명령을 에이전트가 거부하지 못하는지를 직접 측정한다 (Yin et al., 2025)",explicit;rejection,1,rejection,,,0,,1,planning,,,ok
PHYSBENCH-REF-0049,명시적 위험 명령 거부 실패 (Explicit hazard non-rejection),embodied 에이전트가 명확히 진술된 피지컬 위험 지시를 거부하지 못하고 비안전 작업 실행 방향으로 나아가는 실패. (An embodied agent fails to reject a clearly stated physical hazard instruction and proceeds toward unsafe task execution.),2,LLM Physical Safety Benchmark (TrustSafeAI),LLM Physical Safety Benchmark (TrustSafeAI),https://huggingface.co/datasets/TrustSafeAI/llm_physical_safety_benchmark,,,"명시적 물리 위험 명령에 대한 LLM 거부 여부 측정 데이터셋 (LLM Physical Safety Benchmark, HF)",explicit;rejection,0,,,ethics;llm_jailbreak,0,,0,,,,high
PHYSBENCH-REF-0095,헌법적 안전 조향 실패 (Constitutional safety steering failure),"헌법적 조향 메커니즘이 지시·맥락·모달리티가 안전 원칙에 도전할 때 로봇 행동을 정렬하지 못하는 실패. (A constitutional steering mechanism fails to align robot behavior with safety principles when instructions, context, or visual scenes imply physical danger.)",1,Generating Robot Constitutions and Benchmarks for …,Generating Robot Constitutions and Benchmarks for …,https://arxiv.org/pdf/2503.08663,,,"안전 원칙이 실제 로봇 행동 규칙으로 충분히 바뀌지 못할 수 있다 (Robot Constitutions, 2025)",constitutional;steering,0,,,,0,,0,,,,high
PHYSBENCH-REF-0095,헌법적 안전 조향 실패 (Constitutional safety steering failure),"헌법적 조향 메커니즘이 지시·맥락·모달리티가 안전 원칙에 도전할 때 로봇 행동을 정렬하지 못하는 실패. (A constitutional steering mechanism fails to align robot behavior with safety principles when instructions, context, or visual scenes imply physical danger.)",2,Robot Safety Commands (ermandmand),Robot Safety Commands (ermandmand),https://huggingface.co/datasets/ermandmand/robot-safety-commands,,,"로봇 안전 명령 데이터셋, 헌법적 안전 조향 준수 여부 검증 (Robot Safety Commands, HF)",constitutional;steering,0,,,,0,,0,,,,high
PHYSBENCH-REF-0097,페르소나 제약 실패 (Embodiment-persona constraint failure),"휴머노이드 로봇 등 구현체 페르소나 하에서 작동하는 모델이 해당 역할을 올바른 피지컬 제약으로 변환하지 못하는 실패. (A model acting under an embodiment persona such as a humanoid robot fails to translate that role into correct physical constraints, refusals, or safe alternatives.)",1,Generating Robot Constitutions and Benchmarks for …,Generating Robot Constitutions and Benchmarks for …,https://arxiv.org/pdf/2503.08663,,,"로봇 역할을 흉내 내는 모델이 실제 몸의 한계와 위험을 제대로 반영하지 못할 수 있다 (Robot Constitutions, 2025)",embodiment;persona,0,,humanoid,,0,,0,,,,high
PHYSRISK-REF-0028,프롬프트→행동 주입 공격 (Prompt-to-act injection),"언어 매개 로봇 또는 에이전트가 악의적 지시·표지·QR코드·음성 명령·문서를 안전 위반 피지컬 행동으로 변환하는 위험. (A language-mediated robot or agent may convert malicious instructions, signs, QR codes, voice commands, or documents into unsafe physical actions.)",1,MITRE ATLAS,MITRE ATLAS,https://atlas.mitre.org/,,,"프롬프트 주입이 텍스트 응답을 넘어 로봇의 실제 행동으로 이어질 수 있다 (Slattery et al., 2024)",injection;prompt,0,,,,0,,0,,,,high
PHYSRISK-REF-0028,프롬프트→행동 주입 공격 (Prompt-to-act injection),"언어 매개 로봇 또는 에이전트가 악의적 지시·표지·QR코드·음성 명령·문서를 안전 위반 피지컬 행동으로 변환하는 위험. (A language-mediated robot or agent may convert malicious instructions, signs, QR codes, voice commands, or documents into unsafe physical actions.)",2,Phantom in the opera: adversarial music at… (2024),Phantom in the opera: adversarial music attack for robot dialogue system,https://doi.org/10.3389/fcomp.2024.1355975,2024,FRONTIERS IN COMPUTER SCIENCE,"입력 교란이 시스템 행동을 바꾸는 공격면을 보여준다 (Phantom in the opera: adversarial music at…, 2024)",injection;prompt,0,,,security,0,,0,,,/Users/deep1003/data3/webofscience_ai_global_export/bibtex/physical_ai_risk_cards_20260623/physical_ai_academic_references_20260623.csv,high
PHYSRISK-REF-0043,조작·이동 능력 공격 전용화 (Manipulation/mobility repurposed for attack),"조작 및 이동 기능이 타격·투척·돌진 공격에 전용되는 위험. (A robot’s manipulation or mobility capabilities are repurposed to physically attack people, property, or infrastructure.)",1,Open letter on the weaponization of general-purpos…,Open letter on the weaponization of general-purpos…,https://www.bostondynamics.com/no-weaponization,,,"로봇의 팔과 이동 기능이 공격 도구로 바뀌면 사람이 직접 다칠 수 있다 (Boston Dynamics et al., 2022)",attack;manipulation;mobility;repurposed,0,,security,,0,,0,,,,high
PHYSRISK-REF-0043,조작·이동 능력 공격 전용화 (Manipulation/mobility repurposed for attack),"조작 및 이동 기능이 타격·투척·돌진 공격에 전용되는 위험. (A robot’s manipulation or mobility capabilities are repurposed to physically attack people, property, or infrastructure.)",2,Detection of Cyber-attacks to indoor real … (2018),Detection of Cyber-attacks to indoor real time localization systems for autonomous robots,https://doi.org/10.1016/j.robot.2017.10.006,2018,ROBOTICS AND AUTONOMOUS SYSTEMS,"로봇 시스템이 사이버 공격을 받으면 피지컬 행동도 흔들릴 수 있다 (Detection of Cyber-attacks to indoor real …, 2018)",attack;manipulation;mobility;repurposed,1,attack,security,navigation;security;uncertainty,1,security,1,for,,/Users/deep1003/data3/webofscience_ai_global_export/bibtex/physical_ai_risk_cards_20260623/physical_ai_academic_references_20260623.csv,ok
PHYSRISK-REF-0045,물리적 침입 및 절도 (Autonomous physical intrusion and theft),자율적 침입·잠금 우회·보안 공간 내 정찰 위험. (An autonomous robot enters restricted spaces or takes physical objects without authorization.),1,A real-time intelligent intrusion detectio… (2025),A real-time intelligent intrusion detection framework for robotic system cybersecurity,https://doi.org/10.1007/s12083-025-02175-6,2025,PEER-TO-PEER NETWORKING AND APPLICATIONS,자율 로봇이 제한구역에 들어가거나 물건을 가져가면 피지컬 보안 사고가 된다 (Embodied-platform physical security threat assessment),autonomous;intrusion;theft,1,intrusion,security,labor;medical_care;security;uncertainty;vehicle,1,security,1,intrusion,,/Users/deep1003/data3/webofscience_ai_global_export/bibtex/physical_ai_risk_cards_20260623/physical_ai_academic_references_20260623.csv,ok
PHYSRISK-REF-0030,로봇의 무기화 오남용 (Robot-as-weapon misuse),"이동·항공·휴머노이드·조작기 시스템이 감시·위협·파괴 또는 직접적인 피지컬 해악을 위해 전용되는 위험. (Mobile, aerial, humanoid, or manipulator systems may be repurposed for surveillance, intimidation, sabotage, or physical attack.)",1,MIT AI Risk Repository; BadRobot: Jailbreaking Emb…,MIT AI Risk Repository; BadRobot: Jailbreaking Emb…,https://arxiv.org/pdf/2407.20242,,,"로봇의 이동과 조작 능력이 사람을 해치는 수단으로 바뀔 수 있다 (Zhang et al., 2024)",weapon,0,,drone;humanoid;privacy;security,llm_jailbreak,0,,0,,,,high
PHYSRISK-REF-0030,로봇의 무기화 오남용 (Robot-as-weapon misuse),"이동·항공·휴머노이드·조작기 시스템이 감시·위협·파괴 또는 직접적인 피지컬 해악을 위해 전용되는 위험. (Mobile, aerial, humanoid, or manipulator systems may be repurposed for surveillance, intimidation, sabotage, or physical attack.)",2,The future of war: could lethal autonomous… (2020),The future of war: could lethal autonomous weapons make conflict more ethical?,https://doi.org/10.1007/s00146-019-00879-x,2020,AI \& SOCIETY,"로봇 능력이 무기화될 때 생기는 피지컬 피해를 다룬다 (The future of war: could lethal autonomous…, 2020)",weapon,1,weapon,drone;humanoid;privacy;security,ethics;medical_care,0,,0,,,/Users/deep1003/data3/webofscience_ai_global_export/bibtex/physical_ai_risk_cards_20260623/physical_ai_academic_references_20260623.csv,ok
PHYSBENCH-REF-0003,물리적 위험 개입 실패 (Physical danger intervention failure),시스템이 위험 상황을 인식하고도 적시에 적절한 개입 또는 거부 응답을 생성하지 못하는 실패. (A system recognizes a hazardous physical situation but fails to produce a timely and appropriate intervention or refusal.),1,ASIMOV-2.0: Can AI Perceive Physical Danger and In…,ASIMOV-2.0: Can AI Perceive Physical Danger and In…,https://arxiv.org/pdf/2509.21651,,,"위험을 알아도 제때 멈추거나 경고하지 못하면 사고를 막지 못한다 (ASIMOV-2.0, 2025)",danger;intervention,1,danger,,,0,,1,danger,,,ok
PHYSBENCH-REF-0007,물리적 상식 위반 (Commonsense physicality violation),"모델이 물체 지지·안정성·포함 관계 등 기본적인 피지컬 상식을 위반하는 행동을 제안하거나 실행하는 실패. (A model proposes or executes an action that violates basic physical commonsense about object support, stability, containment, or gravity.)",1,ASIMOV-2.0: Can AI Perceive Physical Danger and In…,ASIMOV-2.0: Can AI Perceive Physical Danger and In…,https://arxiv.org/pdf/2509.21651,,,"로봇이 무게, 불, 날카로움 같은 상식을 놓치면 안전하지 않은 행동을 고른다 (ASIMOV-2.0, 2025)",commonsense;physicality,0,,,,0,,0,,,,high
PHYSBENCH-REF-0012,복합 물리적 제약 위반 (Compositional physical constraint violation),개별적으로는 유효한 행동들이 피지컬 제약 간 의존성 미모델링으로 결합 시 비안전 계획을 생성하는 실패. (Individually valid actions are combined into an unsafe plan because dependencies among physical constraints are not modeled.),1,ASIMOV-2.0: Can AI Perceive Physical Danger and In…,ASIMOV-2.0: Can AI Perceive Physical Danger and In…,https://arxiv.org/pdf/2509.21651,,,"따로 보면 안전한 동작도 조합되면 충돌이나 낙하 같은 위험이 될 수 있다 (ASIMOV-2.0, 2025)",compositional,0,,,,0,,0,,,,high
PHYSBENCH-REF-0032,안전 강화학습 제약 위반 (Safe reinforcement learning constraint violation),강화학습 정책이 비용으로 표현된 명시적 안전 제약을 위반하면서 과제 보상을 달성하는 실패. (A reinforcement learning policy achieves task reward while violating explicit safety constraints represented as costs or limits.),1,Safety-Gymnasium: A Unified Safe Reinforcement Lea…,Safety-Gymnasium: A Unified Safe Reinforcement Lea…,https://arxiv.org/pdf/2310.12567,,,"안전 비용을 둔 강화학습도 보상만 좇으면 금지 행동을 선택할 수 있다 (Safety-Gymnasium, 2023)",learning;reinforcement,1,reinforcement,force;learning,force,1,force,1,reinforcement,,,ok
PHYSBENCH-REF-0032,안전 강화학습 제약 위반 (Safe reinforcement learning constraint violation),강화학습 정책이 비용으로 표현된 명시적 안전 제약을 위반하면서 과제 보상을 달성하는 실패. (A reinforcement learning policy achieves task reward while violating explicit safety constraints represented as costs or limits.),2,Safe Reinforcement Learning Using Sequenti… (2025),Safe Reinforcement Learning Using Sequential Constraints for Collision Avoidance,https://doi.org/10.18178/ijmerr.14.3.347-359,2025,INTERNATIONAL JOURNAL OF MECHANICAL ENGINEERING AND ROBOTICS RESEARCH,"강화학습 정책이 안전 제약을 어떻게 어길 수 있는지 다룬다 (Safe Reinforcement Learning Using Sequenti…, 2025)",learning;reinforcement,2,learning;reinforcement,force;learning,collision;force;learning;navigation,2,force;learning,2,learning;reinforcement,,/Users/deep1003/data3/webofscience_ai_global_export/bibtex/physical_ai_risk_cards_20260623/physical_ai_academic_references_20260623.csv,ok
PHYSBENCH-REF-0032,안전 강화학습 제약 위반 (Safe reinforcement learning constraint violation),강화학습 정책이 비용으로 표현된 명시적 안전 제약을 위반하면서 과제 보상을 달성하는 실패. (A reinforcement learning policy achieves task reward while violating explicit safety constraints represented as costs or limits.),3,Safe Learning in Robotics: From Learning-Based Control to… (2022),Safe Learning in Robotics: From Learning-Based Control to Safe Reinforcement Learning,https://doi.org/10.1146/annurev-control-042920-020211,2022,ANNUAL REVIEW OF CONTROL ROBOTICS AND AUTONOMOUS SYSTEMS,"로봇 학습 제어에서 안전 제약을 보상과 함께 다루므로, 안전 강화학습 제약 위반은 제어 설계 단계에서 바로 문제된다 (Safe Learning in Robotics (2022))",learning;reinforcement,2,learning;reinforcement,force;learning,force;learning;uncertainty,2,force;learning,2,learning;reinforcement,,/Users/deep1003/data3/webofscience_ai_global_export/bibtex/physical_ai_risk_cards_20260623/physical_ai_academic_references_20260623.csv,ok
PHYSBENCH-REF-0032,안전 강화학습 제약 위반 (Safe reinforcement learning constraint violation),강화학습 정책이 비용으로 표현된 명시적 안전 제약을 위반하면서 과제 보상을 달성하는 실패. (A reinforcement learning policy achieves task reward while violating explicit safety constraints represented as costs or limits.),4,Explainable and Safety Aware Deep Reinforcement Learning-Based Control of… (2025),Explainable and Safety Aware Deep Reinforcement Learning-Based Control of Nonlinear Discrete-Time Systems Using Neural Network Gradient Decomposition,https://doi.org/10.1109/tase.2025.3554431,2025,IEEE TRANSACTIONS ON AUTOMATION SCIENCE AND ENGINEERING,"설명 가능한 안전 제어에서 '안전 강화학습 제약 위반' 문제가 실제 안전 문제로 이어질 수 있음을 다룬다; Explainable and Safety Aware… (Farzanegan et al., 2025)",learning;reinforcement,2,learning;reinforcement,force;learning,explainability;force;labor;learning;llm_jailbreak;uncertainty;vehicle,2,force;learning,2,learning;reinforcement,,/Users/deep1003/data3/webofscience_ai_global_export/bibtex/physical_ai_risk_cards_20260623/physical_ai_academic_references_20260623.csv,ok
PHYSBENCH-REF-0032,안전 강화학습 제약 위반 (Safe reinforcement learning constraint violation),강화학습 정책이 비용으로 표현된 명시적 안전 제약을 위반하면서 과제 보상을 달성하는 실패. (A reinforcement learning policy achieves task reward while violating explicit safety constraints represented as costs or limits.),5,3D RVO-enhanced multi-agent deep reinforcement learning for collision avo… (2025),3D RVO-enhanced multi-agent deep reinforcement learning for collision avoidance in urban structured airspace,https://doi.org/10.1016/j.ast.2025.110378,2025,AEROSPACE SCIENCE AND TECHNOLOGY,"다중 에이전트 강화학습으로 도시 공역 충돌 회피를 다뤄, 안전 제약이 빠진 학습 정책은 충돌 위험을 남길 수 있다 (Zhong et al., 2025)",learning;reinforcement,2,learning;reinforcement,force;learning,collision;drone;force;learning;navigation;vehicle,2,force;learning,2,learning;reinforcement,,/Users/deep1003/data3/webofscience_ai_global_export/bibtex/physical_ai_risk_cards_20260623/physical_ai_academic_references_20260623.csv,ok
PHYSBENCH-REF-0035,제약 비용 과소평가 (Constraint-cost underestimation),"정책 또는 평가자가 누적 안전 비용을 과소평가하여 외견상 안전한 행동이 시간 경과에 따라 제약을 위반하는 실패. (A policy or evaluator underestimates cumulative safety costs, making apparently safe behavior violate constraints over time.)",1,Safety-Gymnasium: A Unified Safe Reinforcement Lea…,Safety-Gymnasium: A Unified Safe Reinforcement Lea…,https://arxiv.org/pdf/2310.12567,,,"작은 안전 비용을 낮게 잡으면 여러 번의 행동 끝에 큰 위험이 누적된다 (Safety-Gymnasium, 2023)",cost;underestimation,0,,,force,0,,0,,,,high
PHYSBENCH-REF-0039,물리적 상호작용 안전 공백 (Physical interaction safety control gap),리스크 제어가 기반 모델 탑재 로봇과 인간 간 직접 피지컬 상호작용을 불충분하게 다루는 위험. (Risk controls insufficiently cover direct physical interaction between humans and foundation-model-enabled robots.),1,A Comprehensive Survey on Physical Risk Control in…,A Comprehensive Survey on Physical Risk Control in…,https://www.ijcai.org/proceedings/2025/1168.pdf,,,"사람과 가까이 닿는 로봇은 힘, 속도, 거리 제어가 빠지면 바로 다칠 수 있다 (Kojima et al., 2025)",interaction,0,,,,0,,0,,,,high
PHYSBENCH-REF-0045,제약 모니터링 실패 (Constraint monitoring failure),"런타임 모니터가 속도·힘·작업 공간·충돌·물체 사용·작업 완료를 지배하는 제약을 감지하거나 집행하지 못하는 실패. (Runtime monitors fail to detect or enforce constraints governing speed, force, workspace, collision, object use, or task protocol.)",1,A Comprehensive Survey on Physical Risk Control in…,A Comprehensive Survey on Physical Risk Control in…,https://www.ijcai.org/proceedings/2025/1168.pdf,,,"속도, 힘, 작업 구역 같은 제약을 감시하지 못하면 위험 행동을 놓친다 (Kojima et al., 2025)",monitoring,0,,collision;force,,0,,0,,,,high
PHYSBENCH-REF-0045,제약 모니터링 실패 (Constraint monitoring failure),"런타임 모니터가 속도·힘·작업 공간·충돌·물체 사용·작업 완료를 지배하는 제약을 감지하거나 집행하지 못하는 실패. (Runtime monitors fail to detect or enforce constraints governing speed, force, workspace, collision, object use, or task protocol.)",2,Visual quality and safety monitoring syste… (2023),Visual quality and safety monitoring system for human-robot cooperation,https://doi.org/10.1007/s00170-023-11698-2,2023,INTERNATIONAL JOURNAL OF ADVANCED MANUFACTURING TECHNOLOGY,"현장 모니터링이 약하면 위험 행동을 제때 잡지 못한다 (Visual quality and safety monitoring syste…, 2023)",monitoring,1,monitoring,collision;force,collision;labor;privacy,1,collision,1,monitoring,,/Users/deep1003/data3/webofscience_ai_global_export/bibtex/physical_ai_risk_cards_20260623/physical_ai_academic_references_20260623.csv,ok
PHYSBENCH-REF-0045,제약 모니터링 실패 (Constraint monitoring failure),"런타임 모니터가 속도·힘·작업 공간·충돌·물체 사용·작업 완료를 지배하는 제약을 감지하거나 집행하지 못하는 실패. (Runtime monitors fail to detect or enforce constraints governing speed, force, workspace, collision, object use, or task protocol.)",3,Safe Learning in Robotics: From Learning-Based Control to… (2022),Safe Learning in Robotics: From Learning-Based Control to Safe Reinforcement Learning,https://doi.org/10.1146/annurev-control-042920-020211,2022,ANNUAL REVIEW OF CONTROL ROBOTICS AND AUTONOMOUS SYSTEMS,"로봇 학습 제어에서 안전 제약을 보상과 함께 다루므로, 제약 모니터링 실패는 제어 설계 단계에서 바로 문제된다 (Safe Learning in Robotics (2022))",monitoring,0,,collision;force,force;learning;uncertainty,1,force,0,,,/Users/deep1003/data3/webofscience_ai_global_export/bibtex/physical_ai_risk_cards_20260623/physical_ai_academic_references_20260623.csv,medium
PHYSBENCH-REF-0045,제약 모니터링 실패 (Constraint monitoring failure),"런타임 모니터가 속도·힘·작업 공간·충돌·물체 사용·작업 완료를 지배하는 제약을 감지하거나 집행하지 못하는 실패. (Runtime monitors fail to detect or enforce constraints governing speed, force, workspace, collision, object use, or task protocol.)",4,Personalized Assistance in Robotic Rehabilitation: Real-Time Adaptation v… (2025),Personalized Assistance in Robotic Rehabilitation: Real-Time Adaptation via Energy-Based Performance Monitoring,https://doi.org/10.1109/tase.2025.3552446,2025,IEEE TRANSACTIONS ON AUTOMATION SCIENCE AND ENGINEERING,"피지컬 AI 시스템에서 '제약 모니터링 실패' 문제가 실제 안전 문제로 이어질 수 있음을 다룬다; Personalized Assistance in Ro… (Pezeshki et al., 2025)",monitoring,1,monitoring,collision;force,collision;force;labor;medical_care;uncertainty,2,collision;force,1,monitoring,,/Users/deep1003/data3/webofscience_ai_global_export/bibtex/physical_ai_risk_cards_20260623/physical_ai_academic_references_20260623.csv,ok
PHYSBENCH-REF-0048,위험 작업 계획 실패 (Hazardous task planning failure),"embodied LLM 에이전트가 피지컬 위험을 포함한 작업에 대한 계획을 생성하거나 승인하는 실패. (An embodied LLM agent generates or approves a plan for a task that contains physical hazards despite being expected to refuse, revise, or add safety constraints.)",1,SafeAgentBench: A Benchmark for Safe Task Planning…,SafeAgentBench: A Benchmark for Safe Task Planning…,https://arxiv.org/pdf/2412.13178,,,"SafeAgentBench는 실행 가능한 embodied task에서 위험 지시가 계획 단계에서 걸러지지 않고 실제 hazardous action으로 이어지는지를 평가한다 (Yin et al., 2025)",hazardous;planning,1,planning,llm_jailbreak,,0,,1,planning,,,ok
PHYSBENCH-REF-0048,위험 작업 계획 실패 (Hazardous task planning failure),"embodied LLM 에이전트가 피지컬 위험을 포함한 작업에 대한 계획을 생성하거나 승인하는 실패. (An embodied LLM agent generates or approves a plan for a task that contains physical hazards despite being expected to refuse, revise, or add safety constraints.)",2,Instruction Risk Assessment EN-ID (YosepMulia),Instruction Risk Assessment EN-ID (YosepMulia),https://huggingface.co/datasets/YosepMulia/instruction-risk-assessment-en-id,,,"자연어 명령 실행 전 위험 평가 이중언어 데이터셋, 위험 작업 계획 평가 (Instruction Risk Assessment EN-ID, HF)",hazardous;planning,0,,llm_jailbreak,,0,,0,,,,high
