source_file,year,title,abstract,venue,institution,document_type,doi,url,landing_page_url,pdf_url,authors,first_author,citations,record_id,matched_terms,matched_l3,record_type,title_key,doi_key,candidate_url,url_key,score,selection_reason,checked_url,access_ok,status_code,final_url,content_type,access_error
,2025,"Deep Reinforcement and IL for Autonomous Driving: A Review in the CARLA
   Simulation Environment","Autonomous driving is a complex and fast-evolving domain at the
   intersection of robotics, machine learning, and control systems. This
   paper provides a systematic review of recent developments in
   reinforcement learning (RL) and imitation learning (IL) approaches for
   autonomous vehicle control, with a dedicated focus on the CARLA
   simulator, an open-source, high-fidelity platform that has become a
   standard for learning-based autonomous vehicle (AV) research. We analyze
   RL-based and IL-based studies, extracting and comparing their
   formulations of state, action, and reward spaces. Special attention is
   given to the design of reward functions, control architectures, and
   integration pipelines. Comparative graphs and diagrams illustrate
   performance trade-offs. We further highlight gaps in generalization to
   real-world driving scenarios, robustness under dynamic environments, and
   scalability of agent architectures. Despite rapid progress, existing
   autonomous driving systems exhibit significant limitations. For
   instance, studies show that end-to-end reinforcement learning (RL)
   models can suffer from performance degradation of up to 35\% when
   exposed to unseen weather or town conditions, and imitation learning
   (IL) agents trained solely on expert demonstrations exhibit up to 40\%
   higher collision rates in novel environments. Furthermore, reward
   misspecification remains a critical issue-over 20\% of reported failures
   in simulated environments stem from poorly calibrated reward signals.
   Generalization gaps, especially in RL, also manifest in task-specific
   overfitting, with agents failing up to 60\% of the time when faced with
   dynamic obstacles not encountered during training. These persistent
   shortcomings underscore the need for more robust and sample-efficient
   learning strategies. Finally, we discuss hybrid paradigms that integrate
   IL and RL, such as Generative Adversarial IL, and propose future
   research directions.",APPLIED SCIENCES-BASEL,,Review,10.3390/app15168972,,,,"Czechowski, Piotr and Kawa, Bartosz and Sakhai, Mustafa and Wielgosz,
   Maciej",,4.0,WOS:001557233300001,,,paper,deep reinforcement and il for autonomous driving a review in the carla simulation environment,10.3390/app15168972,https://doi.org/10.3390/app15168972,https://doi.org/10.3390/app15168972,167.532,citations=4; year=2025; risk_terms=4; physical_terms=4; prestige_venue=mandatory_candidate,https://doi.org/10.3390/app15168972,False,403,https://www.mdpi.com/2076-3417/15/16/8972,text/html,
,2018,"``You're Fired,{''} Says the Robot: The Rise of Automation in the
   Workplace, Technophobes, and Fears of Unemployment","The rapid adoption of new technologies in the workplace, especially
   robotics and artificial intelligence (AI), has motivated some
   researchers to determine what effects such technologies may have. Few
   scholars, however, have examined the possibility that a large segment of
   the population is apprehensive about the quick pace of technological
   change and encroachment into modern life. Drawing from economic
   projections about the future of the digital economy and from literature
   in the sociology of technology and emotions, this article explores
   whether certain fears of technology exacerbate fears of unemployment and
   financial insecurity. Using data from Wave 2 of the Chapman Survey of
   American Fears (N = 1,541), I find that there exists a sizable
   population of technophobes or those who fear robots, AI, and technology
   they do not understand. Technophobes are also more likely than
   nontechnophobes to report having anxiety-related mental health issues
   and to fear unemployment and financial insecurity. With advances in
   robotics and AI, the threat of technological unemployment is discussed
   as a real concern among a substantial portion of the American
   population.",SOCIAL SCIENCE COMPUTER REVIEW,,Article,10.1177/0894439317698637,,,,"McClure, Paul K.",,253.0,WOS:000429943900001,,,paper,you re fired says the robot the rise of automation in the workplace technophobes and fears of unemployment,10.1177/0894439317698637,https://doi.org/10.1177/0894439317698637,https://doi.org/10.1177/0894439317698637,167.523,citations=253; year=2018; risk_terms=1; physical_terms=3; prestige_venue=mandatory_candidate,https://doi.org/10.1177/0894439317698637,True,200,https://journals.sagepub.com/doi/10.1177/0894439317698637,text/html;charset=UTF-8,
,2023,Low Rate DDoS Detection Using Weighted Federated Learning in SDN Control Plane in IoT Network,"The Internet of things (IoT) has opened new dimensions of novel services and computing power for modern living standards by introducing innovative and smart solutions. Due to the extensive usage of these services, IoT has spanned numerous devices and communication entities, which makes the management of the network a complex challenge. Hence it is urgently needed to redefine the management of the IoT network. Software-defined networking (SDN) intrinsic programmability and centralization features simplify network management, facilitate network abstraction, ease network evolution, has the potential to manage the IoT network. SDN’s centralized control plane promotes efficient network resource management by separating the control and data plane and providing a global picture of the underlying network topology. Apart from the inherent benefits, the centralized SDN architecture also brings serious security threats such as spoofing, sniffing, brute force, API exploitation, and denial of service, and requires significant attention to guarantee a secured network. Among these security threats, Distributed Denial of Service (DDoS) and its variant Low-Rate DDoS (LR-DDoS), is one of the most challenging as the fraudulent user generates malicious traffic at a low rate which is extremely difficult to detect and defend. Machine Learning (ML), especially Federated Learning (FL), has shown remarkable success in detecting and defending against such attacks. In this paper, we adopted Weighted Federated Learning (WFL) to detect Low-Rate DDoS (LR-DDoS) attacks. The extensive MATLAB experimentation and evaluation revealed that the proposed work ignites the LR-DDoS detection accuracy compared with the individual Neural Networks (ANN) training algorithms, existing packet analysis-based, and machine learning approaches.",Applied Sciences,Multidisciplinary Digital Publishing Institute,article,10.3390/app13031431,https://openalex.org/W4317813238,https://doi.org/10.3390/app13031431,,"['Muhammad Nadeem Ali', 'Muhammad Imran', 'Muhammad Salah ud din', 'Byung-Seo Kim']",Muhammad Nadeem Ali,64.0,https://openalex.org/W4317813238,control | physical,,paper,low rate ddos detection using weighted federated learning in sdn control plane in iot network,10.3390/app13031431,https://doi.org/10.3390/app13031431,https://doi.org/10.3390/app13031431,167.441,citations=64; year=2023; risk_terms=2; physical_terms=1; prestige_venue=mandatory_candidate,https://doi.org/10.3390/app13031431,False,403,https://www.mdpi.com/2076-3417/13/3/1431,text/html,
,2022,CNN Based Automated Weed Detection System Using UAV Imagery,"The problem of weeds in crops is a natural problem for farmers. Machine
   Learning (ML), Deep Learning (DL), and Unmanned Aerial Vehicles (UAV)
   are among the advanced technologies that should be used in order to
   reduce the use of pesticides while also protecting the environment and
   ensuring the safety of crops. Deep Learning-based crop and weed
   identification systems have the potential to save money while also
   reducing environmental stress. The accuracy of ML/DL models has been
   proven to be restricted in the past due to a variety of factors,
   including the selection of an efficient wavelength, spatial resolution,
   and the selection and tuning of hyperparameters. The purpose of the
   current research is to develop a new automated weed detecting system
   that uses Convolution Neural Network (CNN) classification for a real
   dataset of 4400 UAV pictures with 15336 segments. Snapshots were used to
   choose the optimal parameters for the proposed CNN LVQ model. The soil
   class achieved the user accuracy of 100\% with the proposed CNN LVQ
   model, followed by soybean (99.79\%), grass (98.58\%), and broadleaf
   (98.32\%). The developed CNN LVQ model showed an overall accuracy of
   99.44\% after rigorous hyperparameter tuning for weed detection,
   significantly higher than previously reported studies.",COMPUTER SYSTEMS SCIENCE AND ENGINEERING,,Article,10.32604/csse.2022.023016,,,,"Haq, Mohd Anul",,152.0,WOS:000740935600004,,,paper,cnn based automated weed detection system using uav imagery,10.32604/csse.2022.023016,https://doi.org/10.32604/csse.2022.023016,https://doi.org/10.32604/csse.2022.023016,167.426,citations=152; year=2022; risk_terms=2; physical_terms=1; prestige_venue=mandatory_candidate,https://doi.org/10.32604/csse.2022.023016,True,200,https://www.techscience.com/csse/v42n2/46130,text/html; charset=UTF-8,
,2023,"Unmanned Vessel Collision Avoidance Algorithm by Dynamic Window Approach
   Based on COLREGs Considering the Effects of the Wind and Wave","In recent years, the rapid development of artificial intelligence
   algorithms has promoted the intelligent transformation of the ship
   industry; unmanned surface vessels (USVs) have become a widely used
   representative product. The dynamic window approach (DWA) is an
   effective robotic collision avoidance algorithm; however, there are
   deficiencies in its application to the ship field. First, the DWA
   algorithm does not consider International Regulations for Preventing
   Collisions at Sea (COLREGs), which must be met for ship collision
   avoidance to ensure the navigational safety of the USV and other ships.
   Second, the DWA algorithm does not consider the influence of wind and
   waves on the collision avoidance of USVs in actual navigational
   environments. Reasonable use of windy and wavy environments not only
   improves navigational safety but also saves navigational time and fuel
   consumption, thereby improving the economy. Therefore, this paper
   proposes an improvement algorithm by DWA referred to as utility DWA
   (UDWA) based on COLREGs considering the sailing environment. The
   velocity sampling area was improved by dividing the priority, and the
   velocity function in the objective function was enhanced to convert the
   effect of wind and waves on the USVs into a change in velocity. The
   simulation results showed that the UDWA algorithm optimized the distance
   to the obstacle ship by 43.25\%, 31.36\%, and 67.81\% in a head-on
   situation, crossing situation, and overtaking situation, respectively,
   compared to the COLREGs-compliant DWA algorithm, which considers the
   COLREGs. The improved algorithm not only follows the COLREGs but also
   has better flexibility in emergency collision avoidance and can safely
   and economically navigate and complete collision avoidance in windy and
   wavy environments.",JOURNAL OF MARINE SCIENCE AND ENGINEERING,,Article,10.3390/jmse11091831,,,,"Yuan, Xiaoyu and Tong, Chengchang and He, Guoxiang and Wang, Hongbo",,21.0,WOS:001079195400001,,,paper,unmanned vessel collision avoidance algorithm by dynamic window approach based on colregs considering the effects of the wind and wave,10.3390/jmse11091831,https://doi.org/10.3390/jmse11091831,https://doi.org/10.3390/jmse11091831,167.275,citations=21; year=2023; risk_terms=3; physical_terms=3; prestige_venue=mandatory_candidate,https://doi.org/10.3390/jmse11091831,False,403,https://www.mdpi.com/2077-1312/11/9/1831,text/html,
,2026,Soft robotics for personalized and sustainable wearables,"Soft robotic systems prevail in wearable and haptic applications,
   offering adaptability, safety and comfort. In this Review, we explore
   the integration of soft robotics in wearable designs for applications in
   assistance, rehabilitation and haptic sensory stimulation. We outline
   various types of soft actuators, examining their properties with regard
   to adjustable stiffness, mechanical responsiveness and sensing
   capabilities and their integration into wearable devices for health-care
   applications. We also highlight challenges and opportunities in
   developing sustainable, self-healing, self-powering and self-actuating
   soft robots, particularly with regard to achieving efficient energy
   usage, long-term durability and personalized control. Finally, we
   examine how machine learning might be explored to optimize the
   performance and adaptability of soft robotic devices to transform
   real-time data into actionable insights for personalized experiences.",NATURE REVIEWS BIOENGINEERING,,Review,10.1038/s44222-025-00359-6,,,,"van Oosterhout, Anke and Robertson, Matthew A. and Paik, Jamie",,6.0,WOS:001577697000001,,,paper,soft robotics for personalized and sustainable wearables,10.1038/s44222-025-00359-6,https://doi.org/10.1038/s44222-025-00359-6,https://doi.org/10.1038/s44222-025-00359-6,167.243,citations=6; year=2026; risk_terms=2; physical_terms=5; prestige_venue=mandatory_candidate,https://doi.org/10.1038/s44222-025-00359-6,True,200,https://www.nature.com/articles/s44222-025-00359-6,"text/html; charset=""UTF-8""",
,2025,"Dynamic Sliding Mode Formation Control of Unmanned Surface Vehicles
   Under Actuator Failure","Unmanned surface vehicles (USVs) are increasingly critical in modern
   maritime operations, where reliable cooperative formation control under
   actuator failure is essential for safe navigation and efficient mission
   execution. Thus, this study presents an innovative fault-tolerant
   control strategy for USV formations, specifically addressing the
   challenges posed by actuator degradation, compound uncertainties, and
   input saturation. Concretely, the main contribution of this study is as
   follows. First, a detailed analysis of the USV kinematics and dynamics
   is conducted, and a novel position constraint model is developed through
   a formation transformation approach. To mitigate internal and external
   disturbances, a new non-singular terminal sliding mode surface is
   designed in conjunction with a dynamically regulated convergence law,
   ensuring finite-time convergence while reducing chattering. An adaptive
   terminal sliding mode controller is then formulated, integrating an
   event-triggered mechanism and an RBF neural network to compensate for
   model uncertainties and input saturation effects. Simulation results
   demonstrate that the proposed method not only achieves robust
   cooperative formation control under partial actuator failure but also
   significantly enhances the tracking accuracy and reduces the
   communication load compared to conventional sliding mode approaches.",JOURNAL OF MARINE SCIENCE AND ENGINEERING,,Article,10.3390/jmse13040657,,,,"Zhang, Sihang and Zhang, Qiang and Xu, Ligangao and Xu, Sheng and Zhang,
   Yan and Hu, Yancai",,6.0,WOS:001475658500001,,,paper,dynamic sliding mode formation control of unmanned surface vehicles under actuator failure,10.3390/jmse13040657,https://doi.org/10.3390/jmse13040657,https://doi.org/10.3390/jmse13040657,167.243,citations=6; year=2025; risk_terms=4; physical_terms=3; prestige_venue=mandatory_candidate,https://doi.org/10.3390/jmse13040657,False,403,https://www.mdpi.com/2077-1312/13/4/657,text/html,
,2025,"Integration of Deep Learning Vision Systems in Collaborative Robotics
   for Real-Time Applications","Collaborative robotics and computer vision systems are increasingly
   important in automating complex industrial tasks with greater safety and
   productivity. This work presents an integrated vision system powered by
   a trained neural network and coupled with a collaborative robot for
   real-time sorting and quality inspection in a food product conveyor
   process. Multiple object detection models were trained on custom
   datasets using advanced augmentation techniques to optimize performance.
   The proposed system achieved a detection and classification accuracy of
   98\%, successfully processing more than 600 items with high efficiency
   and low computational cost. Unlike conventional solutions that rely on
   ROS (Robot Operating System), this implementation used a Windows-based
   Python framework for greater accessibility and industrial compatibility.
   The results demonstrated the reliability and industrial applicability of
   the solution, offering a scalable and accurate methodology that can be
   adapted to various industrial applications.",APPLIED SCIENCES-BASEL,,Article,10.3390/app15031336,,,,"Terras, Nuno and Pereira, Filipe and Silva, Antonio Ramos and Santos,
   Adriano A. and Lopes, Antonio Mendes and Da Silva, Antonio Ferreira and
   Cartal, Laurentiu Adrian and Apostolescu, Tudor Catalin and Badea,
   Florentina and Machado, Jose",,9.0,WOS:001418509900001,,,paper,integration of deep learning vision systems in collaborative robotics for real time applications,10.3390/app15031336,https://doi.org/10.3390/app15031336,https://doi.org/10.3390/app15031336,167.236,citations=9; year=2025; risk_terms=3; physical_terms=3; prestige_venue=mandatory_candidate,https://doi.org/10.3390/app15031336,False,403,https://www.mdpi.com/2076-3417/15/3/1336,text/html,
,1998,Modeling supply chain dynamics: A multiagent approach,"A global economy and increase in customer expectations in terms of cost
   and services have put a premium on effective supply chain reengineering.
   It is essential to perform risk-benefit analysis of reengineering
   alternatives before making a final decision. Simulation provides an
   effective pragmatic approach to detailed analysis and evaluation of
   supply chain design and management alternatives. However, the utility of
   this methodology is hampered by the time and effort required to develop
   models with sufficient fidelity to the actual supply chain of interest.
   In this paper, we describe a supply chain modeling framework designed to
   overcome this difficulty. Using our approach, supply chain models are
   composed from software components that represent types of supply chain
   agents (e.g., retailers, manufacturers, transporters), their constituent
   control elements (e.g., inventory policy), and their interaction
   protocols (e.g., message types). The underlying library of supply chain
   modeling components has been derived from analysis of several different
   supply chains. It provides a reusable base of domain specific primitives
   that enables rapid development of customized decision support tools.",DECISION SCIENCES,,Article,10.1111/j.1540-5915.1998.tb01356.x,,,,"Swaminathan, JM and Smith, SF and Sadeh, NM",,505.0,WOS:000081562900004,,,paper,modeling supply chain dynamics a multiagent approach,10.1111/j.1540-5915.1998.tb01356.x,https://doi.org/10.1111/j.1540-5915.1998.tb01356.x,https://doi.org/10.1111/j.1540-5915.1998.tb01356.x,167.172,citations=505; year=1998; risk_terms=1; physical_terms=1; prestige_venue=mandatory_candidate,https://doi.org/10.1111/j.1540-5915.1998.tb01356.x,False,403,https://onlinelibrary.wiley.com/doi/10.1111/j.1540-5915.1998.tb01356.x,text/html; charset=UTF-8,
,2024,"Factors Influencing Consumer Willingness to Use AI-Driven Autonomous
   Taxis","The advancement of autonomous driving technology, particularly Tesla's
   launch of its new Robotaxi, marks a transformation in transportation.
   Understanding the theoretical mechanisms that drive consumers' intention
   to use autonomous taxis is essential. This study develops a structural
   equation model (SEM), extending the applicability of the TAM and TPB
   model, and incorporates external factors like attitudes, subjective
   norms, traffic efficiency, and perceived cost-benefit into the model to
   analyze their impact on consumers' perceived characteristics (perceived
   usefulness and perceived ease of use). A survey of 427 valid responses
   revealed that attitudes, subjective norms, and perceived cost-benefit
   all have significant positive impacts on perceived usefulness and ease
   of use, which, in turn, are the primary drivers of consumers' intention
   to use. Additionally, perceived risk significantly weakens the positive
   effects of perceived usefulness and ease of use on the intention to use,
   underscoring its critical moderating role in the technology acceptance
   process. This paper suggests strategies to enhance consumer acceptance,
   including strengthening user perception through marketing and public
   experience activities, optimizing technology to improve user experience,
   reinforcing safety and privacy measures to reduce perceived risk, and
   highlighting the insurance mechanism, convenience, and economic benefits
   of autonomous taxis in marketing.",BEHAVIORAL SCIENCES,,Article,10.3390/bs14121216,,,,"Liu, Tingyu and Zhang, Yizhou and Zhang, Mengze and Chen, Min and Yu,
   Shangchun",,13.0,WOS:001386771200001,,,paper,factors influencing consumer willingness to use ai driven autonomous taxis,10.3390/bs14121216,https://doi.org/10.3390/bs14121216,https://doi.org/10.3390/bs14121216,166.947,citations=13; year=2024; risk_terms=4; physical_terms=1; prestige_venue=mandatory_candidate,https://doi.org/10.3390/bs14121216,False,403,https://www.mdpi.com/2076-328X/14/12/1216,text/html,
,2023,"Long-Range Risk-Aware Path Planning for Autonomous Ships in Complex and
   Dynamic Environments","Path planning and collision avoidance are common problems for
   researchers in vehicle and robotics engineering design. In the case of
   autonomous ships, the navigation is guided by the regulations for
   preventing collisions at sea (COLREGs). However, COLREGs do not provide
   specific guidance for collision avoidance, especially for multi-ship
   encounters, which is a challenging task even for humans. In short-range
   path planning and collision avoidance problems, the motion of target
   ships is often considered as moving at a constant velocity and
   direction, which cannot be assumed in long-range planning and complex
   environments. The research challenge here is how to factor in the
   uncertainty of the motion of the target ships when making long-range
   path plans. In this paper, we introduce a long-range path planning
   algorithm for autonomous ships navigating in complex and dynamic
   environments to reduce the risk of encountering other ships during
   future motion. Based on the information on the position, speed over
   ground, and course over ground of other ships, our algorithm can
   estimate their intentions and future motions based on the probabilistic
   roadmap algorithm and use a risk-aware A{*} algorithm to find the
   optimal path that has low accumulated risk of encountering other ships.
   A case study is carried out on real automatic identification systems
   (AIS) datasets. The result shows that our algorithm can help reduce
   multi-ship encounters in long-term path planning.",JOURNAL OF COMPUTING AND INFORMATION SCIENCE IN ENGINEERING,,Article,10.1115/1.4056064,,,,"Hu, Chuanhui and Jin, Yan",,14.0,WOS:001021831800002,,,paper,long range risk aware path planning for autonomous ships in complex and dynamic environments,10.1115/1.4056064,https://doi.org/10.1115/1.4056064,https://doi.org/10.1115/1.4056064,166.913,citations=14; year=2023; risk_terms=3; physical_terms=4; prestige_venue=mandatory_candidate,https://doi.org/10.1115/1.4056064,False,403,https://asmedigitalcollection.asme.org/computingengineering/article/23/4/041007/1148473/Long-Range-Risk-Aware-Path-Planning-for-Autonomous,text/html; charset=UTF-8,
,2012,"Advancing data assimilation in operational hydrologic forecasting: progresses, challenges, and emerging opportunities","Abstract. Data assimilation (DA) holds considerable potential for improving hydrologic predictions as demonstrated in numerous research studies. However, advances in hydrologic DA research have not been adequately or timely implemented in operational forecast systems to improve the skill of forecasts for better informed real-world decision making. This is due in part to a lack of mechanisms to properly quantify the uncertainty in observations and forecast models in real-time forecasting situations and to conduct the merging of data and models in a way that is adequately efficient and transparent to operational forecasters. The need for effective DA of useful hydrologic data into the forecast process has become increasingly recognized in recent years. This motivated a hydrologic DA workshop in Delft, the Netherlands in November 2010, which focused on advancing DA in operational hydrologic forecasting and water resources management. As an outcome of the workshop, this paper reviews, in relevant detail, the current status of DA applications in both hydrologic research and operational practices, and discusses the existing or potential hurdles and challenges in transitioning hydrologic DA research into cost-effective operational forecasting tools, as well as the potential pathways and newly emerging opportunities for overcoming these challenges. Several related aspects are discussed, including (1) theoretical or mathematical aspects in DA algorithms, (2) the estimation of different types of uncertainty, (3) new observations and their objective use in hydrologic DA, (4) the use of DA for real-time control of water resources systems, and (5) the development of community-based, generic DA tools for hydrologic applications. It is recommended that cost-effective transition of hydrologic DA from research to operations should be helped by developing community-based, generic modeling and DA tools or frameworks, and through fostering collaborative efforts among hydrologic modellers, DA developers, and operational forecasters.",Hydrology and earth system sciences,Copernicus Publications,article,10.5194/hess-16-3863-2012,https://openalex.org/W2114971337,https://doi.org/10.5194/hess-16-3863-2012,,"['Y. Liu', 'Albrecht Weerts', 'Martyn Clark', 'Harrie‐Jan Hendricks Franssen', 'Sujay V. Kumar', 'Hamid Moradkhani', 'Dong‐Jun Seo', 'Dirk Schwanenberg', 'Paul J. Smith', 'Albert I. J. M. van Dijk', 'N. van Velzen', 'Minxue He', 'H. Lee', 'Seong Jin Noh', 'Oldřich Rakovec', 'P. J. Restrepo']",Y. Liu,488.0,https://openalex.org/W2114971337,control | physical,,paper,advancing data assimilation in operational hydrologic forecasting progresses challenges and emerging opportunities,10.5194/hess-16-3863-2012,https://doi.org/10.5194/hess-16-3863-2012,https://doi.org/10.5194/hess-16-3863-2012,166.693,citations=488; year=2012; risk_terms=1; physical_terms=1; prestige_venue=mandatory_candidate,https://doi.org/10.5194/hess-16-3863-2012,True,200,https://hess.copernicus.org/articles/16/3863/2012/,text/html,
,2024,Advancing Autonomous Vehicle Safety: Machine Learning to Predict Sensor-Related Accident Severity,"Autonomous vehicles (AVs) represent an exciting frontier in transportation, promising increased safety and efficiency on the roads. However, like any technological advancement, they are not immune to accidents. Understanding the severity of accidents involving AVs is crucial for enhancing their reliability and ensuring public trust in this transformative technology. To address this challenge, our study has employed cutting-edge natural language processing techniques combined with machine learning to predict the severity of accidents involving AVs. Our study has contributed significantly by creating a novel dataset derived from post-disengagement accident reports, covering the years 2019-2022. This dataset comprises detailed descriptions of accidents, sensor information, and other critical parameters. Moreover, we have introduced a novel approach called Multi-Distance Synthetic Technique (MDST) to balance the imbalanced nature of our dataset, which included only 334 samples due to the rarity of such accident data. Utilizing MDST for data balancing, we aimed to enhance the robustness of our analysis. Additionally, we employed Recursive Feature Selection (RFS) to extract a valuable feature set that was crucial in predicting accident severity. Leveraging this selected feature set, we trained an ensemble model, which remarkably outperformed expectations, achieving an impressive accuracy score of 0.92.",IEEE Access,Institute of Electrical and Electronics Engineers,article,10.1109/access.2024.3366990,https://openalex.org/W4391935169,https://doi.org/10.1109/access.2024.3366990,,"['Rahman Shafique', 'Furqan Rustam', 'Sheriff Murtala', 'Anca Delia Jurcut', 'Gyu Sang Choi']",Rahman Shafique,31.0,https://openalex.org/W4391935169,autonomous system | autonomous systems | autonomous vehicle | autonomous vehicles | robot | robotic | robotics,Autonomous Vehicles,paper,advancing autonomous vehicle safety machine learning to predict sensor related accident severity,10.1109/access.2024.3366990,https://doi.org/10.1109/access.2024.3366990,https://doi.org/10.1109/access.2024.3366990,166.52,citations=31; year=2024; risk_terms=6; physical_terms=4,https://doi.org/10.1109/access.2024.3366990,True,202,https://ieeexplore.ieee.org/document/10439194/,text/html; charset=UTF-8,
,2025,"Reviewing human-robot collaboration in manufacturing: Opportunities and
   challenges in the context of industry 5.0","Industry 4.0 (I4.0) has been characterized by the increasing use of
   automation, artificial intelligence, and big data in manufacturing. It
   has brought different machines, tools, robots and devices together
   through integration with cyber-physical systems as well as Internet of
   Things and computer systems. This has dramatically improved efficiency,
   productivity, and flexibility of automated systems, but it has also
   raised concerns about the impact of automation on jobs, the ethical
   considerations and the future of work in general. Industry 5.0 (I5.0) is
   the next manufacturing paradigm evolution and builds on I4.0 with the
   addition of `people', in which robots will be designed to work alongside
   humans in a safe and efficient manner. Human-robot collaboration (HRC)
   is its key enabler. In manufacturing, HRC has the potential to improve
   safety, efficiency, and productivity by allowing humans to focus on
   tasks that require creativity, judgment, and flexibility, while robots
   perform more repetitive and dangerous tasks. This paper explores the
   concept of HRC and its advancement within 21st century industry. It
   identifies the opportunities and challenges arising from the
   interactions between robots and humans in manufacturing applications,
   assembly, and inspection. It also highlights the significance of HRC in
   I4.0 and its potential in I5.0. In addition, the role of artificial
   intelligence, machine learning, large language models, information
   modelling (ontologies) and new emerging digital technologies (augmented
   reality, virtual reality, digital twins, cyberphysical system) in the
   development of HRC and I5.0 is documented and discussed adding new
   perspectives to the growing literature in this area. This investigation
   sheds light on the emerging paradigms that have come about as parts of
   I5.0 and the transformative role of human-robot interaction in shaping
   the future of manufacturing. This critical review provides a realistic
   picture of manufacturing automation and the benefits and weaknesses of
   current HRC systems. It presents a researched view on the concept,
   needs, enabling technologies and system frameworks of human-robot
   interaction in manufacturing, providing a practical vision and research
   agenda for future work in this area and its associated systems.",ROBOTICS AND COMPUTER-INTEGRATED MANUFACTURING,,Review,10.1016/j.rcim.2024.102937,,,,"Dhanda, Mandeep and Rogers, Benedict Alexander and Hall, Stephanie and
   Dekoninck, Elies and Dhokia, Vimal",,90.0,WOS:001420527800001,,,paper,reviewing human robot collaboration in manufacturing opportunities and challenges in the context of industry 5 0,10.1016/j.rcim.2024.102937,https://doi.org/10.1016/j.rcim.2024.102937,https://doi.org/10.1016/j.rcim.2024.102937,166.152,citations=90; year=2025; risk_terms=3; physical_terms=4,https://doi.org/10.1016/j.rcim.2024.102937,True,200,https://linkinghub.elsevier.com/retrieve/pii/S0736584524002242,text/html;charset=UTF-8,
,2022,In situ bidirectional human-robot value alignment,"A prerequisite for social coordination is bidirectional communication
   between teammates, each playing two roles simultaneously: as receptive
   listeners and expressive speakers. For robots working with humans in
   complex situations with multiple goals that differ in importance,
   failure to fulfill the expectation of either role could undermine group
   performance due to misalignment of values between humans and robots.
   Specifically, a robot needs to serve as an effective listener to infer
   human users' intents from instructions and feedback and as an expressive
   speaker to explain its decision processes to users. Here, we investigate
   how to foster effective bidirectional human-robot communications in the
   context of value alignment-collaborative robots and users form an
   aligned understanding of the importance of possible task goals. We
   propose an explainable artificial intelligence (XAI) system in which a
   group of robots predicts users' values by taking in situ feedback into
   consideration while communicating their decision processes to users
   through explanations. To learn from human feedback, our XAI system
   integrates a cooperative communication model for inferring human values
   associated with multiple desirable goals. To be interpretable to humans,
   the system simulates human mental dynamics and predicts optimal
   explanations using graphical models. We conducted psychological
   experiments to examine the core components of the proposed computational
   framework. Our results show that real-time human-robot mutual
   understanding in complex cooperative tasks is achievable with a learning
   model based on bidirectional communication. We believe that this
   interaction framework can shed light on bidirectional value alignment in
   communicative XAI systems and, more broadly, in future human-machine
   teaming systems.",SCIENCE ROBOTICS,,Article,10.1126/scirobotics.abm4183,,,,"Yuan, Luyao and Gao, Xiaofeng and Zheng, Zilong and Edmonds, Mark and
   Wu, Ying Nian and Rossano, Federico and Lu, Hongjing and Zhu, Yixin and
   Zhu, Song-Chun",,67.0,WOS:000829417100001,,,paper,in situ bidirectional human robot value alignment,10.1126/scirobotics.abm4183,https://doi.org/10.1126/scirobotics.abm4183,https://doi.org/10.1126/scirobotics.abm4183,166.073,citations=67; year=2022; risk_terms=2; physical_terms=3; prestige_venue=mandatory_candidate,https://doi.org/10.1126/scirobotics.abm4183,True,200,https://www.science.org/doi/10.1126/scirobotics.abm4183,text/html;charset=UTF-8,
,2020,Mechanisms of collision recovery in flying beetles and flapping-wing robots,"Protection in the wings Beetles have hardened forewings for the protection of their bodies and hindwings, and their use during crawling or burrowing is well understood. However, the behavior of the larger hindwings during collisions in flight has not been clear because they do not readily flex. Phan and Park present a detailed study of the folding and unfolding mechanisms of the hindwings in free-flying rhinoceros beetles in which the wings were impacted during flight to simulate a cluttered environment (see the Perspective by Sun). They found that origami-like folds in the wing could rapidly collapse on impact and then spring back, thus acting as shock absorbers and stabilizers. The authors replicated this behavior in a flapping-wing robot, enabling it to fly safely after collisions. Science , this issue p. 1214 ; see also p. 1165",Science,American Association for the Advancement of Science,article,10.1126/science.abd3285,https://openalex.org/W3109936944,https://doi.org/10.1126/science.abd3285,,"['Hoang Vu Phan', 'Hoon Cheol Park']",Hoang Vu Phan,158.0,https://openalex.org/W3109936944,autonomous system | autonomous systems | robot | robot control | robotic | robotics,Robot Control,paper,mechanisms of collision recovery in flying beetles and flapping wing robots,10.1126/science.abd3285,https://doi.org/10.1126/science.abd3285,https://doi.org/10.1126/science.abd3285,165.965,citations=158; year=2020; risk_terms=2; physical_terms=3; prestige_venue=mandatory_candidate,https://doi.org/10.1126/science.abd3285,True,200,https://www.science.org/doi/10.1126/science.abd3285,text/html;charset=UTF-8,
