match_score,card_idx,card_badge,card_label,card_refs_before,overlap_tags,rank,source_file,year,title,abstract,venue,institution,document_type,doi,url,landing_page_url,pdf_url,authors,first_author,citations,record_id,matched_terms,matched_l3,record_type,title_key,doi_key,candidate_url,url_key,score,selection_reason,checked_url,access_ok,status_code,final_url,content_type,access_error,skip_reason
1.165,65,PHYSBENCH-REF-0088,이동-조작 통합 실패 (Locomotion-integrated manipulation failure),1,collision;manipulation,327,,2025,"Variable impedance control on contact-rich manipulation of a
   collaborative industrial mobile manipulator: An imitation learning
   approach","Variable impedance control (VIC) endows robots with the ability to
   adjust their compliance, enhancing safety and adaptability in
   contact-rich tasks. However, determining suitable variable impedance
   parameters for specific tasks remains challenging. To address this
   challenge, this paper proposes an imitation learning-based VIC policy
   that employs observations integrated with RGBD and force/torque (F/T)
   data enabling a collaborative mobile manipulator to execute contact-rich
   tasks by learning from human demonstrations. The VIC policy is learned
   through training the robot in a customized simulation environment,
   utilizing an inverse reinforcement learning (IRL) algorithm.
   High-dimensional demonstration data is encoded by integrating a 16-layer
   convolutional neural network (CNN) into the IRL environment. To minimize
   the sim-to-real gap, contact dynamic parameters in the training
   environment are calibrated. Then, the learning-based VIC policy is
   comprehensively trained in the customized environment and its
   transferability is validated through an industrial production case
   involving a high precision peg-in-hole task using a collaborative mobile
   manipulator. The training and testing results indicate that the proposed
   imitation learning-based VIC policy ensures robust performance for
   contact-rich tasks.",ROBOTICS AND COMPUTER-INTEGRATED MANUFACTURING,,Article,10.1016/j.rcim.2024.102896,,,,"Zhou, Zhengxue and Yang, Xingyu and Zhang, Xuping",,13.0,WOS:001352849100001,,,paper,variable impedance control on contact rich manipulation of a collaborative industrial mobile manipulator an imitation learning approach,10.1016/j.rcim.2024.102896,https://doi.org/10.1016/j.rcim.2024.102896,https://doi.org/10.1016/j.rcim.2024.102896,149.947,citations=13; year=2025; risk_terms=3; physical_terms=6,https://doi.org/10.1016/j.rcim.2024.102896,True,200,https://linkinghub.elsevier.com/retrieve/pii/S0736584524001832,text/html;charset=UTF-8,,one_new_ref_per_card_this_pass
1.165,65,PHYSBENCH-REF-0088,이동-조작 통합 실패 (Locomotion-integrated manipulation failure),1,collision;manipulation,371,,2023,"A mixed perception-based human-robot collaborative maintenance approach
   driven by augmented reality and online deep reinforcement learning","Owing to the fact that the number and complexity of machines is
   increasing in Industry 4.0, the maintenance process is more
   time-consuming and labor-intensive, which contains plenty of refined
   maintenance operations. Fortunately, human-robot collaboration (HRC) can
   integrate human intelligence into the collaborative robot (cobot), which
   can realize not merely the nimble and sapiential maintenance operations
   of personnel but also the reliable and repeated maintenance manipulation
   of cobots. However, the existing HRC maintenance lacks the precise
   understand of the maintenance intention, the efficient HRC
   decision-making for executing robotized maintenance tasks (e.g.,
   repetitive manual tasks) and the convenient interaction interface for
   executing cognitive tasks (e.g., maintenance preparation and guidance
   job). Hence, a mixed perception-based human-robot collab-orative
   maintenance approach consisting of three-hierarchy structures is
   proposed in this paper, which can help reduce the severity of the
   mentioned problems. In the first stage, a mixed perception module is
   proposed to help the cobot recognize human safety and maintenance
   request according to human actions and gestures separately. During the
   second stage, an improved online deep reinforcement learning
   (DRL)-enabled decision-making module with the asynchronous structure and
   the function of anti-disturbance is proposed in this paper, which can
   realize the execution of robotized maintenance tasks. In the third
   stage, an augmented reality-assisted (AR) user-friendly interaction
   interface is designed to help the personnel interact with the cobot and
   execute the auxiliary maintenance task without the limitation of spatial
   and human factors. In addition, the auxiliary of maintenance operation
   can also be supported by the AR-assisted visible guidance. Finally,
   comparative nu-merical experiments are implemented in a typical
   machining workshop, and the experimental results show a competitive
   performance of the proposed HRC maintenance approach compared with other
   state-of-the-art methods.",ROBOTICS AND COMPUTER-INTEGRATED MANUFACTURING,,Article,10.1016/j.rcim.2023.102568,,,,"Liu, Changchun and Zhang, Zequn and Tang, Dunbing and Nie, Qingwei and
   Zhang, Linqi and Song, Jiaye",,34.0,WOS:000967973200001,,,paper,a mixed perception based human robot collaborative maintenance approach driven by augmented reality and online deep reinforcement learning,10.1016/j.rcim.2023.102568,https://doi.org/10.1016/j.rcim.2023.102568,https://doi.org/10.1016/j.rcim.2023.102568,146.775,citations=34; year=2023; risk_terms=3; physical_terms=5,https://doi.org/10.1016/j.rcim.2023.102568,True,200,https://linkinghub.elsevier.com/retrieve/pii/S0736584523000443,text/html;charset=UTF-8,,one_new_ref_per_card_this_pass
1.139,65,PHYSBENCH-REF-0088,이동-조작 통합 실패 (Locomotion-integrated manipulation failure),1,collision;manipulation,15,,2020,"Skin-inspired quadruple tactile sensors integrated on a robot hand
   enable object recognition","Robot hands with tactile perception can improve the safety of object
   manipulation and also improve the accuracy of object identification.
   Here, we report the integration of quadruple tactile sensors onto a
   robot hand to enable precise object recognition through grasping. Our
   quadruple tactile sensor consists of a skin-inspired multilayer
   microstructure. It works as thermoreceptor with the ability to perceive
   thermal conductivity of a material, measure contact pressure, as well as
   sense object temperature and environment temperature simultaneously and
   independently. By combining tactile sensing information and machine
   learning, our smart hand has the capability to precisely recognize
   different shapes, sizes, and materials in a diverse set of objects. We
   further apply our smart hand to the task of garbage sorting and
   demonstrate a classification accuracy of 94\% in recognizing seven types
   of garbage.",SCIENCE ROBOTICS,,Article,10.1126/scirobotics.abc8134,,,,"Li, Guozhen and Liu, Shiqiang and Wang, Liangqi and Zhu, Rong",,303.0,WOS:000628865900002,,,paper,skin inspired quadruple tactile sensors integrated on a robot hand enable object recognition,10.1126/scirobotics.abc8134,https://doi.org/10.1126/scirobotics.abc8134,https://doi.org/10.1126/scirobotics.abc8134,190.038,citations=303; year=2020; risk_terms=2; physical_terms=6; prestige_venue=mandatory_candidate,https://doi.org/10.1126/scirobotics.abc8134,True,200,https://www.science.org/doi/10.1126/scirobotics.abc8134,text/html;charset=UTF-8,,one_new_ref_per_card_this_pass
1.139,65,PHYSBENCH-REF-0088,이동-조작 통합 실패 (Locomotion-integrated manipulation failure),1,collision;manipulation,377,,2021,"The implications of emerging technology on military human performance
   research priorities","Objectives: To demonstrate the need for the military human performance
   research community to anticipate and evolve with the emergence of new
   and disruptive battlefield technologies that are changing the
   fundamental role of the human combatant. Methods: An international team
   of military performance researchers drew on relevant literature and
   their individual national perspectives and experiences to provide an
   integrated forecast of research priorities and needs based on current
   trends. Results: Rapid advances and convergence in fields such as
   robotics, information technology and artificial intelligence will
   continue to have a revolutionary impact on the battlefield of the
   future. The disruption associated with these technologies will most
   acutely be experienced by the human combatant at the tactical level,
   with increasing cognitive demands associated with the employment and use
   of new capabilities. New research priorities may include augmented
   performance of humans-machine teams, enhanced cognitive and
   immunological resilience based on exercise neurobiology findings, and
   psychophysiological stress tolerance developed in realistic but safe
   synthetic training environments. Solving these challenges will require
   interdisciplinary research teams that have the capacity to work across
   the physical, digital and biological boundaries whilst collaborating
   seamlessly with end-users, human combatants. New research methodologies
   taking full advantage of sensing technologies will be needed to provide
   rigorous, evidence-based data in real and near-real world environments.
   Longer term research goals involving biological manipulation will be
   shaped by moral, legal and ethical considerations and evolving concepts
   of what it means to be human. Conclusion: This paper outlines key
   recommendations to assist military human performance researchers to
   adapt their practice in order to match the increasing pace of military
   modernisation. By anticipating technological change and forecasting
   possible emerging technologies the military human performance research
   community can manoeuvre to prioritise research activities today in line
   with future needs and requirements. (c) 2020 Sports Medicine Australia.
   Published by Elsevier Ltd. All rights reserved.",JOURNAL OF SCIENCE AND MEDICINE IN SPORT,,Article,10.1016/j.jsams.2020.10.007,,,,"Billing, Daniel C. and Fordy, Graham R. and Friedl, Karl E. and
   Hasselstrom, Henriette",,38.0,WOS:000704254800002,,,paper,the implications of emerging technology on military human performance research priorities,10.1016/j.jsams.2020.10.007,https://doi.org/10.1016/j.jsams.2020.10.007,https://doi.org/10.1016/j.jsams.2020.10.007,146.29,citations=38; year=2021; risk_terms=2; physical_terms=3; prestige_venue=mandatory_candidate,https://doi.org/10.1016/j.jsams.2020.10.007,True,200,https://linkinghub.elsevier.com/retrieve/pii/S1440244020307866,text/html;charset=UTF-8,,one_new_ref_per_card_this_pass
1.115,20,PHYSBENCH-REF-0032,안전 강화학습 제약 위반 (Safe reinforcement learning constraint violation),4,learning;manipulation,357,,2024,"Digital Twin and Deep Reinforcement Learning-Driven Robotic Automation
   System for Confined Workspaces: A Nozzle Dam Replacement Case Study in
   Nuclear Power Plants","Robotic automation has emerged as a leading solution for replacing human
   workers in dirty, dangerous, and demanding industries to ensure the
   safety of human workers. However, practical implementation of this
   technology remains limited, requiring substantial effort and costs. This
   study addresses the challenges specific to nuclear power plants,
   characterized by hazardous environments and physically demanding tasks
   such as nozzle dam replacement in confined workspaces. We propose a
   digital twin and deep-reinforcement-learning-driven robotic automation
   system with an autonomous mobile manipulator. The study follows a
   four-step process. First, we establish a simplified testbed for a nozzle
   dam replacement task and implement a high-fidelity digital twin model of
   the real-world testbed. Second, we employ a hybrid visual perception
   system that combines deep object pose estimation and an iterative
   closest point algorithm to enhance the accuracy of the six-dimensional
   pose estimation. Third, we use a deep-reinforcement-learning method,
   particularly the proximal policy optimization algorithm with inverse
   reachability map, and a centroidal waypoint strategy, to improve the
   controllability of an autonomous mobile manipulator. Finally, we conduct
   pre-performed simulations of the nozzle dam replacement in the digital
   twin and evaluate the system on a robot in the real-world testbed. The
   nozzle dam replacement with precise object pose estimation, navigation,
   target object grasping, and collision-free motion generation was
   successful. The robotic automation system achieved a 92.0\% success rate
   in the digital twin. Our proposed method can improve the efficiency and
   reliability of robotic automation systems for extreme workspaces and
   other perilous environments.","INTERNATIONAL JOURNAL OF PRECISION ENGINEERING AND MANUFACTURING-GREEN
   TECHNOLOGY",,Article,10.1007/s40684-023-00593-6,,,,"Park, Su-Young and Lee, Cheonghwa and Jeong, Suhwan and Lee, Junghyuk
   and Kim, Dohyeon and Jang, Youhyun and Seol, Woojin and Kim, Hyungjung
   and Ahn, Sung-Hoon",,20.0,WOS:001187080700001,,,paper,digital twin and deep reinforcement learning driven robotic automation system for confined workspaces a nozzle dam replacement case study in nuclear power plants,10.1007/s40684-023-00593-6,https://doi.org/10.1007/s40684-023-00593-6,https://doi.org/10.1007/s40684-023-00593-6,147.623,citations=20; year=2024; risk_terms=5; physical_terms=7,https://doi.org/10.1007/s40684-023-00593-6,True,200,https://link.springer.com/article/10.1007/s40684-023-00593-6,text/html; charset=utf-8,,card_reference_limit_5
1.11,58,PHYSBENCH-REF-0068,정밀 휴머노이드 접촉력 위험 (Dexterous humanoid contact-force risk),3,collision;manipulation,327,,2025,"Variable impedance control on contact-rich manipulation of a
   collaborative industrial mobile manipulator: An imitation learning
   approach","Variable impedance control (VIC) endows robots with the ability to
   adjust their compliance, enhancing safety and adaptability in
   contact-rich tasks. However, determining suitable variable impedance
   parameters for specific tasks remains challenging. To address this
   challenge, this paper proposes an imitation learning-based VIC policy
   that employs observations integrated with RGBD and force/torque (F/T)
   data enabling a collaborative mobile manipulator to execute contact-rich
   tasks by learning from human demonstrations. The VIC policy is learned
   through training the robot in a customized simulation environment,
   utilizing an inverse reinforcement learning (IRL) algorithm.
   High-dimensional demonstration data is encoded by integrating a 16-layer
   convolutional neural network (CNN) into the IRL environment. To minimize
   the sim-to-real gap, contact dynamic parameters in the training
   environment are calibrated. Then, the learning-based VIC policy is
   comprehensively trained in the customized environment and its
   transferability is validated through an industrial production case
   involving a high precision peg-in-hole task using a collaborative mobile
   manipulator. The training and testing results indicate that the proposed
   imitation learning-based VIC policy ensures robust performance for
   contact-rich tasks.",ROBOTICS AND COMPUTER-INTEGRATED MANUFACTURING,,Article,10.1016/j.rcim.2024.102896,,,,"Zhou, Zhengxue and Yang, Xingyu and Zhang, Xuping",,13.0,WOS:001352849100001,,,paper,variable impedance control on contact rich manipulation of a collaborative industrial mobile manipulator an imitation learning approach,10.1016/j.rcim.2024.102896,https://doi.org/10.1016/j.rcim.2024.102896,https://doi.org/10.1016/j.rcim.2024.102896,149.947,citations=13; year=2025; risk_terms=3; physical_terms=6,https://doi.org/10.1016/j.rcim.2024.102896,True,200,https://linkinghub.elsevier.com/retrieve/pii/S0736584524001832,text/html;charset=UTF-8,,one_new_ref_per_card_this_pass
1.11,121,PHYSRISK-REF-0004,적대적 물체·표지 조작 (Adversarial object or sign manipulation),2,manipulation;security,392,,2025,"Robotic subsurface defect inspection system and an unsupervised deep
   neural network-based abnormal traces reconstruction method for ground
   penetrating radar data autonomous collection","Ground-penetrating radar (GPR) has been widely utilized for inner
   structural defect inspection of infrastructure. However, automatic GPR
   control for inspecting the infrastructure and collecting high-quality
   GPR data remain challenging. To address such limitations, we developed a
   GPR-based robotic inspection system inner defect inspection and an
   unsupervised deep learning-based abnormal trace reconstruction network
   tailored for data postprocessing. A GPR status feedback module and an
   adaptive GPR scanning control method were developed, and these were
   assembled on the robotic inspection system to manipulate the GPR to scan
   over complex infrastructure surfaces and avoid obstructions.
   Furthermore, a cycle-consistent adversarial network with a distance
   attention mechanism was devised to process the abnormal traces induced
   by the automatic GPR manipulation such that the high-quality GPR data
   were gained. Both indoor and outdoor experimental results demonstrate
   the adaptability of the GPR-based robotic inspection system.
   Additionally, the superiority of the reconstruction network was
   validated through comparative experiments.",MEASUREMENT SCIENCE AND TECHNOLOGY,,Article,10.1088/1361-6501/ade69e,,,,"Wang, Zhengfang and Li, Zhenpeng and Gao, Sheng and Wang, Wenying and
   Li, Wenhao and Guo, Xiaoqin and Jiang, Haonan and Wang, Jing and Gao,
   Yang and Gao, Shuhua and Sui, Qingmei and Niu, Huaxian and Gu, Li",,2.0,WOS:001520283300001,,,paper,robotic subsurface defect inspection system and an unsupervised deep neural network based abnormal traces reconstruction method for ground penetrating radar data autonomous collection,10.1088/1361-6501/ade69e,https://doi.org/10.1088/1361-6501/ade69e,https://doi.org/10.1088/1361-6501/ade69e,145.381,citations=2; year=2025; risk_terms=1; physical_terms=4; prestige_venue=mandatory_candidate,https://doi.org/10.1088/1361-6501/ade69e,True,200,https://validate.perfdrive.com/fb803c746e9148689b3984a31fccd902/?ssa=cfcf28ae-24e4-46d2-8f5f-6314221d09ce&ssb=32627200913&ssc=https%3A%2F%2Fiopscience.iop.org%2Farticle%2F10.1088%2F1361-6501%2Fade69e&ssi=73c81995-cnvj-41a0-b87a-2ba49fcf51be&ssk=botmanager_support@radware.com&ssm=34778975603855099106405635174167&ssn=bcea1912761ada2f973d0411faef5acf752acb7c7cf3-1b45-401f-a85fa7&sso=07ee1460-26efd790e48603b6ad884c3dad5e2a0d7d64b687e80bd3e6&ssp=22642254951782607943178264413078789&ssq=68052050811652562896308116682870054259517&ssr=NTguMjkuMTUxLjcy&sst=Mozilla/5.0%20reference-access-check&ssu=&ssv=&ssw=&ssx=eyJ1em14IjoiN2Y5MDAwNmNhOGVmNzgtYzNkOS00NjZhLWIzZDEtZWY4NmMyZTAzMGVkMS0xNzgyNjA4MTE2ODg1MC1iNmQ3NjdhMWY1NmJhNmZkMTAiLCJfX3V6bWYiOiI3ZjkwMDBjYjdjN2NmMy0xYjQ1LTQwMWYtYTQ2MC0yNmVmZDc5MGU0ODYxLTE3ODI2MDgxMTY4ODUwLTAwNGY2OWU3YjIxMjkxNDFlYzYxMCIsInJkIjoiaW9wLm9yZyJ9,text/html; charset=UTF-8,,one_new_ref_per_card_this_pass
1.105,80,PHYSRISK-REF-0020,실시간 지연 및 동기화 실패 (Real-time latency and synchronization failure),3,privacy;vehicle,64,,2025,"Artificial Lateral Line Sensor for Robotic Fish Speed Measurement Based
   on Surface Flow Field Detection and Turbulence Noise Suppression","Compared with traditional underwater vehicles, robotic fish have been
   receiving increasing attention in recent years due to their excellent
   maneuverability. However, the characteristics of fishlike undulatory
   motions and complex underwater working environment have posed
   significant challenges to robotic fish speed measurement, limiting their
   autonomy. To overcome these challenges, an artificial lateral line
   sensor (ALLS) was developed, drawing inspiration from the tactile system
   of fish. It captured the real-time speed of robotic fish through
   assessing the deformation of the stressed component under laminar flow
   impact. To mitigate turbulence disturbances near the ALLS, three flow
   control components, fairing, flow conditioner, and flow collector, were
   proposed to attenuate turbulence noise under the viscous effect.
   Furthermore, a physics-informed calibration method was presented to
   establish the nonlinear model of ALLS. Specifically, a physical model
   embedding algorithm based on data resampling was used to mitigate the
   risk of overfitting by the multilayer perceptron, considering the
   influence of turbulence disturbance and fishlike undulatory noise.
   Compared with the classical calibration method based on physical model
   fitting, the calibration method proposed in this paper reduced the error
   by 36.0\%. Our ALLS's final mean absolute error was 0.016 m/s with a
   linearity (R-2 ) of 0.956. The experimental results indicated that the
   significant changes in the motion state of robotic fish reduced the
   accuracy of ALLS. The fusion with other sensors is expected to enhance
   the robustness of ALLS in the future. Note to Practitioners-The
   motivation of this paper is to design an artificial lateral line sensor
   based on surface flow field detection and turbulence noise suppression,
   providing a small-sized and high-precision solution to the speed
   measurement problem of bionic robotic fish. Most existing ALLS research
   focused on developing new types of sensors based on different
   measurement principles, without suppressing the noise caused by fishlike
   motions, and most experiments were conducted in environments with
   excessive controls rather than free-swimming robotic fish. To this end,
   we developed an ALLS based on deformation measurement and proposed three
   flow control components to make the measured flow more stable.
   Furthermore, a physics-informed overfitting suppression method was used
   for the calibration task of the ALLS. A series of simulations and
   experiments demonstrated that the proposed turbulence noise suppression
   and calibration method were practical and effective. Hopefully, our
   methods can provide theoretical and technical guidance to marine
   engineers for underwater vehicle speed measurement and flow sensing. The
   recommended flow control component is applicable for conditioning
   surface fluids in pneumatic control systems. Furthermore, the proposed
   biomimetic tactile sensor is poised to inspire tactile-based
   human-machine interaction methods.",IEEE TRANSACTIONS ON AUTOMATION SCIENCE AND ENGINEERING,,Article,10.1109/TASE.2024.3413776,,,,"Zhang, Zhuoliang and Zhou, Chao and Cheng, Long and Fan, Junfeng and
   Tan, Min",,7.0,WOS:001252494400001,,,paper,artificial lateral line sensor for robotic fish speed measurement based on surface flow field detection and turbulence noise suppression,10.1109/tase.2024.3413776,https://doi.org/10.1109/tase.2024.3413776,https://doi.org/10.1109/tase.2024.3413776,174.112,citations=7; year=2025; risk_terms=2; physical_terms=6; prestige_venue=mandatory_candidate,https://doi.org/10.1109/tase.2024.3413776,True,202,https://ieeexplore.ieee.org/document/10562235/,text/html; charset=UTF-8,,one_new_ref_per_card_this_pass
1.105,80,PHYSRISK-REF-0020,실시간 지연 및 동기화 실패 (Real-time latency and synchronization failure),3,drone;vehicle,156,,2021,"A drone-based networked system and methods for combating coronavirus
   disease (COVID-19) pandemic","Coronavirus disease (COVID-19) is an infectious disease caused by a
   newly discovered coronavirus. It is similar to influenza viruses and
   raises concerns through alarming levels of spread and severity resulting
   in an ongoing pandemic worldwide. Within eight months (by August 2020),
   it infected 24.0 million persons worldwide and over 824 thousand have
   died. Drones or Unmanned Aerial Vehicles (UAVs) are very helpful in
   handling the COVID-19 pandemic. This work investigates the drone-based
   systems, COVID-19 pandemic situations, and proposes an architecture for
   handling pandemic situations in different scenarios using real-time and
   simulation-based scenarios. The proposed architecture uses wearable
   sensors to record the observations in Body Area Networks (BANs) in a
   push-pull data fetching mechanism. The proposed architecture is found to
   be useful in remote and highly congested pandemic areas where either the
   wireless or Internet connectivity is a major issue or chances of
   COVID-19 spreading are high. It collects and stores the substantial
   amount of data in a stipulated period and helps to take appropriate
   action as and when required. In real-time drone-based healthcare system
   implementation for COVID-19 operations, it is observed that a large area
   can be covered for sanitization, thermal image collection, and patient
   identification within a short period (2 KMs within 10 min approx.)
   through aerial route. In the simulation, the same statistics are
   observed with an addition of collision-resistant strategies working
   successfully for indoor and outdoor healthcare operations. Further, open
   challenges are identified and promising research directions are
   highlighted. (C) 2020 Elsevier B.V. All rights reserved.",FUTURE GENERATION COMPUTER SYSTEMS-THE INTERNATIONAL JOURNAL OF ESCIENCE,,Article,10.1016/j.future.2020.08.046,,,,"Kumar, Adarsh and Sharma, Kriti and Singh, Harvinder and Naugriya, Sagar
   Gupta and Gill, Sukhpal Singh and Buyya, Rajkumar",,151.0,WOS:000591438800001,,,paper,a drone based networked system and methods for combating coronavirus disease covid 19 pandemic,10.1016/j.future.2020.08.046,https://doi.org/10.1016/j.future.2020.08.046,https://doi.org/10.1016/j.future.2020.08.046,160.334,citations=151; year=2021; risk_terms=1; physical_terms=3; prestige_venue=mandatory_candidate,https://doi.org/10.1016/j.future.2020.08.046,True,200,https://linkinghub.elsevier.com/retrieve/pii/S0167739X20317064,text/html;charset=UTF-8,,one_new_ref_per_card_this_pass
1.105,80,PHYSRISK-REF-0020,실시간 지연 및 동기화 실패 (Real-time latency and synchronization failure),3,drone;privacy,331,,2025,"The AI-viticulture nexus: Robotics and precision technologies for
   sustainable vineyards","Automation technologies, such as Artificial Intelligence (AI), robotics,
   IoT and remote sensing, are transforming viticulture by addressing
   labour shortages, climate resilience challenges and resource
   optimization. AI-driven machine learning models process data from
   multispectral drones and IoT sensors to monitor soil health, water
   stress and canopy dynamics, enabling precision agriculture practices
   like targeted irrigation and nutrient delivery. Autonomous robotic
   systems perform tasks such as selective harvesting, pruning and pest
   management, enhancing operational efficiency while reducing manual
   labour. IoT networks provide real-time insights into microclimatic
   conditions, empowering growers to adopt climate-smart strategies that
   minimize chemical inputs and improve yield stability. Despite progress,
   key barriers persist: AI models require terroir-specific adaptation,
   fragmented datasets hinder interoperability and field validation of
   autonomous systems under diverse conditions remains limited. Future
   research must prioritize accessible solutions: lowcost sensor networks
   for smallholders, adaptive AI frameworks for climate volatility (e.g.,
   drought or flood prediction) and edge computing for real-time analytics.
   Ethical concerns data privacy, algorithmic bias and technology access
   disparities demand inclusive governance. Additionally, user-friendly
   interfaces are essential for broad adoption. Addressing these gaps will
   unlock automation's full potential in advancing sustainable viticulture:
   optimizing water/energy use, reducing agrochemical reliance, enhancing
   biodiversity and ensuring economic resilience for growers. Ultimately,
   integrated automation promises a balance between ecological stewardship,
   resource efficiency and sector-wide viability in a climate-constrained
   future.",PLANT SCIENCE TODAY,,Review,10.14719/pst.9713,,,,"Moganapathi, B. and Kavitha, P. S. and Muthuvel, I and Senthil, A. and
   Balachandar, D. and Mahendran, P. P.",,1.0,WOS:001665647300037,,,paper,the ai viticulture nexus robotics and precision technologies for sustainable vineyards,10.14719/pst.9713,https://doi.org/10.14719/pst.9713,https://doi.org/10.14719/pst.9713,149.704,citations=1; year=2025; risk_terms=3; physical_terms=4; prestige_venue=mandatory_candidate,https://doi.org/10.14719/pst.9713,True,200,https://horizonepublishing.com/journals/index.php/PST/article/view/9713,text/html; charset=utf-8,,one_new_ref_per_card_this_pass
1.088,66,PHYSBENCH-REF-0104,휴머노이드 충돌력 초과 (Humanoid collision-force exceedance),3,collision;manipulation,143,,2025,"RoboBallet: Planning for multirobot reaching with graph neural networks
   and reinforcement learning","Modern robotic manufacturing requires collision-free coordination of
   multiple robots to complete numerous tasks in shared, obstacle-rich
   workspaces. Although individual tasks may be simple in isolation,
   automated joint task allocation, scheduling, and motion planning under
   spatiotemporal constraints remain computationally intractable for
   classical methods at real-world scales. Existing multiarm systems
   deployed in industry rely on human intuition and experience to design
   feasible trajectories manually in a labor-intensive process. To address
   this challenge, we propose a reinforcement learning (RL) framework to
   achieve automated task and motion planning, tested in an obstacle-rich
   environment with eight robots performing 40 reaching tasks in a shared
   workspace, where any robot can perform any task in any order. Our
   approach builds on a graph neural network (GNN) policy trained via RL on
   procedurally generated environments with diverse obstacle layouts, robot
   configurations, and task distributions. It uses a graph representation
   of scenes and a graph policy neural network trained through RL to
   generate trajectories of multiple robots, jointly solving the
   subproblems of task allocation, scheduling, and motion planning. Trained
   on large randomly generated task sets in simulation, our policy
   generalizes zero-shot to unseen settings with varying robot placements,
   obstacle geometries, and task poses. We further demonstrate that the
   high-speed capability of our solution enables its use in workcell layout
   optimization, improving solution times. The speed and scalability of our
   planner also open the door to capabilities such as fault-tolerant
   planning and online perception-based replanning, where rapid adaptation
   to dynamic task sets is required.",SCIENCE ROBOTICS,,Article,10.1126/scirobotics.ads1204,,,,"Lai, Matthew and Go, Keegan and Li, Zhibin and Kroger, Torsten and
   Schaal, Stefan and Allen, Kelsey and Scholz, Jonathan",,6.0,WOS:001562438300001,,,paper,roboballet planning for multirobot reaching with graph neural networks and reinforcement learning,10.1126/scirobotics.ads1204,https://doi.org/10.1126/scirobotics.ads1204,https://doi.org/10.1126/scirobotics.ads1204,162.243,citations=6; year=2025; risk_terms=2; physical_terms=4; prestige_venue=mandatory_candidate,https://doi.org/10.1126/scirobotics.ads1204,True,200,https://www.science.org/doi/10.1126/scirobotics.ads1204,text/html;charset=UTF-8,,one_new_ref_per_card_this_pass
1.088,66,PHYSBENCH-REF-0104,휴머노이드 충돌력 초과 (Humanoid collision-force exceedance),3,collision;manipulation,264,,2025,"3D RVO-enhanced multi-agent deep reinforcement learning for collision
   avoidance in urban structured airspace","During the initial phase of urban air mobility development, establishing
   predefined air routes and constructing structured airspace for unmanned
   aerial vehicles (UAVs) is fundamental to ensuring safe and efficient
   operations. This underscores the critical need for research on multi-UAV
   collision avoidance methodologies in structured airspace. The primary
   challenge of collision avoidance in structured airspace lies in
   reconciling airspace structural constraints with the safety-efficiency
   tradeoff while guaranteeing collision-free operations. This study
   presents a reinforcement learning-based framework for resolving
   multi-UAV conflicts in structured airspace. Firstly, a conflict
   characterization model is established using the 3D Reciprocal Velocity
   Obstacles (RVO) principle, where the 3D RVO regions of neighbouring UAVs
   are computed to generate single-agent observation vectors, enabling
   quantitative conflict situation awareness. Subsequently, a neural
   network architecture processing variable-dimensional inputs is devised
   to directly map dynamic observations to UAV control commands.
   Furthermore, a multi-objective reward function incorporating 3D RVO
   regions, path deviation, time-to-collision prediction, and velocity
   preservation is formulated, with collision avoidance policy optimization
   achieved through an actor-critic algorithm. Experimental results
   demonstrate that the proposed method effectively avoids collision while
   optimizing resolution costs. In crossing conflict scenario involving up
   to four UAVs, the framework attains a 100 \% resolution success rate,
   with path deviations constrained within 5.8 meters and additional flight
   distances below 10 \%. Notably, the flight trajectory smoothness shows
   significant improvement. In an eight-UAV structured airspace scenario,
   all vehicles successfully reach sequential waypoints in collision-free
   trajectories.",AEROSPACE SCIENCE AND TECHNOLOGY,,Article,10.1016/j.ast.2025.110378,,,,"Zhong, Gang and Liu, Yupu and Du, Sen and Wang, Fei and Zhou, Jinlun and
   Zhang, Honghai",,5.0,WOS:001506699000001,,,paper,3d rvo enhanced multi agent deep reinforcement learning for collision avoidance in urban structured airspace,10.1016/j.ast.2025.110378,https://doi.org/10.1016/j.ast.2025.110378,https://doi.org/10.1016/j.ast.2025.110378,155.085,citations=5; year=2025; risk_terms=3; physical_terms=2; prestige_venue=mandatory_candidate,https://doi.org/10.1016/j.ast.2025.110378,True,200,https://linkinghub.elsevier.com/retrieve/pii/S1270963825004493,text/html;charset=UTF-8,,one_new_ref_per_card_this_pass
