rank,source_file,year,title,abstract,venue,institution,document_type,doi,url,landing_page_url,pdf_url,authors,first_author,citations,record_id,matched_terms,matched_l3,record_type,title_key,doi_key,candidate_url,url_key,score,selection_reason,checked_url,access_ok,status_code,final_url,content_type,access_error
28,,2025,"AI-based low-altitude delivery fresh food supply Chain: Research
   progress and trends","Background: Fresh food is an indispensable part of daily life and is
   consumed by people in relatively large quantities. However, it is a
   perishable food, which can easily lead to a decline in freshness and a
   decrease in nutritional value during the supply chain process, and
   therefore the efficient operation of its supply chain is crucial for
   ensuring product quality, reducing wastage, lowering costs, and
   improving customer satisfaction. Scope and approach: Here, we examine
   how integrating low-altitude delivery technologies-such as unmanned
   aerial vehicles (UAVs)-with artificial intelligence (AI) can transform
   freshness preservation and operational sustainability. The combination
   of low-altitude delivery technology (e.g., UAVs) and AI provides a new
   paradigm for the efficiency and intelligence of fresh food supply chain.
   This paper analyzes the important role of AI in demand forecasting and
   inventory management, path optimization and dynamic scheduling, quality
   monitoring and management, Autonomous obstacle avoidance and safety
   control, and highlighting the innovation potential of UAV-enabled supply
   chain delivery. The challenges and future development direction of
   AIlow-altitude delivery in fresh food supply chain are discussed. Key
   findings and conclusions: This review shows that AI-driven low-altitude
   delivery can improve the efficiency and sustainability of the fresh food
   supply chain and help to protect the quality characteristics of fresh
   food. However, technological and public acceptability hurdles remain,
   including the need for low-noise UAVs, continued advancements in drone
   capabilities, the establishment of robust regulatory standards, and the
   protection of data security. Despite these challenges, the integration
   of AI-driven low-altitude delivery technologies into fresh food supply
   chains represents an emerging trend in delivery innovation. Integrating
   UAVs with unmanned electric refrigerated vehicles and delivery robots is
   expected to form an efficient and environmentally sustainable delivery
   model. Adopting shared-use UAV fleets for low-altitude fresh food
   delivery can reduce operational costs while supporting multifunctional
   applications in drone delivery. By adopting these innovations,
   AI-enabled low-altitude delivery systems could transform fresh food
   supply chains, minimizing waste, and aligning with global sustainability
   goals.",TRENDS IN FOOD SCIENCE \& TECHNOLOGY,,Article,10.1016/j.tifs.2025.105056,,,,"Zhao, Yonggan and Zhang, Min and Mujumdar, Arun S. and Adhikari, Benu
   and Rui, Luming",,12.0,WOS:001487621100001,,,paper,ai based low altitude delivery fresh food supply chain research progress and trends,10.1016/j.tifs.2025.105056,https://doi.org/10.1016/j.tifs.2025.105056,https://doi.org/10.1016/j.tifs.2025.105056,180.909,citations=12; year=2025; risk_terms=4; physical_terms=4; prestige_venue=mandatory_candidate,https://doi.org/10.1016/j.tifs.2025.105056,True,200.0,https://linkinghub.elsevier.com/retrieve/pii/S092422442500192X,text/html;charset=UTF-8,
29,,2025,STR: Spatial-Temporal RetNet for Distributed Multi-Robot Navigation,"The core of multi-robot collision avoidance is to guide robots to avoid
   collisions with other robots and obstacles in a dynamic multi-robot
   environment, which has recently gained increasing interest among the
   main challenges of robotics. However, the current multi-robot navigation
   policy neural network exhibits weak position encoding capabilities for
   spatial environmental features in mapping environment states and robot
   actions, as well as an inability to recurrently infer information on
   dynamic environmental features in the temporal dimension, leading to
   insufficient safety and effectiveness in guiding robot motion. In this
   paper, we propose a novel spatial-temporal RetNet (STR) that encodes
   reciprocal collision avoidance states between robots in both spatial and
   temporal dimensions, aiming to enhance the safety and effectiveness of
   the policy neural network in guiding robots to accomplish specified
   tasks. The spatial state encoder module is developed based on parallel
   RetNet structure, which enhances the ability of the neural network in
   multi-robot navigation policies to extract reciprocal collision
   avoidance states between robots in spatial dimensions and overcomes the
   weak position encoding capability of advanced transformer-based
   multi-robot navigation policy neural networks. A temporal state encoder
   is designed by introducing the recurrent RetNet structure. This enhances
   the multi-robot navigation policy neural network's ability to encode
   features in the temporal dimension of multi-robot movements and
   overcomes the transformer-based multi-robot navigation policy neural
   network's inability to recurrently infer information in the time
   dimension. Simulation experiments were designed to demonstrate that the
   safety and effectiveness of our proposed method outperform the previous
   state-of-the-art approaches in guiding the robot to complete the task.
   Physical experiments illustrate that our policy can be effectively
   applied to real-world systems.
   Note to Practitioners-Multi-robot navigation has a wide range of
   real-world applications, such as multi-robot formation flying for search
   and rescue, autonomous warehouse operations, and robots navigating
   through human crowds. This paper introduces a novel Spatial-Temporal
   RetNet (STR) framework aimed at enhancing safety and effectiveness in
   multi-robot collision avoidance. STR addresses the limitations of
   existing methods by improving the neural network's ability to extract
   reciprocal collision avoidance states in both spatial and temporal
   dimensions. The spatial state encoder strengthens the extraction of
   spatial features, while the temporal state encoder improves the handling
   of time-dependent information. Simulation and physical experiments
   demonstrate that STR enhances robot navigation in dynamic environments,
   making it suitable for real-world applications such as multi-robot
   coordination.",IEEE TRANSACTIONS ON AUTOMATION SCIENCE AND ENGINEERING,,Article,10.1109/TASE.2024.3524000,,,,"Chen, Lin and Wang, Yaonan and Miao, Zhiqiang and Feng, Mingtao and
   Wang, Yuanzhe and Mo, Yang and He, Wei and Wang, Hesheng and Wang,
   Danwei",,12.0,WOS:001395159700001,,,paper,str spatial temporal retnet for distributed multi robot navigation,10.1109/tase.2024.3524000,https://doi.org/10.1109/tase.2024.3524000,https://doi.org/10.1109/tase.2024.3524000,180.909,citations=12; year=2025; risk_terms=3; physical_terms=5; prestige_venue=mandatory_candidate,https://doi.org/10.1109/tase.2024.3524000,True,202.0,https://ieeexplore.ieee.org/document/10836132/,text/html; charset=UTF-8,
30,,2024,"Patient Safety in Anesthesiology: Progress, Challenges, and Prospects","Anesthesiology is considered a complex medical specialty. Its history
   has been marked by radical advances and profound transformations, owing
   to technical and pharmacological developments and innovations in the
   field, enabling us over the years to improve patient outcomes and
   perform longer, more complex surgical procedures on more fragile
   patients. However, anesthesiology has never been safe and free of
   challenges. Despite the advances made, it still faces risks associated
   with the practice of anesthesia, for both patients and healthcare
   professionals, and with some of the specific challenges encountered in
   low and middle-income countries. In this context, certain actions and
   initiatives must be carried out collaboratively. In addition, recent
   technologies and innovations such as simulation, genomics, artificial
   intelligence, and robotics hold promise for further improving patient
   safety in anesthesiology and overcoming existing challenges, making it
   possible to offer safer, more effective, and personalized anesthesia.
   However, this requires rigorous monitoring of ethical aspects and the
   reliability of the studies to reap the full benefits of the new
   technology. This literature review presents the evolution of
   anesthesiology over time, its current challenges, and its promising
   future. It underlines the importance of the new technologies and the
   need to pursue efforts and strengthen research in anesthesiology to
   overcome the persistent challenges and benefit from the advantages of
   the latest technology to guarantee safe, high-quality anesthesia with
   universal access.",CUREUS JOURNAL OF MEDICAL SCIENCE,,Review,10.7759/cureus.69540,,,,"Harfaoui, Wafaa and Alilou, Mustapha and El Adib, Ahmed Rhassane and
   Zidouh, Saad and Zentar, Aziz and Lekehal, Brahim and Belyamani, Lahcen
   and Obtel, Majdouline",,12.0,WOS:001318056600004,,,paper,patient safety in anesthesiology progress challenges and prospects,10.7759/cureus.69540,https://doi.org/10.7759/cureus.69540,https://doi.org/10.7759/cureus.69540,180.909,citations=12; year=2024; risk_terms=6; physical_terms=2; prestige_venue=mandatory_candidate,https://doi.org/10.7759/cureus.69540,True,200.0,https://www.cureus.com/articles/259566-patient-safety-in-anesthesiology-progress-challenges-and-prospects,text/html; charset=utf-8,
31,,2024,Robot-assisted dental implant surgery procedure: A literature review,"Robot-assisted dental surgery has gained significant attention in the
   field of dental implant therapy as an alternative to conventional
   free-hand surgery. It addresses challenges faced by human operators,
   such as limited visibility, operator fatigue, and lack of experience,
   which can lead to errors. Dental implant robots offer improved
   precision, efficiency, and stability, enhancing implant accuracy and
   reducing surgical risks. Accurate placement of dental implants is
   crucial to avoid complications during and after surgery. Robotic
   guidance in dental implant surgery provides several benefits. Firstly,
   the robotic arm offers haptic feedback, allowing physical guidance when
   placing the implant in the desired position. Secondly, a patient tracker
   integrated into the robotic system monitors patient movement and
   provides real-time feedback on a screen. This feature ensures that the
   surgeon is aware of any changes and can adjust accordingly. Lastly, the
   robotic system operates under human-robot collaboration, with the
   surgeon maintaining control and oversight throughout the procedure.
   Therefore, the objective of the current study is to review the dental
   implant robots, as well as accuracy and efficiency (e.g. operation and
   preparation time) of robot -assisted dental implant surgery procedures.
   <feminine ordinal indicator> 2024 Association for Dental Sciences of the
   Republic of China. Publishing services by Elsevier B.V. This is an open
   access article under the CC BY -NC -ND license (http://creativecommons.
   org/licenses/by-nc-nd/4.0/).",JOURNAL OF DENTAL SCIENCES,,Review,10.1016/j.jds.2024.03.011,,,,"Bahrami, Rashin and Pourhajibagher, Maryam and Nikparto, Nariman and
   Bahador, Abbas",,36.0,WOS:001260005600001,,,paper,robot assisted dental implant surgery procedure a literature review,10.1016/j.jds.2024.03.011,https://doi.org/10.1016/j.jds.2024.03.011,https://doi.org/10.1016/j.jds.2024.03.011,180.553,citations=36; year=2024; risk_terms=1; physical_terms=4; prestige_venue=mandatory_candidate,https://doi.org/10.1016/j.jds.2024.03.011,True,200.0,https://linkinghub.elsevier.com/retrieve/pii/S199179022400076X,text/html;charset=UTF-8,
32,,2024,Autonomous Robotic Surgery: Has the Future Arrived?,"Autonomous robotic surgery represents a pioneering field dedicated to
   the integration of robotic systems with varying degrees of autonomy for
   the execution of surgical procedures. This paradigm shift is made
   possible by the progressive integration of artificial intelligence (AI)
   and machine learning (ML) into the realm of surgical interventions.
   While the majority of autonomous robotic systems remain in the
   experimental phase, a notable subset has successfully transitioned into
   clinical applications. Noteworthy procedures, such as venipuncture, hair
   implantations, intestinal anastomosis, total knee replacement, cochlear
   implant, radiosurgery, and knot tying, among others, exemplify the
   current capabilities of autonomous surgical systems. This review
   endeavors to comprehensively address facets of autonomous robotic
   surgery, commencing with a concise elucidation of fundamental concepts
   and traversing the pivotal milestones in the historical evolution of
   robotic surgery. This historical trajectory underscores the incremental
   assimilation of autonomous systems into surgical practices. This review
   aims to address topics related to autonomous robotic surgery, starting
   with a description of fundamental concepts and going through the
   milestones in robotic surgery history that also show the gradual
   incorporations of autonomous systems. It also includes a discussion of
   the key benefits and risks of this technology, the degrees of autonomy
   in surgical robots, their limitations, the current legal regulations
   governing their usage, and the main ethical concerns inherent to their
   nature.",CUREUS JOURNAL OF MEDICAL SCIENCE,,Review,10.7759/cureus.52243,,,,"Rivero-Moreno, Yeisson and Rodriguez, Miguel and Losada-Munoz, Paola and
   Redden, Samantha and Lopez-Lezama, Saiddys and Vidal-Gallardo, Andrea
   and Machado-Paled, Debbye and Guilarte, Jesus Cordova and
   Teran-Quintero, Sheyla",,36.0,WOS:001155644000015,,,paper,autonomous robotic surgery has the future arrived,10.7759/cureus.52243,https://doi.org/10.7759/cureus.52243,https://doi.org/10.7759/cureus.52243,180.553,citations=36; year=2024; risk_terms=2; physical_terms=3; prestige_venue=mandatory_candidate,https://doi.org/10.7759/cureus.52243,True,200.0,https://www.cureus.com/articles/214232-autonomous-robotic-surgery-has-the-future-arrived,text/html; charset=utf-8,
33,,2025,"Safety-Certified Self-Triggered Cooperative Path Following Control via
   Data-Driven Learning and Neurodynamic Optimization","This paper investigates the safety-certified cooperative path following
   problem for second-order nonlinear systems with multiple-input
   multiple-output strict-feedback form subject to safety, state, and input
   constraints. A safety-certified learning control approach is proposed to
   achieve collision-free cooperative path following based on command
   optimization, online learning, and self-triggered communication.
   Specifically, an extended-state-observer-aided learning neural predictor
   is developed to simultaneously identify nonlinear functions and unknown
   input gains without measuring state derivatives. Control barrier
   functions are then employed to ensure safety through forward invariant
   sets. Next, command optimization is utilized to generate the optimal
   virtual control signals that satisfy safety constraints, state
   constraints, and input constraints. A neurodynamic optimization
   technique is employed to solve the quadratic optimization problem in
   real time. Additionally, a self-triggered mechanism is introduced in
   path variable coordination to reduce the listening and triggering times.
   By using the proposed safety-certified cooperative path following
   approach, a safe formation is guaranteed for input-to-state safety.
   Simulation results are provided to illustrate the effectiveness of the
   proposed method.
   Note to Practitioners-This paper addresses the safety-certified
   cooperative path following problem of multi-agent systems, which has
   practical implications in various applications. These applications
   include formation patrol, cargo transportation, search and rescue
   missions, swarm robotics, and agricultural tasks. By coordinating the
   movements of multiple agents, cooperative path following enhances
   efficiency in these scenarios. The challenges posed by safety, state,
   and input constraints are commonly encountered in practical. To address
   these challenges, the command optimization approach is proposed in this
   paper. The optimization problem is efficiently solved in real-time using
   neurodynamic optimization technique. Furthermore, to enhance feasibility
   in a limited communication environment, a self-triggered mechanism is
   introduced to reduce the communication burden. Therefore, the
   aforementioned effective scheme is suitable for implementation in
   industrial applications.",IEEE TRANSACTIONS ON AUTOMATION SCIENCE AND ENGINEERING,,Article,10.1109/TASE.2024.3382323,,,,"Cong, Siming and Wang, Dan and Gu, Nan and Li, Tieshan and Peng, Zhouhua",,17.0,WOS:001201887500001,,,paper,safety certified self triggered cooperative path following control via data driven learning and neurodynamic optimization,10.1109/tase.2024.3382323,https://doi.org/10.1109/tase.2024.3382323,https://doi.org/10.1109/tase.2024.3382323,180.465,citations=17; year=2025; risk_terms=3; physical_terms=4; prestige_venue=mandatory_candidate,https://doi.org/10.1109/tase.2024.3382323,True,202.0,https://ieeexplore.ieee.org/document/10492989/,text/html; charset=UTF-8,
34,,2024,"Task Accuracy Enhancement for a Surgical Macro-Micro Manipulator With
   Probabilistic Neural Networks and Uncertainty Minimization","Accurate robot kinematic modelling is a major component for autonomous
   robot control to guarantee safety and precision during task execution.
   In surgical robotics complex robotic structures and actuation mechanisms
   are generally employed, therefore machine learning techniques can be
   adopted to build the model of the robot. Probabilistic neural networks
   are a class of learning approaches that provide information about the
   uncertainty of the learnt models. In this work we compare two different
   probabilistic neural networks (Bayesian and Evidential Neural Networks)
   to model the kinematics of a surgical robotic instrument and propose a
   control strategy based on Hierarchical Quadratic Programming (HQP)
   capable of exploiting the model uncertainty to improve the accuracy and
   safety of the controller. Simulation and real world experiments on
   different autonomous path tracking tasks show that the model uncertainty
   highly affects the control performances and prove the effectiveness of
   the proposed controller in improving task execution.",IEEE TRANSACTIONS ON AUTOMATION SCIENCE AND ENGINEERING,,Article,10.1109/TASE.2022.3219590,,,,"Cursi, Francesco and Bai, Weibang and Yeatman, Eric M. M. and Kormushev,
   Petar",,17.0,WOS:000886721700001,,,paper,task accuracy enhancement for a surgical macro micro manipulator with probabilistic neural networks and uncertainty minimization,10.1109/tase.2022.3219590,https://doi.org/10.1109/tase.2022.3219590,https://doi.org/10.1109/tase.2022.3219590,180.465,citations=17; year=2024; risk_terms=3; physical_terms=4; prestige_venue=mandatory_candidate,https://doi.org/10.1109/tase.2022.3219590,True,202.0,https://ieeexplore.ieee.org/document/9945972/,text/html; charset=UTF-8,
35,,2022,"Adaptive neural fault-tolerant control of a quadrotor UAV via fast
   terminal sliding mode","The external disturbance, model uncertainty and actuator faults can
   affect performance even the safety of flight. To tackle such problems,
   an adaptive fault-tolerant control method is presented integrated with
   fast terminal sliding mode control (FTSMC) technology and neural network
   (NN) for the attitude system of a quadrotor unmanned aerial vehicle,
   where the NN is employed to approximate the uncertain terms in the
   system. First, for the loss of effectiveness, an adaptive law is
   developed to estimate the unknown fault coefficient. Then considering
   the unknown upper bound of the total disturbance, an adaptive law is
   designed to predict the unknown upper bound. Furthermore, considering
   the transient response, a FTSMC scheme is developed for the attitude
   system, which has better convergence rate than conventional terminal
   sliding mode control. Finally, the contrast test is performed to verify
   the effectiveness and superiority of the proposed control method. (C)
   2022 Elsevier Masson SAS. All rights reserved.",AEROSPACE SCIENCE AND TECHNOLOGY,,Review,10.1016/j.ast.2022.107818,,,,"Gao, Benke and Liu, Yan-Jun and Liu, Lei",,92.0,WOS:000860713000008,,,paper,adaptive neural fault tolerant control of a quadrotor uav via fast terminal sliding mode,10.1016/j.ast.2022.107818,https://doi.org/10.1016/j.ast.2022.107818,https://doi.org/10.1016/j.ast.2022.107818,180.456,citations=92; year=2022; risk_terms=4; physical_terms=3; prestige_venue=mandatory_candidate,https://doi.org/10.1016/j.ast.2022.107818,True,200.0,https://linkinghub.elsevier.com/retrieve/pii/S1270963822004928,text/html;charset=UTF-8,
36,,2022,"Human guided cooperative robotic agents in smart home using beetle
   antennae search","In this paper, we propose a control framework for cooperative robotic
   agents, which constitutes an essential component in the construction of
   futuristic smart-homes. Such agents assist humans in efficiently
   completing household chores. Usability, human friendliness, autonomy,
   and intelligent decision-making are the top considerations for designing
   such a system along with reliability, accuracy, and efficiency.
   Implementing a distributed control algorithm considering these goals is
   a complicated task since classical control frameworks focus on
   specialized robots working in an industrial environment and do not
   capture unique features of the home environment. For example, a
   household robotic agent needs to perform several general-purpose tasks
   without assuming that the user has specialized training similar to an
   industrial operator. Since the challenges and goals in designing a
   household robotic agent are different, there is a need for a control
   framework centered around the required goals. The proposed control
   framework considers the collision problem between several cooperative
   robotic agents while assisting the human user. We propose an
   optimization-driven approach to avoid static and dynamic obstacles
   present in the environment while simultaneously controlling the robots
   as commanded by the user. We formulate the optimization problem that
   incorporates the required goals and then use a neural network to solve
   the optimization problem efficiently. The neural network, beetle
   antennae search zeroing neural network (BASZNN), is inspired by the
   natural behavior of beetles. It solves the optimization problem in a
   gradient-free manner contributing to the computational efficiency of the
   neural network. Additionally, the distributed-processing capability of
   the neural networks contributes to computational efficiency and matches
   the distributed nature of the underlying problem. For testing the
   performance of BASZNN, we use V-REP and MATLAB to simulate a household
   environment. Three cooperative agents (KUKA LBR IIWA 7 mounted on P3-DX)
   assist a person in moving a table around the room. The simulation
   results show that the BASZNN can accurately and robustly accomplish the
   required task.",SCIENCE CHINA-INFORMATION SCIENCES,,Article,10.1007/s11432-020-3073-5,,,,"Khan, Ameer Tamoor and Li, Shuai and Cao, Xinwei",,89.0,WOS:000748246100002,,,paper,human guided cooperative robotic agents in smart home using beetle antennae search,10.1007/s11432-020-3073-5,https://doi.org/10.1007/s11432-020-3073-5,https://doi.org/10.1007/s11432-020-3073-5,179.997,citations=89; year=2022; risk_terms=3; physical_terms=4; prestige_venue=mandatory_candidate,https://doi.org/10.1007/s11432-020-3073-5,True,200.0,https://link.springer.com/article/10.1007/s11432-020-3073-5,text/html; charset=utf-8,
37,,2025,"Learning Neural Force Manifolds for Sim2Real Robotic Symmetrical Paper
   Folding","Robotic manipulation of slender objects is challenging, especially when
   the induced deformations are large and nonlinear. Traditionally,
   learning-based control approaches, such as imitation learning, have been
   used to address deformable material manipulation. These approaches lack
   generality and often suffer critical failure from a simple switch of
   material, geometric, and/or environmental (e.g., friction) properties.
   This article tackles a fundamental but difficult deformable manipulation
   task: forming a predefined fold in paper with only a single manipulator.
   A sim2real framework combining physically-accurate simulation and
   machine learning is used to train a deep neural network capable of
   predicting the external forces induced on the manipulated paper given a
   grasp position. We frame the problem using scaling analysis, resulting
   in a control framework robust against material and geometric changes.
   Path planning is then carried out over the generated ``neural force
   manifold{''} to produce robot manipulation trajectories optimized to
   prevent sliding, with offline trajectory generation finishing 15x faster
   than previous physics-based folding methods. The inference speed of the
   trained model enables the incorporation of real-time visual feedback to
   achieve closed-loop model-predictive control. Realworld experiments
   demonstrate that our framework can greatly improve robotic manipulation
   performance compared to state-of-the-art folding strategies, even when
   manipulating paper objects of various materials and shapes.
   Note to Practitioners-This article is motivated by the need for
   efficient robotic folding strategies for stiff materials such as paper.
   Previous robot folding strategies have focused primarily on soft
   materials (e.g., cloth) possessing minimal bending resistance or relied
   on multiple complex manipulators and sensors, significantly increasing
   computational and monetary costs. In contrast, we formulate a robust,
   sim2real, physics-based method capable of folding papers of varying
   stiffness with a single manipulator. The proposed folding scheme is
   limited to papers of homogeneous material and folding along symmetric
   centerlines. Future work will involve formulating efficient methods for
   folding along arbitrary geometries and preexisting creases.",IEEE TRANSACTIONS ON AUTOMATION SCIENCE AND ENGINEERING,,Article,10.1109/TASE.2024.3366909,,,,"Choi, Andrew and Tong, Dezhong and Terzopoulos, Demetri and Joo,
   Jungseock and Jawed, Mohammad Khalid",,11.0,WOS:001181546300001,,,paper,learning neural force manifolds for sim2real robotic symmetrical paper folding,10.1109/tase.2024.3366909,https://doi.org/10.1109/tase.2024.3366909,https://doi.org/10.1109/tase.2024.3366909,179.789,citations=11; year=2025; risk_terms=2; physical_terms=6; prestige_venue=mandatory_candidate,https://doi.org/10.1109/tase.2024.3366909,True,202.0,https://ieeexplore.ieee.org/document/10445527/,text/html; charset=UTF-8,
38,,2024,"Composing MPC With LQR and Neural Network for Amortized Efficiency and
   Stable Control","Model predictive control (MPC) is a powerful control method that handles
   dynamical systems with constraints. However, solving MPC iteratively in
   real time, i.e., implicit MPC, remains a computational challenge. To
   address this, common solutions include explicit MPC and function
   approximation. Both methods, whenever applicable, may improve the
   computational efficiency of the implicit MPC by several orders of
   magnitude. Nevertheless, explicit MPC often requires expensive
   pre-computation and does not easily apply to higher-dimensional
   problems. Meanwhile, function approximation, although scales better with
   dimension, still requires pre-training on a large dataset and generally
   cannot guarantee to find an accurate surrogate policy, the failure of
   which often leads to closed-loop instability. To address these issues,
   we propose a triple-mode hybrid control scheme, named Memory-Augmented
   MPC, by combining a linear quadratic regulator, a neural network, and an
   MPC. From its standard form, we derive two variants of such hybrid
   control scheme: one customized for chaotic systems and the other for
   slow systems. The proposed scheme does not require pre-computation and
   is capable of improving the amortized running time of the composed MPC
   with a well-trained neural network. In addition, the scheme maintains
   closed-loop stability with any neural networks of proper input and
   output dimensions, alleviating the need for certifying optimality of the
   neural network in safety-critical applications. Note to
   Practitioners-This article was motivated by the need to reduce the
   amortized cost of MPC in repetitive industrial robotic applications,
   where long-term operational cost is important and safety is critical.
   Examples of such applications include factory robotic arm manipulation
   and fixed-route quadcopter payload transport. Unlike explicit MPC or
   function approximation, our approach does not require any
   pre-computation or pre-training. Rather, it attains task proficiency
   over time by learning a surrogate neural network on the spot and by
   gradually replacing the costly MPC with the more efficient surrogate
   model so long as safety permits. Consequently, the proposed scheme
   incurs a learning cost during the initial phase of the deployment but
   usually becomes more adept on the task afterwards, leading to amortized
   efficiency.",IEEE TRANSACTIONS ON AUTOMATION SCIENCE AND ENGINEERING,,Article,10.1109/TASE.2023.3259428,,,,"Wu, Fangyu and Wang, Guanhua and Zhuang, Siyuan and Wang, Kehan and
   Keimer, Alexander and Stoica, Ion and Bayen, Alexandre",,11.0,WOS:000966032000001,,,paper,composing mpc with lqr and neural network for amortized efficiency and stable control,10.1109/tase.2023.3259428,https://doi.org/10.1109/tase.2023.3259428,https://doi.org/10.1109/tase.2023.3259428,179.789,citations=11; year=2024; risk_terms=3; physical_terms=5; prestige_venue=mandatory_candidate,https://doi.org/10.1109/tase.2023.3259428,True,202.0,https://ieeexplore.ieee.org/document/10081036/,text/html; charset=UTF-8,
39,,2023,"Hybrid hierarchical learning for solving complex sequential tasks using
   the robotic manipulation network ROMAN","Solving long sequential tasks remains a non-trivial challenge in the
   field of embodied artificial intelligence. Enabling a robotic system to
   perform diverse sequential tasks with a broad range of manipulation
   skills is a notable open problem and continues to be an active area of
   research. In this work, we present a hybrid hierarchical learning
   framework, the robotic manipulation network ROMAN, to address the
   challenge of solving multiple complex tasks over long time horizons in
   robotic manipulation. By integrating behavioural cloning, imitation
   learning and reinforcement learning, ROMAN achieves task versatility and
   robust failure recovery. It consists of a central manipulation network
   that coordinates an ensemble of various neural networks, each
   specializing in different recombinable subtasks to generate their
   correct in-sequence actions, to solve complex long-horizon manipulation
   tasks. Our experiments show that, by orchestrating and activating these
   specialized manipulation experts, ROMAN generates correct sequential
   activations accomplishing long sequences of sophisticated manipulation
   tasks and achieving adaptive behaviours beyond demonstrations, while
   exhibiting robustness to various sensory noises. These results highlight
   the significance and versatility of ROMAN's dynamic adaptability
   featuring autonomous failure recovery capabilities, and underline its
   potential for various autonomous manipulation tasks that require
   adaptive motor skills.
   Achieving sequential robotic actions involving different manipulation
   skills is an open challenge that is critical to enable robots to
   interact meaningfully with their physical environment. Triantafyllidis
   and colleagues present a hierarchical learning framework based on an
   ensemble of specialized neural networks to solve complex long-horizon
   manipulation tasks.",NATURE MACHINE INTELLIGENCE,,Article,10.1038/s42256-023-00709-2,,,,"Triantafyllidis, Eleftherios and Acero, Fernando and Liu, Zhaocheng and
   Li, Zhibin",,36.0,WOS:001060239200001,,,paper,hybrid hierarchical learning for solving complex sequential tasks using the robotic manipulation network roman,10.1038/s42256-023-00709-2,https://doi.org/10.1038/s42256-023-00709-2,https://doi.org/10.1038/s42256-023-00709-2,179.553,citations=36; year=2023; risk_terms=2; physical_terms=5; prestige_venue=mandatory_candidate,https://doi.org/10.1038/s42256-023-00709-2,True,200.0,https://www.nature.com/articles/s42256-023-00709-2,"text/html; charset=""UTF-8""",
40,,2025,"The role of artificial intelligence in enhancing healthcare for people
   with disabilities","The integration of artificial intelligence (AI) in healthcare delivery
   represents a transformative opportunity to enhance the lives of people
   living with disabilities. AI-driven technologies, such as assistive
   devices, conversational agents, and rehabilitation tools, can mitigate
   health disparities, improve diagnostic accuracy, and facilitate
   effective communication with healthcare providers, fostering more
   equitable healthcare environments. This commentary explores these
   applications while addressing the ethical challenges and limitations
   associated with AI deployment. Specific challenges, such as algorithmic
   bias, privacy risks with patient data, and the complexity of designing
   inclusive technologies, are discussed to provide a balanced perspective.
   For example, biased diagnostic tools may lead to inequitable care, and
   privacy breaches can compromise sensitive data. Key areas of focus
   include personalised care through AI-powered systems, the design of
   inclusive AI technologies incorporating continuous feedback loops and
   partnerships with advocacy groups, and the development of AI-enabled
   robotics for physical assistance. This commentary paper emphasises the
   importance of addressing these limitations alongside advancing ethical
   AI practices and ensuring continuous user involvement to meet the
   diverse needs of people living with disabilities, ultimately promoting
   greater independence and participation in society. Consequently, while
   AI holds transformative potential in advancing equitable and inclusive
   healthcare for people with disabilities, addressing ethical challenges,
   overcoming limitations, and fostering user-centred design are essential
   to fully realise its benefits and ensure these innovations promote
   autonomy, accessibility, and wellbeing.",SOCIAL SCIENCE \& MEDICINE,,Article,10.1016/j.socscimed.2024.117560,,,,"Olawade, David Bamidele and Bolarinwa, Obasanjo Afolabi and Adebisi,
   Yusuff Adebayo and Shongwe, Sinegugu",,23.0,WOS:001370847000001,,,paper,the role of artificial intelligence in enhancing healthcare for people with disabilities,10.1016/j.socscimed.2024.117560,https://doi.org/10.1016/j.socscimed.2024.117560,https://doi.org/10.1016/j.socscimed.2024.117560,179.493,citations=23; year=2025; risk_terms=4; physical_terms=2; prestige_venue=mandatory_candidate,https://doi.org/10.1016/j.socscimed.2024.117560,True,200.0,https://linkinghub.elsevier.com/retrieve/pii/S0277953624010141,text/html;charset=UTF-8,
