source_file,year,title,abstract,venue,institution,document_type,doi,url,landing_page_url,pdf_url,authors,first_author,citations,record_id,matched_terms,matched_l3,record_type,title_key,doi_key,candidate_url,url_key,score,selection_reason,checked_url,access_ok,status_code,final_url,content_type,access_error
,2024,"Patient Safety in Anesthesiology: Progress, Challenges, and Prospects","Anesthesiology is considered a complex medical specialty. Its history
   has been marked by radical advances and profound transformations, owing
   to technical and pharmacological developments and innovations in the
   field, enabling us over the years to improve patient outcomes and
   perform longer, more complex surgical procedures on more fragile
   patients. However, anesthesiology has never been safe and free of
   challenges. Despite the advances made, it still faces risks associated
   with the practice of anesthesia, for both patients and healthcare
   professionals, and with some of the specific challenges encountered in
   low and middle-income countries. In this context, certain actions and
   initiatives must be carried out collaboratively. In addition, recent
   technologies and innovations such as simulation, genomics, artificial
   intelligence, and robotics hold promise for further improving patient
   safety in anesthesiology and overcoming existing challenges, making it
   possible to offer safer, more effective, and personalized anesthesia.
   However, this requires rigorous monitoring of ethical aspects and the
   reliability of the studies to reap the full benefits of the new
   technology. This literature review presents the evolution of
   anesthesiology over time, its current challenges, and its promising
   future. It underlines the importance of the new technologies and the
   need to pursue efforts and strengthen research in anesthesiology to
   overcome the persistent challenges and benefit from the advantages of
   the latest technology to guarantee safe, high-quality anesthesia with
   universal access.",CUREUS JOURNAL OF MEDICAL SCIENCE,,Review,10.7759/cureus.69540,,,,"Harfaoui, Wafaa and Alilou, Mustapha and El Adib, Ahmed Rhassane and
   Zidouh, Saad and Zentar, Aziz and Lekehal, Brahim and Belyamani, Lahcen
   and Obtel, Majdouline",,12.0,WOS:001318056600004,,,paper,patient safety in anesthesiology progress challenges and prospects,10.7759/cureus.69540,https://doi.org/10.7759/cureus.69540,https://doi.org/10.7759/cureus.69540,180.909,citations=12; year=2024; risk_terms=6; physical_terms=2; prestige_venue=mandatory_candidate,https://doi.org/10.7759/cureus.69540,True,200.0,https://www.cureus.com/articles/259566-patient-safety-in-anesthesiology-progress-challenges-and-prospects,text/html; charset=utf-8,
,2024,Robot-assisted dental implant surgery procedure: A literature review,"Robot-assisted dental surgery has gained significant attention in the
   field of dental implant therapy as an alternative to conventional
   free-hand surgery. It addresses challenges faced by human operators,
   such as limited visibility, operator fatigue, and lack of experience,
   which can lead to errors. Dental implant robots offer improved
   precision, efficiency, and stability, enhancing implant accuracy and
   reducing surgical risks. Accurate placement of dental implants is
   crucial to avoid complications during and after surgery. Robotic
   guidance in dental implant surgery provides several benefits. Firstly,
   the robotic arm offers haptic feedback, allowing physical guidance when
   placing the implant in the desired position. Secondly, a patient tracker
   integrated into the robotic system monitors patient movement and
   provides real-time feedback on a screen. This feature ensures that the
   surgeon is aware of any changes and can adjust accordingly. Lastly, the
   robotic system operates under human-robot collaboration, with the
   surgeon maintaining control and oversight throughout the procedure.
   Therefore, the objective of the current study is to review the dental
   implant robots, as well as accuracy and efficiency (e.g. operation and
   preparation time) of robot -assisted dental implant surgery procedures.
   <feminine ordinal indicator> 2024 Association for Dental Sciences of the
   Republic of China. Publishing services by Elsevier B.V. This is an open
   access article under the CC BY -NC -ND license (http://creativecommons.
   org/licenses/by-nc-nd/4.0/).",JOURNAL OF DENTAL SCIENCES,,Review,10.1016/j.jds.2024.03.011,,,,"Bahrami, Rashin and Pourhajibagher, Maryam and Nikparto, Nariman and
   Bahador, Abbas",,36.0,WOS:001260005600001,,,paper,robot assisted dental implant surgery procedure a literature review,10.1016/j.jds.2024.03.011,https://doi.org/10.1016/j.jds.2024.03.011,https://doi.org/10.1016/j.jds.2024.03.011,180.553,citations=36; year=2024; risk_terms=1; physical_terms=4; prestige_venue=mandatory_candidate,https://doi.org/10.1016/j.jds.2024.03.011,True,200.0,https://linkinghub.elsevier.com/retrieve/pii/S199179022400076X,text/html;charset=UTF-8,
,2024,Autonomous Robotic Surgery: Has the Future Arrived?,"Autonomous robotic surgery represents a pioneering field dedicated to
   the integration of robotic systems with varying degrees of autonomy for
   the execution of surgical procedures. This paradigm shift is made
   possible by the progressive integration of artificial intelligence (AI)
   and machine learning (ML) into the realm of surgical interventions.
   While the majority of autonomous robotic systems remain in the
   experimental phase, a notable subset has successfully transitioned into
   clinical applications. Noteworthy procedures, such as venipuncture, hair
   implantations, intestinal anastomosis, total knee replacement, cochlear
   implant, radiosurgery, and knot tying, among others, exemplify the
   current capabilities of autonomous surgical systems. This review
   endeavors to comprehensively address facets of autonomous robotic
   surgery, commencing with a concise elucidation of fundamental concepts
   and traversing the pivotal milestones in the historical evolution of
   robotic surgery. This historical trajectory underscores the incremental
   assimilation of autonomous systems into surgical practices. This review
   aims to address topics related to autonomous robotic surgery, starting
   with a description of fundamental concepts and going through the
   milestones in robotic surgery history that also show the gradual
   incorporations of autonomous systems. It also includes a discussion of
   the key benefits and risks of this technology, the degrees of autonomy
   in surgical robots, their limitations, the current legal regulations
   governing their usage, and the main ethical concerns inherent to their
   nature.",CUREUS JOURNAL OF MEDICAL SCIENCE,,Review,10.7759/cureus.52243,,,,"Rivero-Moreno, Yeisson and Rodriguez, Miguel and Losada-Munoz, Paola and
   Redden, Samantha and Lopez-Lezama, Saiddys and Vidal-Gallardo, Andrea
   and Machado-Paled, Debbye and Guilarte, Jesus Cordova and
   Teran-Quintero, Sheyla",,36.0,WOS:001155644000015,,,paper,autonomous robotic surgery has the future arrived,10.7759/cureus.52243,https://doi.org/10.7759/cureus.52243,https://doi.org/10.7759/cureus.52243,180.553,citations=36; year=2024; risk_terms=2; physical_terms=3; prestige_venue=mandatory_candidate,https://doi.org/10.7759/cureus.52243,True,200.0,https://www.cureus.com/articles/214232-autonomous-robotic-surgery-has-the-future-arrived,text/html; charset=utf-8,
,2025,"Safety-Certified Self-Triggered Cooperative Path Following Control via
   Data-Driven Learning and Neurodynamic Optimization","This paper investigates the safety-certified cooperative path following
   problem for second-order nonlinear systems with multiple-input
   multiple-output strict-feedback form subject to safety, state, and input
   constraints. A safety-certified learning control approach is proposed to
   achieve collision-free cooperative path following based on command
   optimization, online learning, and self-triggered communication.
   Specifically, an extended-state-observer-aided learning neural predictor
   is developed to simultaneously identify nonlinear functions and unknown
   input gains without measuring state derivatives. Control barrier
   functions are then employed to ensure safety through forward invariant
   sets. Next, command optimization is utilized to generate the optimal
   virtual control signals that satisfy safety constraints, state
   constraints, and input constraints. A neurodynamic optimization
   technique is employed to solve the quadratic optimization problem in
   real time. Additionally, a self-triggered mechanism is introduced in
   path variable coordination to reduce the listening and triggering times.
   By using the proposed safety-certified cooperative path following
   approach, a safe formation is guaranteed for input-to-state safety.
   Simulation results are provided to illustrate the effectiveness of the
   proposed method.
   Note to Practitioners-This paper addresses the safety-certified
   cooperative path following problem of multi-agent systems, which has
   practical implications in various applications. These applications
   include formation patrol, cargo transportation, search and rescue
   missions, swarm robotics, and agricultural tasks. By coordinating the
   movements of multiple agents, cooperative path following enhances
   efficiency in these scenarios. The challenges posed by safety, state,
   and input constraints are commonly encountered in practical. To address
   these challenges, the command optimization approach is proposed in this
   paper. The optimization problem is efficiently solved in real-time using
   neurodynamic optimization technique. Furthermore, to enhance feasibility
   in a limited communication environment, a self-triggered mechanism is
   introduced to reduce the communication burden. Therefore, the
   aforementioned effective scheme is suitable for implementation in
   industrial applications.",IEEE TRANSACTIONS ON AUTOMATION SCIENCE AND ENGINEERING,,Article,10.1109/TASE.2024.3382323,,,,"Cong, Siming and Wang, Dan and Gu, Nan and Li, Tieshan and Peng, Zhouhua",,17.0,WOS:001201887500001,,,paper,safety certified self triggered cooperative path following control via data driven learning and neurodynamic optimization,10.1109/tase.2024.3382323,https://doi.org/10.1109/tase.2024.3382323,https://doi.org/10.1109/tase.2024.3382323,180.465,citations=17; year=2025; risk_terms=3; physical_terms=4; prestige_venue=mandatory_candidate,https://doi.org/10.1109/tase.2024.3382323,True,202.0,https://ieeexplore.ieee.org/document/10492989/,text/html; charset=UTF-8,
,2024,Optimality principles in spacecraft neural guidance and control,"This Review discusses the main results obtained in training end-to-end
   neural architectures for guidance and control of interplanetary
   transfers, planetary landings, and close-proximity operations,
   highlighting the successful learning of optimality principles by the
   underlying neural models. Spacecraft and drones aimed at exploring our
   solar system are designed to operate in conditions where the smart use
   of onboard resources is vital to the success or failure of the mission.
   Sensorimotor actions are thus often derived from high-level,
   quantifiable, optimality principles assigned to each task, using
   consolidated tools in optimal control theory. The planned actions are
   derived on the ground and transferred on board, where controllers have
   the task of tracking the uploaded guidance profile. Here, we review
   recent trends based on the use of end-to-end networks, called guidance
   and control networks (G\&CNets), which allow spacecraft to depart from
   such an architecture and to embrace the onboard computation of optimal
   actions. In this way, the sensor information is transformed in real time
   into optimal plans, thus increasing mission autonomy and robustness. We
   then analyze drone racing as an ideal gym environment to test these
   architectures on real robotic platforms and thus increase confidence in
   their use in future space exploration missions. Drone racing not only
   shares with spacecraft missions both limited onboard computational
   capabilities and similar control structures induced from the optimality
   principle sought but also entails different levels of uncertainties and
   unmodeled effects and a very different dynamical timescale.",SCIENCE ROBOTICS,,Review,10.1126/scirobotics.adi6421,,,,"Izzo, Dario and Blazquez, Emmanuel and Ferede, Robin and Origer,
   Sebastien and De Wagter, Christophe and de Croon, Guido C. H. E.",,17.0,WOS:001250846100001,,,paper,optimality principles in spacecraft neural guidance and control,10.1126/scirobotics.adi6421,https://doi.org/10.1126/scirobotics.adi6421,https://doi.org/10.1126/scirobotics.adi6421,180.465,citations=17; year=2024; risk_terms=2; physical_terms=5; prestige_venue=mandatory_candidate,https://doi.org/10.1126/scirobotics.adi6421,False,403.0,https://www.science.org/doi/10.1126/scirobotics.adi6421,text/html; charset=UTF-8,
,2024,"Task Accuracy Enhancement for a Surgical Macro-Micro Manipulator With
   Probabilistic Neural Networks and Uncertainty Minimization","Accurate robot kinematic modelling is a major component for autonomous
   robot control to guarantee safety and precision during task execution.
   In surgical robotics complex robotic structures and actuation mechanisms
   are generally employed, therefore machine learning techniques can be
   adopted to build the model of the robot. Probabilistic neural networks
   are a class of learning approaches that provide information about the
   uncertainty of the learnt models. In this work we compare two different
   probabilistic neural networks (Bayesian and Evidential Neural Networks)
   to model the kinematics of a surgical robotic instrument and propose a
   control strategy based on Hierarchical Quadratic Programming (HQP)
   capable of exploiting the model uncertainty to improve the accuracy and
   safety of the controller. Simulation and real world experiments on
   different autonomous path tracking tasks show that the model uncertainty
   highly affects the control performances and prove the effectiveness of
   the proposed controller in improving task execution.",IEEE TRANSACTIONS ON AUTOMATION SCIENCE AND ENGINEERING,,Article,10.1109/TASE.2022.3219590,,,,"Cursi, Francesco and Bai, Weibang and Yeatman, Eric M. M. and Kormushev,
   Petar",,17.0,WOS:000886721700001,,,paper,task accuracy enhancement for a surgical macro micro manipulator with probabilistic neural networks and uncertainty minimization,10.1109/tase.2022.3219590,https://doi.org/10.1109/tase.2022.3219590,https://doi.org/10.1109/tase.2022.3219590,180.465,citations=17; year=2024; risk_terms=3; physical_terms=4; prestige_venue=mandatory_candidate,https://doi.org/10.1109/tase.2022.3219590,True,202.0,https://ieeexplore.ieee.org/document/9945972/,text/html; charset=UTF-8,
,2022,"Adaptive neural fault-tolerant control of a quadrotor UAV via fast
   terminal sliding mode","The external disturbance, model uncertainty and actuator faults can
   affect performance even the safety of flight. To tackle such problems,
   an adaptive fault-tolerant control method is presented integrated with
   fast terminal sliding mode control (FTSMC) technology and neural network
   (NN) for the attitude system of a quadrotor unmanned aerial vehicle,
   where the NN is employed to approximate the uncertain terms in the
   system. First, for the loss of effectiveness, an adaptive law is
   developed to estimate the unknown fault coefficient. Then considering
   the unknown upper bound of the total disturbance, an adaptive law is
   designed to predict the unknown upper bound. Furthermore, considering
   the transient response, a FTSMC scheme is developed for the attitude
   system, which has better convergence rate than conventional terminal
   sliding mode control. Finally, the contrast test is performed to verify
   the effectiveness and superiority of the proposed control method. (C)
   2022 Elsevier Masson SAS. All rights reserved.",AEROSPACE SCIENCE AND TECHNOLOGY,,Review,10.1016/j.ast.2022.107818,,,,"Gao, Benke and Liu, Yan-Jun and Liu, Lei",,92.0,WOS:000860713000008,,,paper,adaptive neural fault tolerant control of a quadrotor uav via fast terminal sliding mode,10.1016/j.ast.2022.107818,https://doi.org/10.1016/j.ast.2022.107818,https://doi.org/10.1016/j.ast.2022.107818,180.456,citations=92; year=2022; risk_terms=4; physical_terms=3; prestige_venue=mandatory_candidate,https://doi.org/10.1016/j.ast.2022.107818,True,200.0,https://linkinghub.elsevier.com/retrieve/pii/S1270963822004928,text/html;charset=UTF-8,
,2025,"Autonomous `self-driving' laboratories: a review of technology and
   policy implications","This article reviews and provides perspective on the emerging technology
   of autonomous, `self-driving' laboratories (SDLs) that combine
   artificial intelligence (AI) and laboratory automation to perform
   research in chemistry, materials science and biological sciences.
   Today's most capable SDLs automate nearly the entire scientific method,
   from hypothesis generation, experimental design, experiment execution
   and data analysis, to drawing conclusions and updating hypotheses for
   subsequent rounds of optimization or discovery. `Cloud labs' offer
   subscription-based remote-control access to experimental capabilities.
   Reports of AI-directed experiments executed in cloud labs are appearing
   in the literature, previewing a democratization of science that
   intrigues but inspires concern. Indeed, SDLs have potential implications
   for society far beyond the academy. Inventions emerging from AI-driven
   science pose a grand challenge, as patent laws across the world
   recognize only human inventors. If the inventions they generate remain
   unpatentable, funding for SDLs may be constrained. SDLs raise safety and
   security concerns. We deem them surmountable with a proactive approach,
   ultimate human accountability and robust cybersecurity measures.
   Finally, we estimate the impacts of SDLs on the technical labour force.
   Our analysis suggests that SDLs may displace some scientific roles but
   are likely to create many new opportunities.",ROYAL SOCIETY OPEN SCIENCE,,Review,10.1098/rsos.250646,,,,"Tobias, Alexander V. and Wahab, Adam",,24.0,WOS:001529445000001,,,paper,autonomous self driving laboratories a review of technology and policy implications,10.1098/rsos.250646,https://doi.org/10.1098/rsos.250646,https://doi.org/10.1098/rsos.250646,180.064,citations=24; year=2025; risk_terms=5; physical_terms=1; prestige_venue=mandatory_candidate,https://doi.org/10.1098/rsos.250646,False,403.0,https://royalsocietypublishing.org/doi/10.1098/rsos.250646,text/html; charset=UTF-8,
,2022,"Human guided cooperative robotic agents in smart home using beetle
   antennae search","In this paper, we propose a control framework for cooperative robotic
   agents, which constitutes an essential component in the construction of
   futuristic smart-homes. Such agents assist humans in efficiently
   completing household chores. Usability, human friendliness, autonomy,
   and intelligent decision-making are the top considerations for designing
   such a system along with reliability, accuracy, and efficiency.
   Implementing a distributed control algorithm considering these goals is
   a complicated task since classical control frameworks focus on
   specialized robots working in an industrial environment and do not
   capture unique features of the home environment. For example, a
   household robotic agent needs to perform several general-purpose tasks
   without assuming that the user has specialized training similar to an
   industrial operator. Since the challenges and goals in designing a
   household robotic agent are different, there is a need for a control
   framework centered around the required goals. The proposed control
   framework considers the collision problem between several cooperative
   robotic agents while assisting the human user. We propose an
   optimization-driven approach to avoid static and dynamic obstacles
   present in the environment while simultaneously controlling the robots
   as commanded by the user. We formulate the optimization problem that
   incorporates the required goals and then use a neural network to solve
   the optimization problem efficiently. The neural network, beetle
   antennae search zeroing neural network (BASZNN), is inspired by the
   natural behavior of beetles. It solves the optimization problem in a
   gradient-free manner contributing to the computational efficiency of the
   neural network. Additionally, the distributed-processing capability of
   the neural networks contributes to computational efficiency and matches
   the distributed nature of the underlying problem. For testing the
   performance of BASZNN, we use V-REP and MATLAB to simulate a household
   environment. Three cooperative agents (KUKA LBR IIWA 7 mounted on P3-DX)
   assist a person in moving a table around the room. The simulation
   results show that the BASZNN can accurately and robustly accomplish the
   required task.",SCIENCE CHINA-INFORMATION SCIENCES,,Article,10.1007/s11432-020-3073-5,,,,"Khan, Ameer Tamoor and Li, Shuai and Cao, Xinwei",,89.0,WOS:000748246100002,,,paper,human guided cooperative robotic agents in smart home using beetle antennae search,10.1007/s11432-020-3073-5,https://doi.org/10.1007/s11432-020-3073-5,https://doi.org/10.1007/s11432-020-3073-5,179.997,citations=89; year=2022; risk_terms=3; physical_terms=4; prestige_venue=mandatory_candidate,https://doi.org/10.1007/s11432-020-3073-5,True,200.0,https://link.springer.com/article/10.1007/s11432-020-3073-5,text/html; charset=utf-8,
,2018,"Governing artificial intelligence: ethical, legal and technical
   opportunities and challenges Introduction","This paper is the introduction to the special issue entitled: `Governing
   artificial intelligence: ethical, legal and technical opportunities and
   challenges. Artificial intelligence (AI) increasingly permeates every
   aspect of our society, from the critical, like urban infrastructure, law
   enforcement, banking, healthcare and humanitarian aid, to the mundane
   like dating. AI, including embodied AI in robotics and techniques like
   machine learning, can improve economic, social welfare and the exercise
   of human rights. Owing to the proliferation of AI in high-risk areas,
   the pressure is mounting to design and govern AI to be accountable, fair
   and transparent. How can this be achieved and through which frameworks?
   This is one of the central questions addressed in this special issue, in
   which eight authors present in-depth analyses of the ethical,
   legal-regulatory and technical challenges posed by developing governance
   regimes for AI systems. It also gives a brief overview of recent
   developments in AI governance, how much of the agenda for defining AI
   regulation, ethical frameworks and technical approaches is set, as well
   as providing some concrete suggestions to further the debate on AI
   governance.
   This article is part of the theme issue `Governing artificial
   intelligence: ethical, legal, and technical opportunities and
   challenges'.","PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY A-MATHEMATICAL PHYSICAL
   AND ENGINEERING SCIENCES",,Editorial Material,10.1098/rsta.2018.0080,,,,"Cath, Corinne",,301.0,WOS:000447313000001,,,paper,governing artificial intelligence ethical legal and technical opportunities and challenges introduction,10.1098/rsta.2018.0080,https://doi.org/10.1098/rsta.2018.0080,https://doi.org/10.1098/rsta.2018.0080,179.946,citations=301; year=2018; risk_terms=3; physical_terms=3; prestige_venue=mandatory_candidate,https://doi.org/10.1098/rsta.2018.0080,False,403.0,https://royalsocietypublishing.org/rsta/article/115667,text/html; charset=UTF-8,
,2024,"Composing MPC With LQR and Neural Network for Amortized Efficiency and
   Stable Control","Model predictive control (MPC) is a powerful control method that handles
   dynamical systems with constraints. However, solving MPC iteratively in
   real time, i.e., implicit MPC, remains a computational challenge. To
   address this, common solutions include explicit MPC and function
   approximation. Both methods, whenever applicable, may improve the
   computational efficiency of the implicit MPC by several orders of
   magnitude. Nevertheless, explicit MPC often requires expensive
   pre-computation and does not easily apply to higher-dimensional
   problems. Meanwhile, function approximation, although scales better with
   dimension, still requires pre-training on a large dataset and generally
   cannot guarantee to find an accurate surrogate policy, the failure of
   which often leads to closed-loop instability. To address these issues,
   we propose a triple-mode hybrid control scheme, named Memory-Augmented
   MPC, by combining a linear quadratic regulator, a neural network, and an
   MPC. From its standard form, we derive two variants of such hybrid
   control scheme: one customized for chaotic systems and the other for
   slow systems. The proposed scheme does not require pre-computation and
   is capable of improving the amortized running time of the composed MPC
   with a well-trained neural network. In addition, the scheme maintains
   closed-loop stability with any neural networks of proper input and
   output dimensions, alleviating the need for certifying optimality of the
   neural network in safety-critical applications. Note to
   Practitioners-This article was motivated by the need to reduce the
   amortized cost of MPC in repetitive industrial robotic applications,
   where long-term operational cost is important and safety is critical.
   Examples of such applications include factory robotic arm manipulation
   and fixed-route quadcopter payload transport. Unlike explicit MPC or
   function approximation, our approach does not require any
   pre-computation or pre-training. Rather, it attains task proficiency
   over time by learning a surrogate neural network on the spot and by
   gradually replacing the costly MPC with the more efficient surrogate
   model so long as safety permits. Consequently, the proposed scheme
   incurs a learning cost during the initial phase of the deployment but
   usually becomes more adept on the task afterwards, leading to amortized
   efficiency.",IEEE TRANSACTIONS ON AUTOMATION SCIENCE AND ENGINEERING,,Article,10.1109/TASE.2023.3259428,,,,"Wu, Fangyu and Wang, Guanhua and Zhuang, Siyuan and Wang, Kehan and
   Keimer, Alexander and Stoica, Ion and Bayen, Alexandre",,11.0,WOS:000966032000001,,,paper,composing mpc with lqr and neural network for amortized efficiency and stable control,10.1109/tase.2023.3259428,https://doi.org/10.1109/tase.2023.3259428,https://doi.org/10.1109/tase.2023.3259428,179.789,citations=11; year=2024; risk_terms=3; physical_terms=5; prestige_venue=mandatory_candidate,https://doi.org/10.1109/tase.2023.3259428,True,202.0,https://ieeexplore.ieee.org/document/10081036/,text/html; charset=UTF-8,
,2023,"Hybrid hierarchical learning for solving complex sequential tasks using
   the robotic manipulation network ROMAN","Solving long sequential tasks remains a non-trivial challenge in the
   field of embodied artificial intelligence. Enabling a robotic system to
   perform diverse sequential tasks with a broad range of manipulation
   skills is a notable open problem and continues to be an active area of
   research. In this work, we present a hybrid hierarchical learning
   framework, the robotic manipulation network ROMAN, to address the
   challenge of solving multiple complex tasks over long time horizons in
   robotic manipulation. By integrating behavioural cloning, imitation
   learning and reinforcement learning, ROMAN achieves task versatility and
   robust failure recovery. It consists of a central manipulation network
   that coordinates an ensemble of various neural networks, each
   specializing in different recombinable subtasks to generate their
   correct in-sequence actions, to solve complex long-horizon manipulation
   tasks. Our experiments show that, by orchestrating and activating these
   specialized manipulation experts, ROMAN generates correct sequential
   activations accomplishing long sequences of sophisticated manipulation
   tasks and achieving adaptive behaviours beyond demonstrations, while
   exhibiting robustness to various sensory noises. These results highlight
   the significance and versatility of ROMAN's dynamic adaptability
   featuring autonomous failure recovery capabilities, and underline its
   potential for various autonomous manipulation tasks that require
   adaptive motor skills.
   Achieving sequential robotic actions involving different manipulation
   skills is an open challenge that is critical to enable robots to
   interact meaningfully with their physical environment. Triantafyllidis
   and colleagues present a hierarchical learning framework based on an
   ensemble of specialized neural networks to solve complex long-horizon
   manipulation tasks.",NATURE MACHINE INTELLIGENCE,,Article,10.1038/s42256-023-00709-2,,,,"Triantafyllidis, Eleftherios and Acero, Fernando and Liu, Zhaocheng and
   Li, Zhibin",,36.0,WOS:001060239200001,,,paper,hybrid hierarchical learning for solving complex sequential tasks using the robotic manipulation network roman,10.1038/s42256-023-00709-2,https://doi.org/10.1038/s42256-023-00709-2,https://doi.org/10.1038/s42256-023-00709-2,179.553,citations=36; year=2023; risk_terms=2; physical_terms=5; prestige_venue=mandatory_candidate,https://doi.org/10.1038/s42256-023-00709-2,True,200.0,https://www.nature.com/articles/s42256-023-00709-2,"text/html; charset=""UTF-8""",
,2025,"The role of artificial intelligence in enhancing healthcare for people
   with disabilities","The integration of artificial intelligence (AI) in healthcare delivery
   represents a transformative opportunity to enhance the lives of people
   living with disabilities. AI-driven technologies, such as assistive
   devices, conversational agents, and rehabilitation tools, can mitigate
   health disparities, improve diagnostic accuracy, and facilitate
   effective communication with healthcare providers, fostering more
   equitable healthcare environments. This commentary explores these
   applications while addressing the ethical challenges and limitations
   associated with AI deployment. Specific challenges, such as algorithmic
   bias, privacy risks with patient data, and the complexity of designing
   inclusive technologies, are discussed to provide a balanced perspective.
   For example, biased diagnostic tools may lead to inequitable care, and
   privacy breaches can compromise sensitive data. Key areas of focus
   include personalised care through AI-powered systems, the design of
   inclusive AI technologies incorporating continuous feedback loops and
   partnerships with advocacy groups, and the development of AI-enabled
   robotics for physical assistance. This commentary paper emphasises the
   importance of addressing these limitations alongside advancing ethical
   AI practices and ensuring continuous user involvement to meet the
   diverse needs of people living with disabilities, ultimately promoting
   greater independence and participation in society. Consequently, while
   AI holds transformative potential in advancing equitable and inclusive
   healthcare for people with disabilities, addressing ethical challenges,
   overcoming limitations, and fostering user-centred design are essential
   to fully realise its benefits and ensure these innovations promote
   autonomy, accessibility, and wellbeing.",SOCIAL SCIENCE \& MEDICINE,,Article,10.1016/j.socscimed.2024.117560,,,,"Olawade, David Bamidele and Bolarinwa, Obasanjo Afolabi and Adebisi,
   Yusuff Adebayo and Shongwe, Sinegugu",,23.0,WOS:001370847000001,,,paper,the role of artificial intelligence in enhancing healthcare for people with disabilities,10.1016/j.socscimed.2024.117560,https://doi.org/10.1016/j.socscimed.2024.117560,https://doi.org/10.1016/j.socscimed.2024.117560,179.493,citations=23; year=2025; risk_terms=4; physical_terms=2; prestige_venue=mandatory_candidate,https://doi.org/10.1016/j.socscimed.2024.117560,True,200.0,https://linkinghub.elsevier.com/retrieve/pii/S0277953624010141,text/html;charset=UTF-8,
,2024,"AI in the Workplace: A Systematic Review of Skill Transformation in the
   Industry","Artificial Intelligence (AI) applications streamline workflows, automate
   tasks, and require adaptive strategies for effective integration into
   business processes. This research explores the transformative influence
   of AI on various industries, such as software engineering, automation,
   education, accounting, mining, legal services, and media. We investigate
   the relationship between technological advancements and the job market
   to identify relevant skills for individuals and organizations for
   implementing and managing AI systems and human-machine interactions
   necessary for actual and future jobs. We focus on the essential
   adaptations for individuals and organizations to flourish in this era.
   To bridge the gap between AI-driven demands and the existing
   capabilities of the workforce, we employ the Rapid Review methodology to
   explore the integration of AI in businesses, identify crucial skill
   sets, analyze challenges, and propose solutions in this dynamic age. We
   searched the Scopus database, screening a total of 39 articles, of which
   we selected 20 articles for this systematic review. The inclusion
   criteria focused on conference papers and journal articles from 2020 or
   later and written in English. The selected articles offer valuable
   insights into the impact of AI on education, business, healthcare,
   robotics, manufacturing, and automation across diverse sectors, as well
   as providing perspectives on the evolving landscape of expertise. The
   findings underscore the importance of crucial skill sets, such as
   technical proficiency and adaptability, to successfully adopt AI.
   Businesses respond strategically by implementing continuous skill
   adaptation and ethical technology to address challenges. The paper
   concludes by emphasizing the imperative of balanced skill development,
   proactive education, and strategic integration to navigate the profound
   impact of AI on the workforce effectively.",ADMINISTRATIVE SCIENCES,,Review,10.3390/admsci14060127,,,,"Babashahi, Leili and Barbosa, Carlos Eduardo and Lima, Yuri and Lyra,
   Alan and Salazar, Herbert and Argolo, Matheus and de Almeida, Marcos
   Antonio and de Souza, Jano Moreira",,47.0,WOS:001254412500001,,,paper,ai in the workplace a systematic review of skill transformation in the industry,10.3390/admsci14060127,https://doi.org/10.3390/admsci14060127,https://doi.org/10.3390/admsci14060127,179.197,citations=47; year=2024; risk_terms=1; physical_terms=3; prestige_venue=mandatory_candidate,https://doi.org/10.3390/admsci14060127,False,403.0,https://www.mdpi.com/2076-3387/14/6/127,text/html,
