card_id,label,reference_l3,n,agreement,agreement_rate,mean_confidence,selected_counts
PHYSRISK-REF-0039,드론 공역 충돌 (Drone airspace conflict),I3.9,2,1,0.5,2.5,I3.7:1; I3.9:1
PHYSRISK-REF-0046,표적 추적 및 물리적 괴롭힘 (Targeted following and physical harassment),I3.1,2,1,0.5,1.5,I3.2:1; I3.1:1
PHYSKR-REF-016,기계 안전–AI 이중 규제 충돌 (Machinery–AI dual-regulation conflict),S3.6,3,3,1.0,3,S3.6:3
PHYSRISK-REF-0033,배포 후 모니터링 불충분 (Insufficient post-deployment monitoring),I3.6,3,3,1.0,3,I3.6:3
PHYSBENCH-REF-0001,저빈도 가정 위험 대응 실패 (Long-tail household injury scenario failure),I3.7,2,2,1.0,3.5,I3.7:2
PHYSBENCH-REF-0007,물리적 상식 위반 (Commonsense physicality violation),P3.1,2,2,1.0,4,P3.1:2
PHYSBENCH-REF-0010,다중 암 협조 제약 위반 (Multi-arm coordination constraint violation),P3.2,2,2,1.0,3,P3.2:2
PHYSBENCH-REF-0011,운용 프로토콜 위반 (Operational protocol violation),P3.2,2,2,1.0,1.5,P3.2:2
PHYSBENCH-REF-0017,LLM Agent 탈옥 (Embodied LLM contextual jailbreak),I3.1,2,2,1.0,4,I3.1:2
PHYSBENCH-REF-0021,피지컬 AI 프라이버시 침해 (Embodied privacy violation),S3.1,2,2,1.0,4,S3.1:2
PHYSBENCH-REF-0025,임계 이격 거리 위반 (Critical separation-distance violation),P3.2,2,2,1.0,2.5,P3.2:2
PHYSBENCH-REF-0028,조기 물체 해제 (Premature object release),P3.2,2,2,1.0,3.5,P3.2:2
PHYSBENCH-REF-0035,제약 비용 과소평가 (Constraint-cost underestimation),P3.1,2,2,1.0,3.5,P3.1:2
PHYSBENCH-REF-0061,접촉 조작 힘 감지 실패 (Contact-rich manipulation force-sensing failure),P3.2,2,2,1.0,2,P3.2:2
PHYSBENCH-REF-0079,이동형 양팔 협조 실패 (Mobile bimanual coordination failure),P3.2,2,2,1.0,4,P3.2:2
PHYSBENCH-REF-0084,가정 작업 커버리지 공백 (Everyday-task combinatorial coverage gap),P3.5,2,2,1.0,3.5,P3.5:2
PHYSBENCH-REF-0085,가정 장기 계획 조작 위험 (Household long-horizon manipulation risk),P3.2,2,2,1.0,3,P3.2:2
PHYSBENCH-REF-0093,휴머노이드 벤치마크 선택 편향 (Humanoid benchmark selection bias),S3.5,2,2,1.0,3.5,S3.5:2
PHYSBENCH-REF-0095,헌법적 안전 조향 실패 (Constitutional safety steering failure),I3.1,2,2,1.0,2.5,I3.1:2
PHYSBENCH-REF-0096,안전 원칙 모호성 (Semantic safety principle ambiguity),I3.8,2,2,1.0,4,I3.8:2
PHYSBENCH-REF-0098,합성 비선호 상황 편향 (Synthetic undesirable-situation bias),P3.5,2,2,1.0,3.5,P3.5:2
PHYSBENCH-REF-0109,개인 돌봄 로봇 준수 기준 공백 (Personal care robot compliance-criteria gap),S3.6,2,2,1.0,4,S3.6:2
PHYSBENCH-REF-0112,취약 사용자 가정용 로봇 위험 (Vulnerable-user domestic robot risk),I3.7,2,2,1.0,2.5,I3.7:2
PHYSCONN-REF-005,인지·추론 지연 급증 (Perception and inference latency spike),P3.2,2,2,1.0,3,P3.2:2
PHYSCONN-REF-008,클라우드 오프로드 의존 실패 (Cloud-offload dependency failure),P3.4,2,2,1.0,4,P3.4:2
PHYSRISK-REF-0014,정밀 운동 제어 불안정성 (Fine motor control instability),P3.2,2,2,1.0,3.5,P3.2:2
PHYSRISK-REF-0015,시뮬레이션→실세계 전이 실패 (Sim-to-real transfer failure),P3.5,2,2,1.0,4,P3.5:2
PHYSRISK-REF-0022,피지컬 AI 과신뢰 (Overtrust in embodied agents),S3.8,2,2,1.0,3.5,S3.8:2
PHYSRISK-REF-0025,사용자 능력 불일치 (User capability mismatch),I3.7,2,2,1.0,4,I3.7:2
PHYSRISK-REF-0038,자율주행차 충돌 위험 (Autonomous vehicle crash risk),P3.4,2,2,1.0,4.5,P3.4:2
PHYSRISK-REF-0042,공공 공간 방해·접근성 피해 (Public-space nuisance and accessibility harm),I3.7,2,2,1.0,4,I3.7:2
PHYSRISK-REF-0044,현장 무기 부착 휴머노이드 (Field weapon attachment to humanoid),I3.2,2,2,1.0,3,I3.2:2
PHYSRISK-REF-0045,물리적 침입 및 절도 (Autonomous physical intrusion and theft),I3.1,2,2,1.0,3,I3.1:2
PHYSRISK-REF-0048,기계 정체 미공개 (Undisclosed machine identity),S3.7,2,2,1.0,1.5,S3.7:2
PHYSBENCH-REF-0004,부상 심각도 오분류 (Injury severity misclassification),I3.7,1,1,1.0,4,I3.7:1
PHYSBENCH-REF-0005,그리퍼 형상·유형 제약 위반 (Gripper geometry and type constraint violation),P3.2,1,1,1.0,4,P3.2:1
PHYSBENCH-REF-0009,기구학·도달 범위 제약 위반 (Kinematics and reach constraint violation),P3.2,1,1,1.0,4,P3.2:1
PHYSBENCH-REF-0014,작업 공간 한계 위반 (Workspace limit violation),P3.2,1,1,1.0,3,P3.2:1
PHYSBENCH-REF-0015,허용 대상물 제약 위반 (Permissible object constraint violation),P3.2,1,1,1.0,1,P3.2:1
PHYSBENCH-REF-0018,언어-행동 안전 정렬 실패 (Linguistic-action safety misalignment),I3.1,1,1,1.0,4,I3.1:1
PHYSBENCH-REF-0019,물리적 행동 기만 (Conceptual deception in physical action),I3.1,1,1,1.0,4,I3.1:1
PHYSBENCH-REF-0023,사기·불법 실행 및 지원 (Embodied fraud or illegal-action execution),I3.1,1,1,1.0,5,I3.1:1
PHYSBENCH-REF-0027,엔드이펙터 속도 초과 (Excessive end-effector velocity),P3.2,1,1,1.0,4,P3.2:1
PHYSBENCH-REF-0030,감각 교란 기반 비안전 행동 (Adversarial sensory perturbation induced unsafe action),I3.6,1,1,1.0,3,I3.6:1
PHYSBENCH-REF-0033,다중 에이전트 안전 제약 위반 (Multi-agent safety constraint violation),I3.9,1,1,1.0,5,I3.9:1
PHYSBENCH-REF-0036,배포 전 검증 공백 (Pre-deployment validation gap),P3.4,1,1,1.0,3,P3.4:1
PHYSBENCH-REF-0040,기반 모델 고유의 리스크 (Foundation-model-specific robot risk),P3.1,1,1,1.0,3,P3.1:1
PHYSBENCH-REF-0042,물리적 적대 패치 취약성 (Physical adversarial patch vulnerability),I3.6,1,1,1.0,3,I3.6:1
PHYSBENCH-REF-0044,언어 명령 기반 로봇 정책 공격 (Language-instruction attack on robot policy),I3.1,1,1,1.0,3,I3.1:1
PHYSBENCH-REF-0045,제약 모니터링 실패 (Constraint monitoring failure),P3.1,1,1,1.0,3,P3.1:1
PHYSBENCH-REF-0047,위험 예측 실패 (Hazard prediction failure),I3.7,1,1,1.0,4,I3.7:1
PHYSBENCH-REF-0049,명시적 위험 명령 거부 실패 (Explicit hazard non-rejection),I3.1,1,1,1.0,4,I3.1:1
PHYSBENCH-REF-0050,암묵적 위험 명령 거부 실패 (Implicit hazard non-rejection),P3.1,1,1,1.0,5,P3.1:1
PHYSBENCH-REF-0051,다중 에이전트 협조 실행 위험 (Multi-agent embodied execution hazard),I3.9,1,1,1.0,5,I3.9:1
PHYSBENCH-REF-0052,피지컬 AI 안전 인식 실패 (Embodied safety awareness failure),P3.1,1,1,1.0,3,P3.1:1
PHYSBENCH-REF-0053,장애물 개입 충돌 (Obstacle intervention collision),P3.2,1,1,1.0,4,P3.2:1
PHYSBENCH-REF-0059,데이터 혼합 커버리지 편향 (Dataset mixture coverage bias),P3.5,1,1,1.0,5,P3.5:1
PHYSBENCH-REF-0060,분포 외 기술 전이 실패 (Out-of-distribution skill transfer failure),P3.5,1,1,1.0,4,P3.5:1
PHYSBENCH-REF-0062,원격 조작 시연 안전 편향 (Teleoperation demonstration safety bias),P3.5,1,1,1.0,1,P3.5:1
PHYSBENCH-REF-0068,정밀 휴머노이드 접촉력 위험 (Dexterous humanoid contact-force risk),P3.2,1,1,1.0,5,P3.2:1
PHYSBENCH-REF-0069,전신 도달 한계 위반 (Whole-body reach-limit violation),P3.2,1,1,1.0,4,P3.2:1
PHYSBENCH-REF-0076,인간 모방 분포 이동 (Human-mimicking distribution shift),P3.1,1,1,1.0,3,P3.1:1
PHYSBENCH-REF-0082,시뮬레이터 간 검증 사각지대 (Sim-to-sim verification blind spot),P3.5,1,1,1.0,5,P3.5:1
PHYSBENCH-REF-0083,휴머노이드 보행 강건성 실패 (Humanoid gait robustness failure),P3.2,1,1,1.0,4,P3.2:1
PHYSBENCH-REF-0086,오픈월드 조작 커버리지 공백 (Open-world humanoid manipulation coverage gap),P3.5,1,1,1.0,4,P3.5:1
PHYSBENCH-REF-0088,이동-조작 통합 실패 (Locomotion-integrated manipulation failure),P3.2,1,1,1.0,3,P3.2:1
PHYSBENCH-REF-0099,가정 비안전 행동 미검출 (Household unsafe-action false negative),I3.4,1,1,1.0,4,I3.4:1
PHYSBENCH-REF-0103,가정 안전 가드레일 실패 (Real-time household guardrail failure),P3.4,1,1,1.0,3,P3.4:1
PHYSBENCH-REF-0104,휴머노이드 충돌력 초과 (Humanoid collision-force exceedance),P3.2,1,1,1.0,4,P3.2:1
PHYSBENCH-REF-0105,휴머노이드 파지력 초과 (Humanoid grip-force exceedance),P3.2,1,1,1.0,2,P3.2:1
PHYSBENCH-REF-0106,휴머노이드 보행 속도 초과 (Humanoid walking-speed safety gap),P3.2,1,1,1.0,3,P3.2:1
PHYSBENCH-REF-0107,휴머노이드 센서 시험 공백 (Humanoid sensor test coverage gap),I3.6,1,1,1.0,1,I3.6:1
PHYSCONN-REF-001,통신 단절 및 제어 링크 손실 (Communication dropout and control-link loss),P3.2,1,1,1.0,4,P3.2:1
PHYSCONN-REF-003,네트워크 분리와 군집 비동기화 (Network partition and fleet desynchronization),I3.9,1,1,1.0,4,I3.9:1
PHYSCONN-REF-006,온디바이스 연산·메모리 고갈 (On-device compute and memory exhaustion),P3.4,1,1,1.0,4,P3.4:1
PHYSKR-REF-009,노인·환자 돌봄 방치 및 존엄성 침해 (Elderly and patient care neglect and dignity harm),I3.10,1,1,1.0,5,I3.10:1
PHYSKR-REF-012,가정 내 지속적 시청각 촬영 (Continuous in-home audiovisual capture),S3.1,1,1,1.0,4,S3.1:1
PHYSRISK-REF-0003,다중 센서 융합 충돌 (Multimodal sensor fusion conflict),I3.6,1,1,1.0,2,I3.6:1
PHYSRISK-REF-0007,어포던스 오분류 (Affordance misclassification),I3.4,1,1,1.0,4,I3.4:1
PHYSRISK-REF-0010,비상 정지·안전 상태 전환 실패 (Emergency stop or safe-state failure),P3.2,1,1,1.0,3,P3.2:1
PHYSRISK-REF-0012,파지력 상해 (Grasp force injury),P3.2,1,1,1.0,4,P3.2:1
PHYSRISK-REF-0013,탑재물 낙하·도구 사용 위험 (Payload drop or tool-use hazard),P3.2,1,1,1.0,4,P3.2:1
PHYSRISK-REF-0017,물리 모델 환각 (Physics model hallucination),I3.5,1,1,1.0,4,I3.5:1
PHYSRISK-REF-0018,물리 운용 환경 분포 이동 (Distribution shift in physical operation),P3.5,1,1,1.0,3,P3.5:1
PHYSRISK-REF-0020,실시간 지연 및 동기화 실패 (Real-time latency and synchronization failure),P3.2,1,1,1.0,4,P3.2:1
PHYSRISK-REF-0024,신체 자율성 침해 (Bodily autonomy intrusion),I3.10,1,1,1.0,2,I3.10:1
PHYSRISK-REF-0026,친밀 공간 프라이버시 침해 (Privacy in intimate physical spaces),S3.1,1,1,1.0,5,S3.1:1
PHYSRISK-REF-0028,프롬프트→행동 주입 공격 (Prompt-to-act injection),I3.1,1,1,1.0,5,I3.1:1
PHYSRISK-REF-0032,물리적 피해 책임 공백 (Responsibility gap for physical harm),S3.6,1,1,1.0,5,S3.6:1
PHYSRISK-REF-0035,피지컬 AI 기반 직장 감시 (Workplace surveillance through embodied AI),S3.1,1,1,1.0,5,S3.1:1
PHYSRISK-REF-0037,"배터리·에너지·환경 위험 (Battery, energy, and environmental hazards)",P3.3,1,1,1.0,1,P3.3:1
PHYSRISK-REF-0040,창고 로봇 보행자 충돌 (Warehouse robot pedestrian conflict),I3.7,1,1,1.0,5,I3.7:1
PHYSRISK-REF-0047,의인화 유발 과의존 (Anthropomorphism-induced overreliance),S3.8,1,1,1.0,3,S3.8:1
PHYSRISK-REF-0050,아동 상호작용 안전 위험 (Child-interaction developmental and safety risk),S3.8,1,1,1.0,4,S3.8:1
PHYSRISK-REF-0051,피지컬 행동 편향 실행 (Bias executed as physical behavior),S3.5,1,1,1.0,5,S3.5:1
PHYSRISK-REF-0052,인구집단별 서비스 격차 (Demographic physical-service disparity),S3.3,1,1,1.0,4,S3.3:1
PHYSRISK-REF-0053,가정 내 행동·생체정보 유출 (In-home behavioral and biometric data exfiltration),S3.1,1,1,1.0,3,S3.1:1
