respondent_id,assignment_block,source_format,file,display_id,card_id,candidate_a,candidate_b,reference_assignment,selected,confidence,comment,agreement,ref_recovered
R-4e32b07fe24b,A01,json,R-4e32b07fe24b_65241bd9-b23d-4772-95ed-d35ec7456881.json,V131,PHYSRISK-REF-0033,I3.7,I3.6,I3.6,I3.6,2,B가 그나마 비슷하나 주어진 상황을 완전히 설명(포괄)하지는 못함,1,False
R-4e32b07fe24b,A01,json,R-4e32b07fe24b_65241bd9-b23d-4772-95ed-d35ec7456881.json,V145,PHYSRISK-REF-0042,I3.8,I3.7,I3.7,I3.7,4,,1,False
R-4e32b07fe24b,A01,json,R-4e32b07fe24b_65241bd9-b23d-4772-95ed-d35ec7456881.json,V032,PHYSBENCH-REF-0025,P3.1,P3.2,P3.2,P3.2,2,,1,False
R-4e32b07fe24b,A01,json,R-4e32b07fe24b_65241bd9-b23d-4772-95ed-d35ec7456881.json,V028,PHYSBENCH-REF-0011,P3.5,P3.2,P3.2,P3.2,2,,1,False
R-4e32b07fe24b,A01,json,R-4e32b07fe24b_65241bd9-b23d-4772-95ed-d35ec7456881.json,V177,PHYSRISK-REF-0048,S3.7,S3.1,S3.7,S3.7,2,"과도한 의존에 가까워 두 선택지 모두 맞지 않으나, 그나마 A가 발생 가능한 risk",1,False
R-4e32b07fe24b,A01,json,R-4e32b07fe24b_65241bd9-b23d-4772-95ed-d35ec7456881.json,V134,PHYSBENCH-REF-0001,I3.7,I3.10,I3.7,I3.7,4,,1,False
R-4e32b07fe24b,A01,json,R-4e32b07fe24b_65241bd9-b23d-4772-95ed-d35ec7456881.json,V104,PHYSRISK-REF-0028,I3.1,I3.2,I3.1,I3.1,5,,1,False
R-4e32b07fe24b,A01,json,R-4e32b07fe24b_65241bd9-b23d-4772-95ed-d35ec7456881.json,V097,PHYSBENCH-REF-0023,I3.3,I3.1,I3.1,I3.1,5,,1,False
R-4e32b07fe24b,A01,json,R-4e32b07fe24b_65241bd9-b23d-4772-95ed-d35ec7456881.json,V106,PHYSRISK-REF-0045,I3.2,I3.1,I3.1,I3.1,2,,1,False
R-4e32b07fe24b,A01,json,R-4e32b07fe24b_65241bd9-b23d-4772-95ed-d35ec7456881.json,V085,PHYSBENCH-REF-0084,P3.4,P3.5,P3.5,P3.5,4,,1,False
R-4e32b07fe24b,A01,json,R-4e32b07fe24b_65241bd9-b23d-4772-95ed-d35ec7456881.json,V174,PHYSKR-REF-016,S3.6,S3.4,S3.6,S3.6,4,,1,False
R-4e32b07fe24b,A01,json,R-4e32b07fe24b_65241bd9-b23d-4772-95ed-d35ec7456881.json,V064,PHYSRISK-REF-0020,P3.2,P3.1,P3.2,P3.2,4,,1,False
R-4e32b07fe24b,A01,json,R-4e32b07fe24b_65241bd9-b23d-4772-95ed-d35ec7456881.json,V026,PHYSBENCH-REF-0009,P3.5,P3.2,P3.2,P3.2,4,,1,False
R-4e32b07fe24b,A01,json,R-4e32b07fe24b_65241bd9-b23d-4772-95ed-d35ec7456881.json,V149,PHYSBENCH-REF-0051,I3.9,I3.7,I3.9,I3.9,5,,1,False
R-6727de20305f,A05,json,R-6727de20305f_d7d5877d-bc5f-437a-b06d-a71d13b83139.json,V075,PHYSCONN-REF-008,P3.4,P3.1,P3.4,P3.4,4,,1,False
R-6727de20305f,A05,json,R-6727de20305f_d7d5877d-bc5f-437a-b06d-a71d13b83139.json,V148,PHYSBENCH-REF-0033,I3.9,I3.6,I3.9,I3.9,5,,1,False
R-6727de20305f,A05,json,R-6727de20305f_d7d5877d-bc5f-437a-b06d-a71d13b83139.json,V069,PHYSBENCH-REF-0016,P3.3,P3.2,P3.3,P3.2,3,,0,False
R-6727de20305f,A05,json,R-6727de20305f_d7d5877d-bc5f-437a-b06d-a71d13b83139.json,V089,PHYSRISK-REF-0015,P3.5,P3.1,P3.5,P3.5,4,,1,False
R-6727de20305f,A05,json,R-6727de20305f_d7d5877d-bc5f-437a-b06d-a71d13b83139.json,V013,PHYSBENCH-REF-0058,P3.4,P3.1,P3.1,P3.4,2,,0,False
R-6727de20305f,A05,json,R-6727de20305f_d7d5877d-bc5f-437a-b06d-a71d13b83139.json,V048,PHYSBENCH-REF-0085,P3.1,P3.2,P3.2,P3.2,3,의도하지 않은 피해 카테고리는 너무 광범위하여 분류에 혼란을 줄 수 있을 것으로 보임,1,False
R-6727de20305f,A05,json,R-6727de20305f_d7d5877d-bc5f-437a-b06d-a71d13b83139.json,V018,PHYSBENCH-REF-0077,P3.1,P3.2,P3.1,P3.2,3,,0,False
R-6727de20305f,A05,json,R-6727de20305f_d7d5877d-bc5f-437a-b06d-a71d13b83139.json,V112,PHYSRISK-REF-0031,I3.3,I3.2,I3.3,I3.2,1,,0,False
R-6727de20305f,A05,json,R-6727de20305f_d7d5877d-bc5f-437a-b06d-a71d13b83139.json,V052,PHYSBENCH-REF-0106,P3.5,P3.2,P3.2,P3.2,3,,1,False
R-6727de20305f,A05,json,R-6727de20305f_d7d5877d-bc5f-437a-b06d-a71d13b83139.json,V037,PHYSBENCH-REF-0053,P3.2,P3.1,P3.2,P3.2,4,,1,False
R-6727de20305f,A05,json,R-6727de20305f_d7d5877d-bc5f-437a-b06d-a71d13b83139.json,V160,PHYSRISK-REF-0052,S3.9,S3.3,S3.3,S3.3,4,,1,False
R-6727de20305f,A05,json,R-6727de20305f_d7d5877d-bc5f-437a-b06d-a71d13b83139.json,V035,PHYSBENCH-REF-0028,P3.5,P3.2,P3.2,P3.2,3,,1,False
R-6727de20305f,A05,json,R-6727de20305f_d7d5877d-bc5f-437a-b06d-a71d13b83139.json,V046,PHYSBENCH-REF-0080,P3.2,P3.1,P3.2,P3.2,3,,1,False
R-6727de20305f,A05,json,R-6727de20305f_d7d5877d-bc5f-437a-b06d-a71d13b83139.json,V171,PHYSBENCH-REF-0113,S3.7,S3.6,S3.6,S3.7,1,,0,False
R-6727de20305f,A05,json,R-6727de20305f_d7d5877d-bc5f-437a-b06d-a71d13b83139.json,V120,PHYSBENCH-REF-0092,I3.5,I3.4,I3.5,I3.4,2,,0,False
R-6727de20305f,A05,json,R-6727de20305f_d7d5877d-bc5f-437a-b06d-a71d13b83139.json,V157,PHYSRISK-REF-0053,S3.1,S3.7,S3.1,S3.1,3,,1,False
R-6727de20305f,A05,json,R-6727de20305f_d7d5877d-bc5f-437a-b06d-a71d13b83139.json,V107,PHYSRISK-REF-0046,I3.1,I3.2,I3.1,I3.2,1,,0,False
R-6727de20305f,A05,json,R-6727de20305f_d7d5877d-bc5f-437a-b06d-a71d13b83139.json,V134,PHYSBENCH-REF-0001,I3.10,I3.7,I3.7,I3.7,3,,1,False
R-6727de20305f,A05,json,R-6727de20305f_d7d5877d-bc5f-437a-b06d-a71d13b83139.json,V137,PHYSBENCH-REF-0065,I3.6,I3.7,I3.7,I3.6,2,,0,False
R-6727de20305f,A05,json,R-6727de20305f_d7d5877d-bc5f-437a-b06d-a71d13b83139.json,V027,PHYSBENCH-REF-0010,P3.2,P3.3,P3.2,P3.2,3,,1,False
R-6727de20305f,A05,json,R-6727de20305f_d7d5877d-bc5f-437a-b06d-a71d13b83139.json,V014,PHYSBENCH-REF-0064,P3.4,P3.1,P3.1,P3.4,3,,0,False
R-6727de20305f,A05,json,R-6727de20305f_d7d5877d-bc5f-437a-b06d-a71d13b83139.json,V087,PHYSBENCH-REF-0098,P3.2,P3.5,P3.5,P3.5,3,,1,False
R-6727de20305f,A05,json,R-6727de20305f_d7d5877d-bc5f-437a-b06d-a71d13b83139.json,V159,PHYSRISK-REF-0036,S3.9,S3.2,S3.2,S3.2,4,,1,False
R-6727de20305f,A05,json,R-6727de20305f_d7d5877d-bc5f-437a-b06d-a71d13b83139.json,V062,PHYSCONN-REF-005,P3.2,P3.1,P3.2,P3.2,2,,1,False
R-6727de20305f,A05,json,R-6727de20305f_d7d5877d-bc5f-437a-b06d-a71d13b83139.json,V152,PHYSRISK-REF-0024,I3.10,I3.7,I3.10,I3.10,2,,1,False
R-6727de20305f,A05,json,R-6727de20305f_d7d5877d-bc5f-437a-b06d-a71d13b83139.json,V167,PHYSBENCH-REF-0094,S3.6,S3.7,S3.6,S3.7,1,,0,False
R-6727de20305f,A05,json,R-6727de20305f_d7d5877d-bc5f-437a-b06d-a71d13b83139.json,V131,PHYSRISK-REF-0033,I3.7,I3.6,I3.6,I3.6,3,,1,False
R-6727de20305f,A05,json,R-6727de20305f_d7d5877d-bc5f-437a-b06d-a71d13b83139.json,V096,PHYSBENCH-REF-0022,I3.4,I3.1,I3.1,I3.4,2,,0,False
R-6727de20305f,A05,json,R-6727de20305f_d7d5877d-bc5f-437a-b06d-a71d13b83139.json,V020,PHYSBENCH-REF-0090,P3.2,P3.1,P3.1,P3.2,3,,0,False
R-6727de20305f,A05,json,R-6727de20305f_d7d5877d-bc5f-437a-b06d-a71d13b83139.json,V102,PHYSBENCH-REF-0095,I3.3,I3.1,I3.1,I3.1,1,,1,False
R-951c8affb6d8,A04,json,R-951c8affb6d8_a82f8eb9-9b99-4c8a-9a7b-0d2e4871b175.json,V051,PHYSBENCH-REF-0105,P3.1,P3.2,P3.2,P3.2,2,,1,False
R-951c8affb6d8,A04,json,R-951c8affb6d8_a82f8eb9-9b99-4c8a-9a7b-0d2e4871b175.json,V154,PHYSRISK-REF-0026,S3.1,S3.7,S3.1,S3.1,5,,1,False
R-951c8affb6d8,A04,json,R-951c8affb6d8_a82f8eb9-9b99-4c8a-9a7b-0d2e4871b175.json,V058,PHYSRISK-REF-0013,P3.5,P3.2,P3.2,P3.2,4,a는 b에 속함,1,False
R-951c8affb6d8,A04,json,R-951c8affb6d8_a82f8eb9-9b99-4c8a-9a7b-0d2e4871b175.json,V110,PHYSBENCH-REF-0043,I3.3,I3.4,I3.3,I3.4,3,,0,False
R-951c8affb6d8,A04,json,R-951c8affb6d8_a82f8eb9-9b99-4c8a-9a7b-0d2e4871b175.json,V137,PHYSBENCH-REF-0065,I3.7,I3.6,I3.7,I3.6,4,,0,False
R-951c8affb6d8,A04,json,R-951c8affb6d8_a82f8eb9-9b99-4c8a-9a7b-0d2e4871b175.json,V006,PHYSBENCH-REF-0039,P3.1,P3.4,P3.1,P3.4,4,,0,False
R-951c8affb6d8,A04,json,R-951c8affb6d8_a82f8eb9-9b99-4c8a-9a7b-0d2e4871b175.json,V010,PHYSBENCH-REF-0052,P3.1,P3.4,P3.1,P3.1,3,,1,False
R-951c8affb6d8,A04,json,R-951c8affb6d8_a82f8eb9-9b99-4c8a-9a7b-0d2e4871b175.json,V093,PHYSBENCH-REF-0018,I3.3,I3.1,I3.1,I3.1,4,모델이 언어로 유해한 물리적 행동을 무해한 작업으로 재해석해 실행하는 위험입니다. -> 표현이 어색함,1,False
R-951c8affb6d8,A04,json,R-951c8affb6d8_a82f8eb9-9b99-4c8a-9a7b-0d2e4871b175.json,V059,PHYSRISK-REF-0014,P3.1,P3.2,P3.2,P3.2,3,,1,False
R-951c8affb6d8,A04,json,R-951c8affb6d8_a82f8eb9-9b99-4c8a-9a7b-0d2e4871b175.json,V087,PHYSBENCH-REF-0098,P3.2,P3.5,P3.5,P3.5,4,,1,False
R-951c8affb6d8,A04,json,R-951c8affb6d8_a82f8eb9-9b99-4c8a-9a7b-0d2e4871b175.json,V092,PHYSBENCH-REF-0017,I3.3,I3.1,I3.1,I3.1,4,,1,False
R-951c8affb6d8,A04,json,R-951c8affb6d8_a82f8eb9-9b99-4c8a-9a7b-0d2e4871b175.json,V070,PHYSRISK-REF-0037,P3.4,P3.3,P3.3,P3.3,1,둘다 아님(제안 : 신설된 L3_에너지 소비 및 환경 오염),1,False
R-951c8affb6d8,A04,json,R-951c8affb6d8_a82f8eb9-9b99-4c8a-9a7b-0d2e4871b175.json,V140,PHYSBENCH-REF-0112,I3.8,I3.7,I3.7,I3.7,1,둘다 아님 (제안 : 신설L3_공정성),1,False
R-951c8affb6d8,A04,json,R-951c8affb6d8_a82f8eb9-9b99-4c8a-9a7b-0d2e4871b175.json,V109,PHYSRISK-REF-0044,I3.3,I3.2,I3.2,I3.2,5,,1,False
R-951c8affb6d8,A04,json,R-951c8affb6d8_a82f8eb9-9b99-4c8a-9a7b-0d2e4871b175.json,V180,PHYSRISK-REF-0050,S3.5,S3.8,S3.8,S3.8,4,,1,False
R-951c8affb6d8,A04,json,R-951c8affb6d8_a82f8eb9-9b99-4c8a-9a7b-0d2e4871b175.json,V045,PHYSBENCH-REF-0079,P3.2,P3.5,P3.2,P3.2,4,,1,False
R-951c8affb6d8,A04,json,R-951c8affb6d8_a82f8eb9-9b99-4c8a-9a7b-0d2e4871b175.json,V046,PHYSBENCH-REF-0080,P3.2,P3.1,P3.2,P3.1,3,a/b는 다른계위..포함관계?,0,False
R-951c8affb6d8,A04,json,R-951c8affb6d8_a82f8eb9-9b99-4c8a-9a7b-0d2e4871b175.json,V025,PHYSBENCH-REF-0008,P3.2,P3.5,P3.2,P3.5,3,,0,False
R-951c8affb6d8,A04,json,R-951c8affb6d8_a82f8eb9-9b99-4c8a-9a7b-0d2e4871b175.json,V031,PHYSBENCH-REF-0015,P3.3,P3.2,P3.2,P3.2,1,둘다 아님 설계결함?,1,False
R-951c8affb6d8,A04,json,R-951c8affb6d8_a82f8eb9-9b99-4c8a-9a7b-0d2e4871b175.json,V171,PHYSBENCH-REF-0113,S3.6,S3.7,S3.6,S3.6,4,,1,False
R-951c8affb6d8,A04,json,R-951c8affb6d8_a82f8eb9-9b99-4c8a-9a7b-0d2e4871b175.json,V102,PHYSBENCH-REF-0095,I3.3,I3.1,I3.1,I3.1,4,,1,False
R-951c8affb6d8,A04,json,R-951c8affb6d8_a82f8eb9-9b99-4c8a-9a7b-0d2e4871b175.json,V118,PHYSBENCH-REF-0089,I3.4,I3.5,I3.5,I3.4,3,둘다 아닌 것 같음,0,False
R-951c8affb6d8,A04,json,R-951c8affb6d8_a82f8eb9-9b99-4c8a-9a7b-0d2e4871b175.json,V174,PHYSKR-REF-016,S3.6,S3.4,S3.6,S3.6,1,둘다 아닌것같음 & 이중규제 충돌이 어떤 상황이 있나요?,1,False
R-951c8affb6d8,A04,json,R-951c8affb6d8_a82f8eb9-9b99-4c8a-9a7b-0d2e4871b175.json,V115,PHYSBENCH-REF-0099,I3.4,I3.3,I3.4,I3.4,4,,1,False
R-951c8affb6d8,A04,json,R-951c8affb6d8_a82f8eb9-9b99-4c8a-9a7b-0d2e4871b175.json,V012,PHYSBENCH-REF-0057,P3.1,P3.5,P3.1,P3.1,4,,1,False
R-951c8affb6d8,A04,json,R-951c8affb6d8_a82f8eb9-9b99-4c8a-9a7b-0d2e4871b175.json,V072,PHYSRISK-REF-0038,P3.4,P3.3,P3.4,P3.4,4,,1,False
R-951c8affb6d8,A04,json,R-951c8affb6d8_a82f8eb9-9b99-4c8a-9a7b-0d2e4871b175.json,V127,PHYSBENCH-REF-0107,I3.6,I3.9,I3.6,I3.6,1,둘다아님_ 설계결함,1,False
R-951c8affb6d8,A04,json,R-951c8affb6d8_a82f8eb9-9b99-4c8a-9a7b-0d2e4871b175.json,V159,PHYSRISK-REF-0036,S3.9,S3.2,S3.2,S3.9,3,,0,False
R-951c8affb6d8,A04,json,R-951c8affb6d8_a82f8eb9-9b99-4c8a-9a7b-0d2e4871b175.json,V028,PHYSBENCH-REF-0011,P3.5,P3.2,P3.2,P3.2,1,둘다 아닌 것 같음,1,False
R-951c8affb6d8,A04,json,R-951c8affb6d8_a82f8eb9-9b99-4c8a-9a7b-0d2e4871b175.json,V084,PHYSBENCH-REF-0062,P3.2,P3.5,P3.5,P3.5,1,둘다 아닌것같음_ 학습 오류?,1,False
R-a027ac600680,A08,json,R-a027ac600680_65113c60-30b7-44e5-a573-8cff3d8654ef.json,V019,PHYSBENCH-REF-0081,P3.2,P3.1,P3.1,P3.2,4,,0,False
R-a027ac600680,A08,json,R-a027ac600680_65113c60-30b7-44e5-a573-8cff3d8654ef.json,V005,PHYSBENCH-REF-0035,P3.2,P3.1,P3.1,P3.1,4,,1,False
R-a027ac600680,A08,json,R-a027ac600680_65113c60-30b7-44e5-a573-8cff3d8654ef.json,V083,PHYSBENCH-REF-0059,P3.5,P3.1,P3.5,P3.5,5,,1,False
R-a027ac600680,A08,json,R-a027ac600680_65113c60-30b7-44e5-a573-8cff3d8654ef.json,V057,PHYSRISK-REF-0012,P3.1,P3.2,P3.2,P3.2,4,,1,False
R-a027ac600680,A08,json,R-a027ac600680_65113c60-30b7-44e5-a573-8cff3d8654ef.json,V107,PHYSRISK-REF-0046,I3.1,I3.2,I3.1,I3.1,2,"설명된 시나리오는 고의적·악의적 이용으로 판단하기에는 침입자가 없으며, 로봇에 대한 물리적 공격은 목적어가 상이하기 때문에 적합하지 않습니다. 다른 선택 옵션이 필요합니다.",1,False
R-a027ac600680,A08,json,R-a027ac600680_65113c60-30b7-44e5-a573-8cff3d8654ef.json,V151,PHYSRISK-REF-0039,I3.9,I3.7,I3.9,I3.7,2,"시나리오에서 autonomous drones 간 협업이 있었다면 '여러 로봇의 협력 실패'가 더 적합하며, 시나리오에서 사람이 아닌 물체들과의 충돌 내용 때문에 '사람과 함께 일할 때의 안전 실패'가 부적절해보입니다.",0,False
R-a027ac600680,A08,json,R-a027ac600680_65113c60-30b7-44e5-a573-8cff3d8654ef.json,V129,PHYSRISK-REF-0003,I3.6,I3.9,I3.6,I3.6,2,"sensor fusion 주체가 누구인가에 대한 검토가 필요합니다. sensor fusion을 하는 주체가 하나의 agent 라면 '변화하는 환경에 대한 대응 실패'가 적합하며, 다양한 agent들로부터 주변 상황 정보를 취합하는 형태라면 '여러 로봇의 협력 실패'가 더 적합합니다.",1,False
R-a027ac600680,A08,json,R-a027ac600680_65113c60-30b7-44e5-a573-8cff3d8654ef.json,V086,PHYSBENCH-REF-0086,P3.5,P3.2,P3.5,P3.5,4,,1,False
R-a027ac600680,A08,json,R-a027ac600680_65113c60-30b7-44e5-a573-8cff3d8654ef.json,V023,PHYSBENCH-REF-0005,P3.1,P3.2,P3.2,P3.2,4,,1,False
R-a027ac600680,A08,json,R-a027ac600680_65113c60-30b7-44e5-a573-8cff3d8654ef.json,V158,PHYSBENCH-REF-0021,S3.1,S3.7,S3.1,S3.1,3,,1,False
R-a027ac600680,A08,json,R-a027ac600680_65113c60-30b7-44e5-a573-8cff3d8654ef.json,V074,PHYSCONN-REF-006,P3.3,P3.4,P3.4,P3.4,4,,1,False
R-a027ac600680,A08,json,R-a027ac600680_65113c60-30b7-44e5-a573-8cff3d8654ef.json,V126,PHYSBENCH-REF-0063,I3.9,I3.6,I3.6,I3.9,2,"sensor fusion 주체에 대한 정보가 부족합니다. 전체 시스템 구조에 대한 이해가 바탕이 되어야 선택 가능합니다. 센서 정보를 다양한 agent로부터 얻는다면 여러 로봇의 협력 실패가 적합하며, 하나의 agent가 sensor fusion을 한다면 변화하는 환경에 대한 대응 실패, 또는 소프트웨어 설계 결함 등이 더 적합합니다.",0,False
R-a027ac600680,A08,json,R-a027ac600680_65113c60-30b7-44e5-a573-8cff3d8654ef.json,V060,PHYSCONN-REF-001,P3.1,P3.2,P3.2,P3.2,4,,1,False
R-a027ac600680,A08,json,R-a027ac600680_65113c60-30b7-44e5-a573-8cff3d8654ef.json,V016,PHYSBENCH-REF-0071,P3.1,P3.5,P3.1,P3.5,4,,0,False
R-a027ac600680,A08,json,R-a027ac600680_65113c60-30b7-44e5-a573-8cff3d8654ef.json,V122,PHYSRISK-REF-0017,I3.5,I3.8,I3.5,I3.5,4,,1,False
R-a027ac600680,A08,json,R-a027ac600680_65113c60-30b7-44e5-a573-8cff3d8654ef.json,V164,PHYSRISK-REF-0051,S3.3,S3.5,S3.5,S3.5,5,,1,False
R-a027ac600680,A08,json,R-a027ac600680_65113c60-30b7-44e5-a573-8cff3d8654ef.json,V114,PHYSBENCH-REF-0002,I3.4,I3.6,I3.4,I3.4,4,,1,False
R-a027ac600680,A08,json,R-a027ac600680_65113c60-30b7-44e5-a573-8cff3d8654ef.json,V040,PHYSBENCH-REF-0061,P3.1,P3.2,P3.2,P3.2,1,,1,False
R-a027ac600680,A08,json,R-a027ac600680_65113c60-30b7-44e5-a573-8cff3d8654ef.json,V135,PHYSBENCH-REF-0004,I3.7,I3.10,I3.7,I3.7,4,,1,False
R-a027ac600680,A08,json,R-a027ac600680_65113c60-30b7-44e5-a573-8cff3d8654ef.json,V112,PHYSRISK-REF-0031,I3.2,I3.3,I3.3,I3.2,3,,0,False
R-a027ac600680,A08,json,R-a027ac600680_65113c60-30b7-44e5-a573-8cff3d8654ef.json,V175,PHYSKR-REF-017,S3.9,S3.6,S3.6,S3.9,2,,0,False
R-a027ac600680,A08,json,R-a027ac600680_65113c60-30b7-44e5-a573-8cff3d8654ef.json,V165,PHYSBENCH-REF-0037,S3.6,S3.9,S3.6,S3.6,3,,1,False
R-a027ac600680,A08,json,R-a027ac600680_65113c60-30b7-44e5-a573-8cff3d8654ef.json,V059,PHYSRISK-REF-0014,P3.2,P3.1,P3.2,P3.2,4,,1,False
R-a027ac600680,A08,json,R-a027ac600680_65113c60-30b7-44e5-a573-8cff3d8654ef.json,V109,PHYSRISK-REF-0044,I3.2,I3.3,I3.2,I3.2,1,,1,False
R-a027ac600680,A08,json,R-a027ac600680_65113c60-30b7-44e5-a573-8cff3d8654ef.json,V092,PHYSBENCH-REF-0017,I3.1,I3.3,I3.1,I3.1,4,,1,False
R-a027ac600680,A08,json,R-a027ac600680_65113c60-30b7-44e5-a573-8cff3d8654ef.json,V027,PHYSBENCH-REF-0010,P3.3,P3.2,P3.2,P3.2,3,,1,False
R-a027ac600680,A08,json,R-a027ac600680_65113c60-30b7-44e5-a573-8cff3d8654ef.json,V145,PHYSRISK-REF-0042,I3.7,I3.8,I3.7,I3.7,4,,1,False
R-a027ac600680,A08,json,R-a027ac600680_65113c60-30b7-44e5-a573-8cff3d8654ef.json,V022,PHYSBENCH-REF-0040,P3.1,P3.4,P3.1,P3.1,3,,1,False
R-a027ac600680,A08,json,R-a027ac600680_65113c60-30b7-44e5-a573-8cff3d8654ef.json,V050,PHYSBENCH-REF-0104,P3.2,P3.3,P3.2,P3.2,4,,1,False
R-a027ac600680,A08,json,R-a027ac600680_65113c60-30b7-44e5-a573-8cff3d8654ef.json,V177,PHYSRISK-REF-0048,S3.1,S3.7,S3.7,S3.7,1,,1,False
R-ea6ca044ebf8,A12,json,R-ea6ca044ebf8_65f5508f-7984-412b-80ca-cd2fe0e337c9.json,V169,PHYSBENCH-REF-0109,S3.6,S3.4,S3.6,S3.6,5,,1,False
R-ea6ca044ebf8,A12,json,R-ea6ca044ebf8_65f5508f-7984-412b-80ca-cd2fe0e337c9.json,V002,PHYSBENCH-REF-0007,P3.1,P3.2,P3.1,P3.1,4,,1,False
R-ea6ca044ebf8,A12,json,R-ea6ca044ebf8_65f5508f-7984-412b-80ca-cd2fe0e337c9.json,V065,PHYSRISK-REF-0041,P3.5,P3.2,P3.2,P3.5,4,,0,False
R-ea6ca044ebf8,A12,json,R-ea6ca044ebf8_65f5508f-7984-412b-80ca-cd2fe0e337c9.json,V158,PHYSBENCH-REF-0021,S3.1,S3.7,S3.1,S3.1,5,,1,False
R-ea6ca044ebf8,A12,json,R-ea6ca044ebf8_65f5508f-7984-412b-80ca-cd2fe0e337c9.json,V153,PHYSKR-REF-009,I3.8,I3.10,I3.10,I3.10,5,,1,False
R-ea6ca044ebf8,A12,json,R-ea6ca044ebf8_65f5508f-7984-412b-80ca-cd2fe0e337c9.json,V049,PHYSBENCH-REF-0088,P3.5,P3.2,P3.2,P3.2,3,,1,False
R-ea6ca044ebf8,A12,json,R-ea6ca044ebf8_65f5508f-7984-412b-80ca-cd2fe0e337c9.json,V062,PHYSCONN-REF-005,P3.1,P3.2,P3.2,P3.2,4,,1,False
